"Nome Parlamentar","NomeSemAcento","Partido","UF","Condição","Inicio","Fim"
"ANTONIO EBLING                 ","ANTONIO EBLING                 ","PTB","RS","suplente",7/1/1998,10/31/1998
"ANTÔNIO FALEIROS               ","ANTONIO FALEIROS               ","PSDB","GO","efetivado",1/5/1999,1/31/1999
"ANTONIO FEIJÃO                 ","ANTONIO FEIJAO                 ","PSDB","AP","titular",2/1/1995,1/31/1999
"ANTONIO FERREIRA               ","ANTONIO FERREIRA               ","PMDB","AL","suplente",1/4/1999,1/31/1999
"ANTÔNIO GERALDO                ","ANTONIO GERALDO                ","PFL","PE","titular",2/1/1995,1/31/1999
"ANTÔNIO JOAQUIM                ","ANTONIO JOAQUIM                ","PSDB","MT","titular",2/1/1995,3/4/1996
"ANTÔNIO JOAQUIM                ","ANTONIO JOAQUIM                ","PSDB","MT","titular",10/21/1997,1/31/1999
"ANTONIO JOAQUIM ARAUJO         ","ANTONIO JOAQUIM ARAUJO         ","PL","MA","titular",2/1/1995,1/31/1999
"ANTÔNIO JORGE                  ","ANTONIO JORGE                  ","PFL","TO","titular",2/1/1995,4/2/1996
"ANTÔNIO JORGE                  ","ANTONIO JORGE                  ","PFL","TO","titular",5/31/1996,1/31/1999
"ANTONIO KANDIR                 ","ANTONIO KANDIR                 ","PSDB","SP","titular",2/1/1995,6/3/1996
"ANTONIO KANDIR                 ","ANTONIO KANDIR                 ","PSDB","SP","titular",4/1/1998,1/31/1999
"ANTONIO UENO                   ","ANTONIO UENO                   ","PFL","PR","titular",2/1/1995,1/31/1999
"ARACELY DE PAULA               ","ARACELY DE PAULA               ","PFL","MG","titular",2/1/1995,1/31/1999
"ARI MAGALHÃES                  ","ARI MAGALHAES                  ","PPB","PI","titular",2/1/1995,8/20/1995
"ARI MAGALHÃES                  ","ARI MAGALHAES                  ","PPB","PI","titular",12/23/1995,4/21/1998
"ARI MAGALHÃES                  ","ARI MAGALHAES                  ","PPB","PI","titular",9/19/1998,1/31/1999
"ARIOSTO HOLANDA                ","ARIOSTO HOLANDA                ","PSDB","CE","efetivado",8/18/1995,8/31/1995
"ARIOSTO HOLANDA                ","ARIOSTO HOLANDA                ","PSDB","CE","efetivado",4/3/1998,1/31/1999
"ARLINDO CHINAGLIA              ","ARLINDO CHINAGLIA              ","PT","SP","titular",2/1/1995,1/31/1999
"ARLINDO VARGAS                 ","ARLINDO VARGAS                 ","PTB","RS","efetivado",1/2/1997,1/31/1999
"ARMANDO ABÍLIO                 ","ARMANDO ABILIO                 ","PMDB","PB","titular",2/1/1995,1/31/1999
"ARMANDO COSTA                  ","ARMANDO COSTA                  ","PMDB","MG","titular",2/1/1995,1/31/1999
"ARNALDO FARIA DE SÁ            ","ARNALDO FARIA DE SA            ","PPB","SP","titular",2/1/1995,1/31/1999
"ARNALDO MADEIRA                ","ARNALDO MADEIRA                ","PSDB","SP","efetivado",2/2/1995,1/31/1999
"ARNON BEZERRA                  ","ARNON BEZERRA                  ","PSDB","CE","titular",2/1/1995,1/31/1999
"AROLDE DE OLIVEIRA             ","AROLDE DE OLIVEIRA             ","PFL","RJ","titular",2/1/1995,1/31/1999
"AROLDO CEDRAZ                  ","AROLDO CEDRAZ                  ","PFL","BA","titular",2/1/1995,1/31/1999
"ARTHUR VIRGÍLIO                ","ARTHUR VIRGILIO                ","PSDB","AM","titular",2/1/1995,1/31/1999
"ARY KARA                       ","ARY KARA                       ","PPB","SP","titular",2/1/1995,1/31/1999
"ARY VALADÃO                    ","ARY VALADAO                    ","PPB","TO","suplente",4/3/1996,5/30/1996
"ARY VALADÃO                    ","ARY VALADAO                    ","PPB","TO","suplente",6/3/1996,7/31/1996
"ASDRÚBAL BENTES                ","ASDRUBAL BENTES                ","PMDB","PA","efetivado",1/2/1997,1/31/1999
"ASSIS CANUTO                   ","ASSIS CANUTO                   ","PDT","RO","suplente",3/2/1998,3/3/1998
"ASSIS CANUTO                   ","ASSIS CANUTO                   ","PDT","RO","suplente",5/18/1998,9/13/1998
"ÁTILA LINS                     ","ATILA LINS                     ","PFL","AM","titular",2/1/1995,1/31/1999
"AUGUSTINHO FREITAS             ","AUGUSTINHO FREITAS             ","PPB","MT","titular",2/1/1995,3/27/1996
"AUGUSTINHO FREITAS             ","AUGUSTINHO FREITAS             ","PPB","MT","titular",7/31/1996,10/28/1996
"AUGUSTO CARVALHO               ","AUGUSTO CARVALHO               ","PPS","DF","titular",2/1/1995,1/31/1999
"AUGUSTO FARIAS                 ","AUGUSTO FARIAS                 ","PFL","AL","titular",2/1/1995,1/31/1999
"AUGUSTO NARDES                 ","AUGUSTO NARDES                 ","PPB","RS","titular",2/1/1995,1/31/1999
"AUGUSTO VIVEIROS               ","AUGUSTO VIVEIROS               ","PFL","RN","titular",2/1/1995,1/31/1999
"AYRES DA CUNHA                 ","AYRES DA CUNHA                 ","PFL","SP","titular",2/1/1995,8/11/1997
