"Nome Parlamentar","NomeSemAcento","Partido","UF","Condição","Inicio","Fim"
"FETTER JÚNIOR                  ","FETTER JUNIOR                  ","PPB","RS","titular",2/1/1995,2/1/1995
"FETTER JÚNIOR                  ","FETTER JUNIOR                  ","PPB","RS","titular",1/10/1996,1/31/1999
"FEU ROSA                       ","FEU ROSA                       ","PSDB","ES","titular",2/1/1995,1/31/1999
"FIRMO DE CASTRO                ","FIRMO DE CASTRO                ","PSDB","CE","titular",2/1/1995,1/31/1999
"FLÁVIO ARNS                    ","FLAVIO ARNS                    ","PSDB","PR","titular",2/1/1995,1/31/1999
"FLÁVIO DERZI                   ","FLAVIO DERZI                   ","PPB","MS","titular",2/1/1995,1/31/1999
"FLÁVIO PALMIER DA VEIGA        ","FLAVIO PALMIER DA VEIGA        ","PSDB","RJ","suplente",1/2/1997,2/16/1997
"FLÁVIO PALMIER DA VEIGA        ","FLAVIO PALMIER DA VEIGA        ","PSDB","RJ","suplente",2/25/1997,1/29/1998
"FRANCISCO COELHO               ","FRANCISCO COELHO               ","PFL","MA","titular",2/1/1995,2/21/1995
"FRANCISCO COELHO               ","FRANCISCO COELHO               ","PFL","MA","titular",4/3/1998,1/31/1999
"FRANCISCO DIÓGENES             ","FRANCISCO DIOGENES             ","PFL","AC","titular",2/1/1995,12/3/1995
"FRANCISCO DORNELLES            ","FRANCISCO DORNELLES            ","PPB","RJ","titular",2/1/1995,5/6/1996
"FRANCISCO DORNELLES            ","FRANCISCO DORNELLES            ","PPB","RJ","titular",2/20/1997,2/20/1997
"FRANCISCO DORNELLES            ","FRANCISCO DORNELLES            ","PPB","RJ","titular",3/31/1998,12/31/1998
"FRANCISCO HORTA                ","FRANCISCO HORTA                ","PFL","MG","suplente",2/3/1995,4/1/1998
"FRANCISCO HORTA                ","FRANCISCO HORTA                ","PFL","MG","suplente",5/12/1998,9/2/1998
"FRANCISCO RODRIGUES            ","FRANCISCO RODRIGUES            ","PTB","RR","titular",2/1/1995,1/31/1999
"FRANCISCO SILVA                ","FRANCISCO SILVA                ","PPB","RJ","titular",2/1/1995,1/12/1999
"FRANCO MONTORO                 ","FRANCO MONTORO                 ","PSDB","SP","titular",2/1/1995,1/31/1999
"FREIRE JÚNIOR                  ","FREIRE JUNIOR                  ","PMDB","TO","titular",2/1/1995,6/20/1996
"FREIRE JÚNIOR                  ","FREIRE JUNIOR                  ","PMDB","TO","titular",10/20/1996,1/31/1999
"GASTÃO VIEIRA                  ","GASTAO VIEIRA                  ","PMDB","MA","titular",2/1/1995,3/1/1995
"GASTÃO VIEIRA                  ","GASTAO VIEIRA                  ","PMDB","MA","titular",4/3/1998,1/31/1999
"GEDDEL VIEIRA LIMA             ","GEDDEL VIEIRA LIMA             ","PMDB","BA","titular",2/1/1995,1/31/1999
"GENÉSIO BERNARDINO             ","GENESIO BERNARDINO             ","PMDB","MG","titular",2/1/1995,1/31/1999
"GERALDO PASTANA                ","GERALDO PASTANA                ","PT","PA","efetivado",1/2/1997,1/31/1999
"GERMANO RIGOTTO                ","GERMANO RIGOTTO                ","PMDB","RS","titular",2/1/1995,1/31/1999
"GERSON PERES                   ","GERSON PERES                   ","PPB","PA","titular",2/1/1995,1/31/1999
"GERVÁSIO OLIVEIRA              ","GERVASIO OLIVEIRA              ","PDT","AP","titular",2/1/1995,1/31/1999
"GILNEY VIANA                   ","GILNEY VIANA                   ","PT","MT","titular",2/1/1995,1/31/1999
"GILVAN FREIRE                  ","GILVAN FREIRE                  ","PSB","PB","titular",2/6/1995,1/31/1999
"GIOVANNI QUEIROZ               ","GIOVANNI QUEIROZ               ","PDT","PA","titular",2/1/1995,1/31/1999
"GONZAGA MOTA                   ","GONZAGA MOTA                   ","PMDB","CE","titular",2/1/1995,1/31/1999
"GONZAGA PATRIOTA               ","GONZAGA PATRIOTA               ","PSB","PE","titular",2/1/1995,1/31/1999
"HAROLDO LIMA                   ","HAROLDO LIMA                   ","PC DO B","BA","titular",2/1/1995,1/31/1999
"HAROLDO SABÓIA                 ","HAROLDO SABOIA                 ","PT","MA","titular",3/28/1996,1/31/1999
"HÉLIO BICUDO                   ","HELIO BICUDO                   ","PT","SP","titular",2/1/1995,1/31/1999
"HÉLIO ROSAS                    ","HELIO ROSAS                    ","PMDB","SP","titular",2/1/1995,1/31/1999
"HENRIQUE EDUARDO ALVES         ","HENRIQUE EDUARDO ALVES         ","PMDB","RN","titular",2/1/1995,1/31/1999
"HERACLITO FORTES               ","HERACLITO FORTES               ","PFL","PI","titular",2/1/1995,1/31/1999
"HERCULANO ANGHINETTI           ","HERCULANO ANGHINETTI           ","PPB","MG","titular",2/1/1995,1/31/1999
"HERMES PARCIANELLO             ","HERMES PARCIANELLO             ","PMDB","PR","titular",2/1/1995,1/31/1999
"HILÁRIO COIMBRA                ","HILARIO COIMBRA                ","PSDB","PA","titular",2/1/1995,1/31/1999
"HOMERO OGUIDO                  ","HOMERO OGUIDO                  ","PMDB","PR","titular",2/1/1995,2/23/1997
"HUGO BIEHL                     ","HUGO BIEHL                     ","PPB","SC","titular",2/1/1995,1/31/1999
"HUGO LAGRANHA                  ","HUGO LAGRANHA                  ","PTB","RS","titular",2/1/1995,12/31/1996
"HUGO RODRIGUES DA CUNHA        ","HUGO RODRIGUES DA CUNHA        ","PFL","MG","titular",2/1/1995,1/31/1999
"HUMBERTO COSTA                 ","HUMBERTO COSTA                 ","PT","PE","titular",2/1/1995,1/31/1999
"HUMBERTO SOUTO                 ","HUMBERTO SOUTO                 ","PFL","MG","titular",2/1/1995,8/23/1995
"IBERÊ FERREIRA                 ","IBERE FERREIRA                 ","PPB","RN","titular",2/1/1995,10/23/1997
"IBERÊ FERREIRA                 ","IBERE FERREIRA                 ","PPB","RN","titular",4/1/1998,1/31/1999
"IBRAHIM ABI-ACKEL              ","IBRAHIM ABI-ACKEL              ","PPB","MG","titular",2/1/1995,1/31/1999
"ILDEMAR KUSSLER                ","ILDEMAR KUSSLER                ","PSDB","RO","titular",2/1/1995,12/31/1996
"INÁCIO ARRUDA                  ","INACIO ARRUDA                  ","PC DO B","CE","titular",2/1/1995,1/31/1999
"INOCÊNCIO OLIVEIRA             ","INOCENCIO OLIVEIRA             ","PFL","PE","titular",2/1/1995,1/31/1999
"ISRAEL PINHEIRO                ","ISRAEL PINHEIRO                ","PTB","MG","titular",2/1/1995,2/2/1995
"ISRAEL PINHEIRO                ","ISRAEL PINHEIRO                ","PTB","MG","titular",2/3/1997,1/31/1999
"ITAMAR SERPA                   ","ITAMAR SERPA                   ","PSDB","RJ","titular",2/1/1995,1/31/1999
"IVAN VALENTE                   ","IVAN VALENTE                   ","PT","SP","titular",2/1/1995,1/31/1999
"IVANDRO CUNHA LIMA             ","IVANDRO CUNHA LIMA             ","PMDB","PB","titular",2/1/1995,1/31/1999
"IVO MAINARDI                   ","IVO MAINARDI                   ","PMDB","RS","suplente",2/3/1995,3/20/1996
"IVO MAINARDI                   ","IVO MAINARDI                   ","PMDB","RS","suplente",4/10/1996,8/15/1996
"IVO MAINARDI                   ","IVO MAINARDI                   ","PMDB","RS","suplente",1/1/1997,6/28/1997
"IZIDÓRIO OLIVEIRA              ","IZIDORIO OLIVEIRA              ","PMDB","TO","suplente",6/24/1996,9/15/1996
"JACKSON PEREIRA                ","JACKSON PEREIRA                ","PSDB","CE","titular",2/1/1995,7/25/1995
"JAIME FERNANDES                ","JAIME FERNANDES                ","PFL","BA","efetivado",2/3/1995,4/2/1998
"JAIME FERNANDES                ","JAIME FERNANDES                ","PFL","BA","efetivado",4/28/1998,1/31/1999
"JAIME MARTINS                  ","JAIME MARTINS                  ","PFL","MG","titular",2/1/1995,1/31/1999
"JAIR BOLSONARO                 ","JAIR BOLSONARO                 ","PPB","RJ","titular",2/1/1995,1/31/1999
"JAIR MENEGUELLI                ","JAIR MENEGUELLI                ","PT","SP","titular",2/1/1995,1/31/1999
"JAIR SIQUEIRA                  ","JAIR SIQUEIRA                  ","PPB","MG","titular",2/1/1995,12/30/1996
"JAIR SOARES                    ","JAIR SOARES                    ","PPB","RS","titular",2/1/1995,1/31/1999
"JAIRO AZI                      ","JAIRO AZI                      ","PFL","BA","titular",2/1/1995,1/31/1999
"JAIRO CARNEIRO                 ","JAIRO CARNEIRO                 ","PFL","BA","titular",2/1/1995,1/31/1999
"JAMIL HADDAD                   ","JAMIL HADDAD                   ","PSB","RJ","suplente",1/13/1999,1/31/1999
"JANDIRA FEGHALI                ","JANDIRA FEGHALI                ","PC DO B","RJ","titular",2/1/1995,1/31/1999
"JAQUES WAGNER                  ","JAQUES WAGNER                  ","PT","BA","titular",2/1/1995,1/31/1999
"JARBAS LIMA                    ","JARBAS LIMA                    ","PPB","RS","titular",2/1/1995,1/31/1999
"JAYME SANTANA                  ","JAYME SANTANA                  ","PSDB","MA","titular",2/1/1995,1/31/1999
"JERÔNIMO REIS                  ","JERONIMO REIS                  ","PMN","SE","titular",2/1/1995,7/16/1995
"JOANA DARC                     ","JOANA DARC                     ","PT","MG","efetivado",1/2/1997,1/31/1999
"JOÃO ALBERTO                   ","JOAO ALBERTO                   ","PMDB","MA","titular",2/1/1995,3/1/1995
"JOÃO ALBERTO                   ","JOAO ALBERTO                   ","PMDB","MA","titular",4/3/1998,1/31/1999
"JOÃO ALMEIDA                   ","JOAO ALMEIDA                   ","PSDB","BA","titular",2/1/1995,1/31/1999
"JOÃO BROCHADO                  ","JOAO BROCHADO                  ","S. PART.","DF","efetivado",1/5/1999,1/31/1999
"JOÃO CARLOS BACELAR            ","JOAO CARLOS BACELAR            ","PFL","BA","suplente",1/2/1997,4/2/1998
"JOÃO CARLOS BACELAR            ","JOAO CARLOS BACELAR            ","PFL","BA","suplente",1/6/1999,1/31/1999
"JOÃO COLAÇO                    ","JOAO COLACO                    ","PSB","PE","titular",2/1/1995,1/31/1999
"JOÃO COSER                     ","JOAO COSER                     ","PT","ES","titular",2/1/1995,1/31/1999
"JOÃO FASSARELLA                ","JOAO FASSARELLA                ","PT","MG","titular",2/1/1995,1/31/1999
"JOÃO FAUSTINO                  ","JOAO FAUSTINO                  ","PSDB","RN","suplente",10/24/1996,2/17/1997
"JOÃO FAUSTINO                  ","JOAO FAUSTINO                  ","PSDB","RN","suplente",2/20/1997,3/31/1998
"JOÃO FAUSTINO                  ","JOAO FAUSTINO                  ","PSDB","RN","suplente",5/8/1998,9/14/1998
"JOÃO HENRIQUE                  ","JOAO HENRIQUE                  ","PMDB","PI","titular",2/1/1995,1/31/1999
"JOÃO IENSEN                    ","JOAO IENSEN                    ","PPB","PR","titular",2/1/1995,1/31/1999
"JOÃO LEÃO                      ","JOAO LEAO                      ","PSDB","BA","titular",2/1/1995,1/31/1999
"JOÃO MAGALHÃES                 ","JOAO MAGALHAES                 ","PMDB","MG","efetivado",6/11/1996,1/31/1999
"JOÃO MAIA                      ","JOAO MAIA                      ","PFL","AC","titular",2/1/1995,5/20/1997
"JOÃO MATOS                     ","JOAO MATOS                     ","PMDB","SC","titular",2/1/1995,2/5/1995
"JOÃO MATOS                     ","JOAO MATOS                     ","PMDB","SC","titular",4/3/1998,1/31/1999
"JOÃO MELLÃO NETO               ","JOAO MELLAO NETO               ","PFL","SP","titular",2/1/1995,1/31/1999
"JOÃO MENDES                    ","JOAO MENDES                    ","PPB","RJ","titular",2/1/1995,1/31/1999
"JOÃO NATAL                     ","JOAO NATAL                     ","PMDB","GO","titular",2/1/1995,10/28/1997
"JOÃO PAULO                     ","JOAO PAULO                     ","PT","SP","titular",2/1/1995,1/31/1999
"JOÃO PIZZOLATTI                ","JOAO PIZZOLATTI                ","PPB","SC","titular",2/1/1995,1/31/1999
"JOÃO RIBEIRO                   ","JOAO RIBEIRO                   ","PFL","TO","titular",2/1/1995,10/8/1997
"JOÃO RIBEIRO                   ","JOAO RIBEIRO                   ","PFL","TO","titular",11/25/1997,1/31/1999
"JOÃO THOMÉ MESTRINHO           ","JOAO THOME MESTRINHO           ","PMDB","AM","titular",2/1/1995,1/31/1999
"JOÃO TOTA                      ","JOAO TOTA                      ","PPB","AC","efetivado",5/23/1997,1/31/1999
"JOFRAN FREJAT                  ","JOFRAN FREJAT                  ","PPB","DF","titular",2/1/1995,1/31/1999
"JONIVAL LUCAS                  ","JONIVAL LUCAS                  ","PFL","BA","titular",2/1/1995,1/31/1999
"JORGE ANDERS                   ","JORGE ANDERS                   ","PSDB","ES","titular",2/1/1995,12/30/1996
"JORGE KHOURY                   ","JORGE KHOURY                   ","PFL","BA","titular",2/1/1995,2/2/1995
"JORGE KHOURY                   ","JORGE KHOURY                   ","PFL","BA","titular",4/3/1998,1/31/1999
"JORGE TADEU MUDALEN            ","JORGE TADEU MUDALEN            ","PPB","SP","titular",2/1/1995,1/31/1999
"JORGE WILSON                   ","JORGE WILSON                   ","PMDB","RJ","titular",2/1/1995,1/31/1999
"JOSÉ ALDEMIR                   ","JOSE ALDEMIR                   ","PMDB","PB","titular",2/1/1995,1/31/1999
"JOSÉ ANÍBAL                    ","JOSE ANIBAL                    ","PSDB","SP","titular",2/1/1995,1/31/1999
"JOSÉ AUGUSTO                   ","JOSE AUGUSTO                   ","PPS","SP","titular",2/1/1995,1/31/1999
"JOSÉ BORBA                     ","JOSE BORBA                     ","PTB","PR","titular",2/1/1995,1/31/1999
"JOSÉ CARLOS ALELUIA            ","JOSE CARLOS ALELUIA            ","PFL","BA","titular",2/1/1995,1/31/1999
"JOSÉ CARLOS COUTINHO           ","JOSE CARLOS COUTINHO           ","PFL","RJ","efetivado",2/1/1995,2/16/1997
"JOSÉ CARLOS COUTINHO           ","JOSE CARLOS COUTINHO           ","PFL","RJ","efetivado",2/18/1997,1/31/1999
"JOSÉ CARLOS LACERDA            ","JOSE CARLOS LACERDA            ","PSDB","RJ","titular",2/1/1995,5/30/1996
"JOSÉ CARLOS LACERDA            ","JOSE CARLOS LACERDA            ","PSDB","RJ","titular",2/13/1997,12/28/1997
"JOSÉ CARLOS SABÓIA             ","JOSE CARLOS SABOIA             ","PSB","MA","suplente",2/1/1995,3/27/1996
"JOSÉ CARLOS VIEIRA             ","JOSE CARLOS VIEIRA             ","PFL","SC","titular",2/1/1995,1/31/1999
"JOSÉ CHAVES                    ","JOSE CHAVES                    ","PMDB","PE","titular",2/1/1995,1/31/1999
"JOSÉ COIMBRA                   ","JOSE COIMBRA                   ","PTB","SP","titular",2/1/1995,1/31/1999
"JOSE COSTA                     ","JOSE COSTA                     ","PSD","AL","efetivado",1/7/1998,5/6/1998
"JOSE COSTA                     ","JOSE COSTA                     ","PSD","AL","efetivado",9/30/1998,1/31/1999
"JOSÉ DA PAIXÃO                 ","JOSE DA PAIXAO                 ","PPB","RJ","suplente",1/6/1997,2/12/1997
"JOSÉ DE ABREU                  ","JOSE DE ABREU                  ","PSDB","SP","titular",2/1/1995,1/31/1999
"JOSÉ EGYDIO                    ","JOSE EGYDIO                    ","PFL","RJ","titular",2/1/1995,1/31/1999
"JOSÉ FORTUNATI                 ","JOSE FORTUNATI                 ","PT","RS","titular",2/1/1995,12/31/1996
"JOSÉ FRITSCH                   ","JOSE FRITSCH                   ","PT","SC","titular",2/1/1995,12/31/1996
"JOSÉ GENOÍNO                   ","JOSE GENOINO                   ","PT","SP","titular",2/1/1995,1/31/1999
"JOSÉ JANENE                    ","JOSE JANENE                    ","PPB","PR","titular",2/1/1995,1/31/1999
"JOSÉ JORGE                     ","JOSE JORGE                     ","PFL","PE","titular",2/1/1995,1/31/1999
"JOSÉ LINHARES                  ","JOSE LINHARES                  ","PPB","CE","titular",2/1/1995,1/31/1999
"JOSÉ LOURENÇO                  ","JOSE LOURENCO                  ","PFL","BA","efetivado",7/25/1996,1/31/1999
"JOSÉ LUIZ CLEROT               ","JOSE LUIZ CLEROT               ","PMDB","PB","titular",2/1/1995,1/31/1999
"JOSÉ MACHADO                   ","JOSE MACHADO                   ","PT","SP","titular",2/1/1995,1/31/1999
"JOSÉ MAURÍCIO                  ","JOSE MAURICIO                  ","PDT","RJ","titular",2/1/1995,1/31/1999
"JOSÉ MELO                      ","JOSE MELO                      ","PFL","AM","titular",2/1/1995,2/2/1995
"JOSÉ MELO                      ","JOSE MELO                      ","PFL","AM","titular",1/9/1998,1/31/1999
"JOSÉ MENDONÇA BEZERRA          ","JOSE MENDONCA BEZERRA          ","PFL","PE","titular",2/1/1995,1/31/1999
"JOSÉ MÚCIO MONTEIRO            ","JOSE MUCIO MONTEIRO            ","PFL","PE","titular",2/1/1995,2/4/1997
"JOSÉ MÚCIO MONTEIRO            ","JOSE MUCIO MONTEIRO            ","PFL","PE","titular",3/20/1998,1/31/1999
"JOSÉ PIMENTEL                  ","JOSE PIMENTEL                  ","PT","CE","titular",2/1/1995,1/31/1999
"JOSÉ PINOTTI                   ","JOSE PINOTTI                   ","PSB","SP","titular",2/1/1995,1/31/1999
"JOSÉ PRIANTE                   ","JOSE PRIANTE                   ","PMDB","PA","titular",2/1/1995,1/31/1999
"JOSÉ REZENDE                   ","JOSE REZENDE                   ","PPB","MG","titular",2/1/1995,1/31/1999
"JOSÉ ROCHA                     ","JOSE ROCHA                     ","PFL","BA","titular",2/1/1995,1/31/1999
"JOSÉ SANTANA DE VASCONCELLOS   ","JOSE SANTANA DE VASCONCELLOS   ","PFL","MG","titular",2/1/1995,1/31/1999
"JOSÉ TELES                     ","JOSE TELES                     ","PPB","SE","titular",2/1/1995,1/31/1999
"JOSÉ THOMAZ NONÔ               ","JOSE THOMAZ NONO               ","PSDB","AL","titular",2/1/1995,1/31/1999
"JOSÉ TUDE                      ","JOSE TUDE                      ","PTB","BA","suplente",2/3/1995,12/30/1996
"JOSIAS GONZAGA                 ","JOSIAS GONZAGA                 ","PMDB","GO","titular",2/1/1995,4/16/1995
"JOSIAS GONZAGA                 ","JOSIAS GONZAGA                 ","PMDB","GO","titular",6/10/1996,6/9/1996
"JOSIAS GONZAGA                 ","JOSIAS GONZAGA                 ","PMDB","GO","titular",11/20/1996,11/20/1996
"JOSIAS GONZAGA                 ","JOSIAS GONZAGA                 ","PMDB","GO","titular",1/1/1999,1/31/1999
"JOVAIR ARANTES                 ","JOVAIR ARANTES                 ","PSDB","GO","titular",2/1/1995,1/31/1999
"JÚLIO CESAR                    ","JULIO CESAR                    ","PFL","PI","titular",2/1/1995,1/31/1999
"JÚLIO REDECKER                 ","JULIO REDECKER                 ","PPB","RS","efetivado",2/2/1995,1/9/1996
"JÚLIO REDECKER                 ","JULIO REDECKER                 ","PPB","RS","efetivado",3/12/1996,1/12/1997
"JÚLIO REDECKER                 ","JULIO REDECKER                 ","PPB","RS","efetivado",2/7/1997,2/20/1997
"JÚLIO REDECKER                 ","JULIO REDECKER                 ","PPB","RS","efetivado",3/3/1997,3/29/1998
"JÚLIO REDECKER                 ","JULIO REDECKER                 ","PPB","RS","efetivado",11/4/1998,11/18/1998
"JÚLIO REDECKER                 ","JULIO REDECKER                 ","PPB","RS","efetivado",11/23/1998,12/31/1998
"JÚLIO REDECKER                 ","JULIO REDECKER                 ","PPB","RS","efetivado",1/21/1999,1/31/1999
"JURANDYR PAIXÃO                ","JURANDYR PAIXAO                ","PPB","SP","titular",2/1/1995,1/31/1999
"KOYU IHA                       ","KOYU IHA                       ","PSDB","SP","titular",2/1/1995,1/31/1999
"LAEL VARELLA                   ","LAEL VARELLA                   ","PFL","MG","titular",2/1/1995,1/31/1999
"LAIRE ROSADO                   ","LAIRE ROSADO                   ","PMDB","RN","titular",2/1/1995,10/23/1996
"LAIRE ROSADO                   ","LAIRE ROSADO                   ","PMDB","RN","titular",2/18/1997,2/19/1997
"LAIRE ROSADO                   ","LAIRE ROSADO                   ","PMDB","RN","titular",4/1/1998,1/31/1999
"LAMARTINE POSELLA              ","LAMARTINE POSELLA              ","PPB","SP","efetivado",1/2/1997,1/31/1999
"LAPROVITA VIEIRA               ","LAPROVITA VIEIRA               ","PPB","RJ","titular",2/1/1995,1/31/1999
"LAURA CARNEIRO                 ","LAURA CARNEIRO                 ","PFL","RJ","titular",2/1/1995,1/26/1997
"LAURA CARNEIRO                 ","LAURA CARNEIRO                 ","PFL","RJ","titular",2/7/1997,1/31/1999
"LEONEL PAVAN                   ","LEONEL PAVAN                   ","PDT","SC","titular",2/1/1995,12/31/1996
"LEÔNIDAS CRISTINO              ","LEONIDAS CRISTINO              ","PPS","CE","titular",2/1/1995,1/31/1999
"LEOPOLDO BESSONE               ","LEOPOLDO BESSONE               ","PTB","MG","titular",2/1/1995,1/31/1999
"LEUR LOMANTO                   ","LEUR LOMANTO                   ","PFL","BA","titular",2/1/1995,1/31/1999
"LIDIA QUINAN                   ","LIDIA QUINAN                   ","PMDB","GO","titular",2/1/1995,1/31/1999
"LIMA NETTO                     ","LIMA NETTO                     ","PFL","RJ","titular",2/1/1995,1/31/1999
"LINDBERG FARIAS                ","LINDBERG FARIAS                ","PSTU","RJ","titular",2/1/1995,1/31/1999
"LUCIANO CASTRO                 ","LUCIANO CASTRO                 ","PSDB","RR","titular",2/1/1995,1/31/1999
"LUCIANO PIZZATTO               ","LUCIANO PIZZATTO               ","PFL","PR","titular",2/1/1995,1/31/1999
"LUCIANO ZICA                   ","LUCIANO ZICA                   ","PT","SP","titular",2/1/1995,1/31/1999
"LUIS BARBOSA                   ","LUIS BARBOSA                   ","PPB","RR","titular",2/1/1995,1/31/1999
"LUIS EDUARDO                   ","LUIS EDUARDO                   ","PFL","BA","titular",2/1/1995,4/20/1998
"LUÍS ROBERTO PONTE             ","LUIS ROBERTO PONTE             ","PMDB","RS","suplente",2/3/1995,12/6/1995
"LUÍS ROBERTO PONTE             ","LUIS ROBERTO PONTE             ","PMDB","RS","suplente",5/22/1997,4/1/1998
"LUÍS ROBERTO PONTE             ","LUIS ROBERTO PONTE             ","PMDB","RS","suplente",11/4/1998,12/31/1998
"LUIZ ALBERTO                   ","LUIZ ALBERTO                   ","PT","BA","efetivado",1/2/1997,1/31/1999
"LUIZ BRAGA                     ","LUIZ BRAGA                     ","PFL","BA","titular",2/1/1995,1/31/1999
"LUIZ BUAIZ                     ","LUIZ BUAIZ                     ","PL","ES","titular",2/1/1995,1/31/1999
"LUIZ CARLOS HAULY              ","LUIZ CARLOS HAULY              ","PSDB","PR","titular",2/1/1995,1/31/1999
"LUIZ CARLOS SANTOS             ","LUIZ CARLOS SANTOS             ","PFL","SP","titular",2/1/1995,4/28/1996
"LUIZ CARLOS SANTOS             ","LUIZ CARLOS SANTOS             ","PFL","SP","titular",1/28/1997,1/29/1997
"LUIZ CARLOS SANTOS             ","LUIZ CARLOS SANTOS             ","PFL","SP","titular",2/25/1997,2/25/1997
"LUIZ CARLOS SANTOS             ","LUIZ CARLOS SANTOS             ","PFL","SP","titular",4/2/1998,1/31/1999
"LUIZ DANTAS                    ","LUIZ DANTAS                    ","PSD","AL","titular",2/1/1995,2/2/1995
"LUIZ DANTAS                    ","LUIZ DANTAS                    ","PSD","AL","titular",7/24/1997,1/5/1998
"LUIZ DANTAS                    ","LUIZ DANTAS                    ","PSD","AL","titular",5/7/1998,9/21/1998
"LUIZ DURÃO                     ","LUIZ DURAO                     ","PFL","ES","titular",2/1/1995,1/31/1999
"LUIZ EDUARDO GREENHALGH        ","LUIZ EDUARDO GREENHALGH        ","PT","SP","efetivado",1/2/1997,1/31/1999
"LUIZ FERNANDO                  ","LUIZ FERNANDO                  ","PPB","AM","titular",2/1/1995,1/31/1999
"LUIZ GUSHIKEN                  ","LUIZ GUSHIKEN                  ","PT","SP","titular",2/1/1995,1/31/1999
"LUIZ HENRIQUE                  ","LUIZ HENRIQUE                  ","PMDB","SC","titular",2/1/1995,12/30/1996
"LUIZ MAINARDI                  ","LUIZ MAINARDI                  ","PT","RS","titular",2/1/1995,1/31/1999
"LUIZ MÁXIMO                    ","LUIZ MAXIMO                    ","PSDB","SP","suplente",1/2/1997,4/1/1998
"LUIZ MOREIRA                   ","LUIZ MOREIRA                   ","PFL","BA","titular",2/1/1995,1/31/1999
"LUIZ PIAUHYLINO                ","LUIZ PIAUHYLINO                ","PSDB","PE","titular",2/1/1995,1/31/1999
"LUIZ SALOMAO                   ","LUIZ SALOMAO                   ","PDT","RJ","suplente",1/13/1999,1/28/1999
"MAGNO BACELAR                  ","MAGNO BACELAR                  ","PFL","MA","titular",2/1/1995,1/31/1999
"MALULY NETTO                   ","MALULY NETTO                   ","PFL","SP","titular",2/1/1995,1/31/1999
"MANOEL CASTRO                  ","MANOEL CASTRO                  ","PFL","BA","titular",2/1/1995,1/31/1999
"MARÇAL FILHO                   ","MARCAL FILHO                   ","PSDB","MS","efetivado",7/23/1996,11/21/1996
"MARÇAL FILHO                   ","MARCAL FILHO                   ","PSDB","MS","efetivado",1/1/1997,1/31/1999
"MARCELO BARBIERI               ","MARCELO BARBIERI               ","PMDB","SP","titular",2/1/1995,1/31/1999
"MARCELO DÉDA                   ","MARCELO DEDA                   ","PT","SE","titular",2/1/1995,1/31/1999
"MARCELO TEIXEIRA               ","MARCELO TEIXEIRA               ","PMDB","CE","titular",2/1/1995,6/28/1995
"MARCELO TEIXEIRA               ","MARCELO TEIXEIRA               ","PMDB","CE","titular",11/1/1995,5/12/1997
"MARCELO TEIXEIRA               ","MARCELO TEIXEIRA               ","PMDB","CE","titular",4/2/1998,1/31/1999
"MARCIA CIBILIS VIANA           ","MARCIA CIBILIS VIANA           ","PDT","RJ","titular",2/1/1995,1/31/1999
"MÁRCIA MARINHO                 ","MARCIA MARINHO                 ","PSDB","MA","titular",2/1/1995,1/31/1999
"MARCIO FORTES                  ","MARCIO FORTES                  ","PSDB","RJ","titular",2/1/1995,6/13/1996
"MARCIO FORTES                  ","MARCIO FORTES                  ","PSDB","RJ","titular",2/19/1997,2/19/1997
"MARCIO FORTES                  ","MARCIO FORTES                  ","PSDB","RJ","titular",1/30/1998,1/31/1999
"MARCIO MATOS                   ","MARCIO MATOS                   ","PT","PR","suplente",1/5/1999,1/31/1999
"MÁRCIO REINALDO MOREIRA        ","MARCIO REINALDO MOREIRA        ","PPB","MG","titular",2/1/1995,1/31/1999
"MARCONI PERILLO                ","MARCONI PERILLO                ","PSDB","GO","titular",2/1/1995,12/31/1998
"MARCOS LIMA                    ","MARCOS LIMA                    ","PMDB","MG","titular",2/1/1995,1/31/1999
"MARCOS MEDRADO                 ","MARCOS MEDRADO                 ","PPB","BA","titular",2/1/1995,7/24/1996
"MARCOS VINÍCIUS DE CAMPOS      ","MARCOS VINICIUS DE CAMPOS      ","PFL","SP","suplente",8/14/1997,3/18/1998
"MARCUS VICENTE                 ","MARCUS VICENTE                 ","PSDB","ES","efetivado",1/14/1997,1/31/1999
"MARIA DA CONCEIÇÃO TAVARES     ","MARIA DA CONCEICAO TAVARES     ","PT","RJ","titular",2/1/1995,1/31/1999
"MARIA ELVIRA                   ","MARIA ELVIRA                   ","PMDB","MG","titular",2/1/1995,1/31/1999
"MARIA LAURA                    ","MARIA LAURA                    ","PT","DF","titular",2/1/1995,1/31/1999
"MARIA VALADÃO                  ","MARIA VALADAO                  ","PTB","GO","titular",2/1/1995,1/31/1999
"MARILU GUIMARÃES               ","MARILU GUIMARAES               ","PFL","MS","titular",2/1/1995,1/31/1999
"MARINHA RAUPP                  ","MARINHA RAUPP                  ","PSDB","RO","titular",2/1/1995,1/8/1996
"MARINHA RAUPP                  ","MARINHA RAUPP                  ","PSDB","RO","titular",10/22/1996,3/1/1998
"MARINHA RAUPP                  ","MARINHA RAUPP                  ","PSDB","RO","titular",4/2/1998,1/31/1999
"MARIO ASSAD JUNIOR             ","MARIO ASSAD JUNIOR             ","PFL","MG","efetivado",4/17/1998,1/31/1999
"MÁRIO CAVALLAZZI               ","MARIO CAVALLAZZI               ","PPB","SC","titular",2/1/1995,1/31/1999
