"orig.vote","dates","session","bill"
100000186,1996-01-17,"CD01E007O","PL N. 200/95 - REQUERIMENTO DE URGENCIA."
100000187,1996-01-17,"CD01E007O","PL N. 914/95 - PROJETO."
100000188,1996-01-23,"CD01E012O","PL 200/95 - SUBSTITUTIVO"
100000189,1996-01-24,"CD01E013O","PL N. 899/95 -  SUBEMENDA SUBSTITUTIVA."
100000275,1996-07-02,"CD02E001O","PL. N. 1229/95 - REQUERIMENTO DE URGENCIA"
100000276,1996-07-03,"CD02E002O","PL. N. 1669/96 - REQUERIMENTO DE URGENCIA"
100000277,1996-07-03,"CD02E002O","PL. N. 4716/94 - DESTAQUE EXPRESSAO  OU GRAVE"
100000278,1996-07-09,"CD02E007O","PL. N. 1125/95 - REQUERIMENTO DE URGENCIA."
100000279,1996-07-10,"CD02E008O","PEC. N. 256/95 - PROPOSTA INICIAL"
100000280,1996-07-10,"CD02E008O","PEC. N. 256/95 - EMENDAS EM GLOBO COM PARECER"
100000281,1996-07-10,"CD02E008O","PEC N.256/95 - EMENDA AGLUTINATIVA N. 1"
100000282,1996-07-10,"CD02E008O","PEC. N. 256/95 - DVS. EMENDA N. 09"
100000283,1996-07-16,"CD02E013O","PL. N. 2801/92 - SUBSTITUTIVO DO SENADO"
100000284,1996-07-17,"CD02E015O","PEC. N. 33/95 - PROPOSTA SEGUNDO TURNO"
100000285,1996-07-24,"CD02E021O","PEC. N. 256/95 - SEGUNDO TURNO"
100000286,1996-07-24,"CD02E021O","PEC. N. 367/95, APENSADA A DE NUMERO 201/95"
100000287,1996-07-24,"CD02E021O","PL. N. 1669/96 - SUBEMENDA SUBSTITUTIVA"
100000288,1996-12-17,"CD03E001O","PL. N. 1258/88 - EMENDAS DO SENADO, COM PARECER"
100000322,1996-03-05,"CD02O012O","PEC N. 33/95 - REQUERIMENTO ADIAMENTO DISCUSSAO"
100000323,1996-03-06,"CD02O013O","PEC. N.33/95 - REQUERIMENTO ENCERRAMENTO DISCUSSAO"
100000324,1996-03-06,"CD02O013O","PEC N. 33/95 - SUBSTITUTIVO"
100000325,1996-03-12,"CD02O018E","PL N. 824/91 - REQUERIMENTO RETIRADA DE PAUTA."
100000326,1996-03-19,"CD02O025E","PL N. 824/91 - REQ. RETIRADA DE PAUTA"
100000327,1996-03-20,"CD02O027O","PEC. N. 33/95 - CONCESSAO DO EFEITO SUSPENSIVO EM"
100000328,1996-03-21,"CD02O028E","PEC N. 33/95 - EMENDA AGLUTINATIVA SUBSTITUTIVA N. 6"
100000329,1996-04-10,"CD02O046E","PL. N. 824/91 - DVS INCISO III E PARAGRAFO UNICO"
100000330,1996-04-17,"CD02O051O","PLC N. 75/95 - PROJETO"
100000331,1996-04-17,"CD02O051O","PLC N. 75/95 - DVS NOS CASOS DE INELEGIBILIDADE"
100000332,1996-04-17,"CD02O051O","PLC N. 75/95 -  DVS POSSIBILITANDO-SE O EXERCICIO..."
100000333,1996-04-17,"CD02O051O","PLC N. 75/95 -  APLICANDO-SE ... (RETROATIVIDADE)"
100000334,1996-04-23,"CD02O056O","PEC N.25/95."
100000335,1996-04-24,"CD02O057O","PEC N. 41/91 - SUBSTITUTIVO"
100000336,1996-04-24,"CD02O057O","PEC N. 41/91 - PROPOSTA INICIAL"
100000337,1996-05-07,"CD02O066O","PEC N. 41/91 - 2 TURNO."
100000338,1996-05-07,"CD02O066O","PEC N.233/95 - ADIAMENTO DA VOTACAO."
100000339,1996-05-07,"CD02O066O","PL. N. 1287/95 - REQUERIMENTO DE URGENCIA"
100000340,1996-05-08,"CD02O067O","PEC. N. 233/95 - SUBSTITUTIVO"
100000341,1996-05-08,"CD02O067O","PEC. N.233/95 - DESTAQUE EMENDA 18"
100000342,1996-05-08,"CD02O067O","PEC. N. 233/95 - DESTAQUE EMENDA 38 ( PARAGRAFO 5"
100000343,1996-05-08,"CD02O067O","PEC. N. 233/95 - DVS EMENDA N. 26"
100000344,1996-05-08,"CD02O067O","PEC. N. 233/95 - DVS EMENDA N. 35"
100000345,1996-05-14,"CD02O072O","PL. N. 1287/95 - SUBSTITUTIVO DE PLENARIO"
100000346,1996-05-15,"CD02O074O","PEC. N. 33/95 - DVS N. 4 EXPRESSAO  OS CARGOS"
100000347,1996-05-15,"CD02O074O","PEC. N. 33/95 - DVS ARTIGO 40"
