"orig.vote","dates","session","bill"
100000001,1995-02-16,"CD01O001O","PROJETO DE RESOLUCAO N. 1/95 - REQUERIMENTO DE URGENCIA"
100000002,1995-03-07,"CD01O009O","PL 2331/91 - PROJETO"
100000003,1995-03-15,"CD01O016O","PL N. 4109/93 - REQUERIMENTO DE URGENCIA."
100000004,1995-03-22,"CD01O022O","PL N.154, DE 1995 - REQUERIMENTO DE URGENCIA"
100000005,1995-03-29,"CD01O027O","PL N. 194/95 - REQUERIMENTO DE URGENCIA."
100000007,1995-03-29,"CD01O027O","PL 3804/93 APRECIACAO PARECER CCJR"
100000008,1995-04-04,"CD01O031O","PL. N.233/95 - REQUERIMENTO DE URGENCIA."
100000009,1995-04-04,"CD01O031O","PL. N. 305/91 = RECURSO"
100000010,1995-04-18,"CD01O039O","PL N. 199 DE 1995 - REQUERIMENTO DE URGENCIA."
100000011,1995-04-19,"CD01O041O","PL 199, DE 1995 - DESMEMBRAMENTO - ACEITACAO DO"
100000012,1995-04-26,"CD01O046O","PL. N. 40/95 - PROJETO."
100000013,1995-04-27,"CD01O048O","PDL N. 443, DE 1994 - REQ. RETIRADA PAUTA"
100000014,1995-05-02,"CD01O050O","PEC N. 4/95 - REQUERIMENTO RETIRADA DE PAUTA."
100000015,1995-05-03,"CD01O051O","PEC 04 - SUBSTITUTIVO"
100000016,1995-05-04,"CD01O052O","PL N. 3981/93 - EMENDA SENADO."
100000017,1995-05-09,"CD01O055O","PEC N. 5/95 - REQ. RETIRADA DE PAUTA."
100000018,1995-05-10,"CD01O056O","PEC 5/95 - SUBSTITUTIVO"
100000019,1995-05-10,"CD01O056O","PEC 5/95 - EMENDA 2"
100000020,1995-05-11,"CD01O057E","PEC 4/95 - REQ. ENCERRAMENTO DISCUSSAO"
100000021,1995-05-16,"CD01O062O","PEC 4/95 - PROPOSTA"
100000022,1995-05-16,"CD01O062O","PEC 4/95-DVS ART. 2."
100000023,1995-05-16,"CD01O062O","PEC 7/95 - REQUERIMENTO ADIAMENTO DISCUSSAO"
100000024,1995-05-17,"CD01O063O","PEC N.7/95 - REQUERIMENTO DE ENCERRAMENTO DISCUSSAO."
100000025,1995-05-17,"CD01O063O","PEC N. 7/95 - SUBSTITUTIVO."
100000026,1995-05-17,"CD01O063O","PEC N. 7/95 - DVS EXPRESSAO LEI COMPLEMENTAR."
100000027,1995-05-17,"CD01O063O","PEC N.7/95 - EXPRESSAO MARITIMO."
100000028,1995-05-17,"CD01O063O","PEC N.7/95 DVS PARAGRAFO UNICO EMENDA 1"
100000029,1995-05-17,"CD01O063O","PEC N.7/95 - DVS PARAGRAFOS 1, 2, 3 E 4 DO ARTIGO"
100000030,1995-05-17,"CD01O063O","DVS - PARAGRAFO ,3. ,4. E 5. EMENDA 3"
100000031,1995-05-17,"CD01O063O","PEC N.7/95 - PARAGRAFO 3. DO ART. 178 - EMENDA 3"
100000032,1995-05-18,"CD01O065O","PEC N.5/95 - 2 TURNO RETIRADA DE PAUTA."
100000033,1995-05-23,"CD01O068O","PEC N. 5/95 - 2. TURNO"
100000034,1995-05-24,"CD01O069E","PEC N. 3/95 - REQUERIMENTO RETIRADA DE PAUTA"
100000035,1995-05-24,"CD01O070O","PEC N. 3/95 - REQUERIMENTO RETIRADA DE PAUTA."
100000037,1995-05-24,"CD01O070O","PEC 3/95 - SUBSTITUTIVO"
100000038,1995-05-24,"CD01O070O","PEC N. 3/95 - DVS EXPRESSAO AUTORIZACAO / PERMISSAO."
100000039,1995-05-24,"CD01O070O","PEC N. 3/95 - DVS EXPRESSAO  LEI COMPLEMENTAR."
100000040,1995-05-24,"CD01O070O","PEC N. 3/95 - DVS EXPRESSAO RESSALVADO O DISPOSTO...."
100000041,1995-05-24,"CD01O070O","PEC N. 3/95 - DVS EXPRESSAO  ASEGURADA A PRESTACAO..."
100000043,1995-05-30,"CD01O074O","pec n. 7\95 - REQUERIMENTO RETIRADA DE PAUTA."
100000045,1995-05-31,"CD01O075O","PEC N. 7/95 - 2. TURNO."
100000046,1995-06-06,"CD01O079O","PEC 3/95 - PROPOSTA"
100000047,1995-06-06,"CD01O079O","PEC 3/95 - DVS EXPRESSAO  OU MEDIANTE AUTORIZACAO..."
100000048,1995-06-07,"CD01O080O","PEC N. 6/95 - REQ. ADIAMENTO DE DISCUSSAO."
100000049,1995-06-07,"CD01O080O","PEC 6/95 - SUBSTITUTIVO."
100000050,1995-06-07,"CD01O080O","PEC N. 6/95 - DVS EXPRESSAO OU PRIVADAS."
100000051,1995-06-07,"CD01O080O","PEC 6/95 - INCISO III CONTIDO EM EXPRESSAO."
100000052,1995-06-07,"CD01O080O","PEC N. 6/95 - EMENDA N. 5 ."
100000053,1995-06-07,"CD01O080O","PEC N. 6/95 - EXPRESSAO REGULACAO, O DISCIPLINAMENTO...."
100000054,1995-06-07,"CD01O080O","PEC N. 6/95 - EXPRESSAO: QUE DISPORA SOBRE REGULACAO..."
100000055,1995-06-20,"CD01O090O","PEC N. 6/95 - REQUERIMENTO DE ADIAMENTO DE DISCUSSAO."
100000056,1995-06-20,"CD01O090O","PEC N.6/95 - PROPOSTA."
100000057,1995-06-27,"CD01O096O","PLC N.10/95 - REQUERIMENTO DE URGENCIA."
100000058,1995-06-27,"CD01O096O","PLC N.17/95 - REQUERIMENTO DE URGENCIA."
100000059,1995-06-28,"CD01O097E","PLC N. 10/95 - SUBSTITUTIVO."
100000060,1995-08-08,"CD01O107O","ITEM XXI - RECURSO 18."
100000061,1995-08-09,"CD01O108O","PL N. 373/95 - REQUERIMENTO DE URGENCIA."
100000062,1995-08-09,"CD01O108O","PDC N.95/95 - REQUERIMENTO DE  URGENCIA."
100000063,1995-08-10,"CD01O109O","PL N. 4386/94 - REQUERIMENTO DE ADIAMENTO DE VOTACAO."
100000064,1995-08-15,"CD01O112O","PL. N. 373/95 - EMENDA N. 4"
100000065,1995-08-15,"CD01O112O","PL N. 373/95 - EMENDA N. 3 ."
100000066,1995-08-15,"CD01O112O","PL  N.373/95 - DVS ART. 1. ."
100000067,1995-08-15,"CD01O112O","PL N. 1670/89 - REQUERIMENTO ADIAMENTO - 2 SESSOES."
100000068,1995-08-16,"CD01O113O","PL N. 1670/95 - REQ. EXTINCAO DA URGENCIA"
100000069,1995-08-16,"CD01O113O","PL N. 4792/90 - REQUERIMENTO RETIRADA DE PAUTA."
100000070,1995-08-17,"CD01O115O","PL N. 4555/94 - RECURSO"
100000071,1995-08-22,"CD01O118O","PL N.426/95 - REQUERIMENTO DE URGENCIA."
100000072,1995-08-24,"CD01O121O","PL. N. 426/95 - PROJETO"
100000073,1995-08-29,"CD01O125O","PL. N. 180/95 - REQUERIMENTO DE URGENCIA"
100000074,1995-08-29,"CD01O125O","PL N. 365/93 - REQUERIMENTO DE URGENCIA."
100000075,1995-08-30,"CD01O127O","PL 47/95 - REQUERIMENTO RETIRADA DE PAUTA."
100000076,1995-08-30,"CD01O127O","PLC N.47/95 - SUBSTITUTIVO."
100000077,1995-09-12,"CD01O136O","PL N.869/95 - REQUERIMENTO DE URGENCIA."
100000078,1995-09-12,"CD01O136O","PL N. 642/95 - REQUERIMENTO DE URGENCIA."
100000079,1995-09-12,"CD01O136O","PDL N. 160/95 - REQUERIMENTO DE URGENCIA"
100000080,1995-09-13,"CD01O138O","PL N. 869/95 - EMENDA N.1"
100000081,1995-09-13,"CD01O138O","PL N. 180/95 - EMENDA N. 42 ."
100000082,1995-09-13,"CD01O138O","PL N. 180/95 - EMENDA 143."
100000083,1995-09-13,"CD01O138O","PL N. 180/95 - EMENDA N. 35 ."
100000084,1995-09-14,"CD01O139E","PL N.180/95 - EMENDA N. 35 ."
100000085,1995-09-20,"CD01O145O","PEC N. 182/94 - PROPOSTA"
100000086,1995-09-26,"CD01O149O","MENSAGEM 984/95 - REQUERIMENTO URGENCIA."
100000087,1995-09-27,"CD01O150O","PL. N. 180/95 - DVS EMENDA 41"
100000088,1995-09-27,"CD01O150O","PL. N. 180/95 - EMENDA N. 6"
100000089,1995-09-27,"CD01O150O","PL N. 180/95 - EMENDA 34."
100000090,1995-09-28,"CD01O151E","PEC N. 182/94 - 2 TURNO."
100000091,1995-10-05,"CD01O158E","PL N. 4645/94 - REQ, RETIRADA DE PAUTA,"
100000092,1995-10-18,"CD01O169O","PLC N. 9/95 - REQUERIMENTO DE URGENCIA"
100000093,1995-10-18,"CD01O169O","PL. N. 1088/95 - REQUERIMENTO DE URGENCIA"
100000094,1995-10-18,"CD01O169O","PLC N. 202/89 - REQUERIMENTO DE URGENCIA"
100000095,1995-10-24,"CD01O174O","PL N.1088/95 - PROJETO."
100000096,1995-10-26,"CD01O176E","PLC. N. 9/95 - REQUERIMENTO ADIAMENTO DISCUSSAO"
100000097,1995-10-31,"CD01O180O","PL N.914/95 - REQUERIMENTO DE URGENCIA."
100000098,1995-10-31,"CD01O180O","PLP N. 9/95 - SUBSTITUTIVO"
100000099,1995-10-31,"CD01O180O","PLC N. 9/95 - EMENDAS 1,2,3 E 5"
100000100,1995-10-31,"CD01O180O","PLC N. 9/95 - DESTAQUE EXPRESSAO VINTE POR CENTO"
100000101,1995-10-31,"CD01O180O","PLC N. 9/95 - DVS EXPRESSAO  COOPERATIVA DE CREDITO "
100000102,1995-10-31,"CD01O180O","PLC N. 9/95 - DVS ARTIGO 3"
100000103,1995-10-31,"CD01O180O","PLC N. 9/95 - SUBEMENDA A EMENDA 4"
100000104,1995-10-31,"CD01O180O","PLC N. 9/95 - DVS ARTIGO 7"
100000105,1995-11-01,"CD01O182E","PEC N. 163/95- REQUERIMENTO ENCERRAMENTO DISCUSSAO"
100000106,1995-11-01,"CD01O182E","PEC N. 163/95 - SUBSTITUTIVO"
100000107,1995-11-01,"CD01O182E","PEC N. 163/95 - DVS ARTIGO 71 EMENDA 7"
100000108,1995-11-01,"CD01O182E","PEC N. 163/95 - DVS  PRAZO DE DOIS ANOS  - EMENDA 4"
100000109,1995-11-01,"CD01O182E","PEC N. 163/95 - DVS EXPRESSAO  PRIORITARIAMENTE  ART.71"
100000110,1995-11-01,"CD01O182E","PEC N. 163/95 - DVS EXPRESSAO  E DESPESAS... SOCIAL "
100000111,1995-11-07,"CD01O186O","PEC N. 163/95 - EXPRESSAO  E DESPESAS ORCAMENTARIAS..."
100000112,1995-11-07,"CD01O186O","PEC N. 163/95 - EXPRESSAO  A QUAL NOS EXERCICIOS..."
100000113,1995-11-07,"CD01O186O","PEC N. 163/95 - DVS EXPRESSAO  OU A SEREM CRIADOS "
100000114,1995-11-07,"CD01O186O","PEC N. 163/95 - DVS EXPRESSAO  INCISO II "
100000115,1995-11-08,"CD01O187O","PEC N. 163/95 - CONCESSAO EFEITO SUPENSIVO"
100000116,1995-11-08,"CD01O187O","PEC N. 163/95 - DVS EMENDA 5"
100000117,1995-11-08,"CD01O187O","PLC N. 913/95 - REQUERIMENTO DE URGENCIA"
100000118,1995-11-08,"CD01O187O","PR N. 60/95 - REQUERIMENTO DE URGENCIA"
100000119,1995-11-09,"CD01O189O","PLN. 913/95 - SUBSTITUTIVO"
100000120,1995-11-22,"CD01O197O","PEC N. 163/95 - PROPOSTA."
100000121,1995-11-22,"CD01O197O","PEC N. 163/95 - DVS EXPRESSAO E DESPESAS ... E SOCIAL"
100000122,1995-11-22,"CD01O197O","PEC N. 163/95 - DVS EXPRESSAO A QUAL ... JUNHO DE 1997."
100000123,1995-11-22,"CD01O197O","PEC N. 163/95 - DVS EXPRESSAO OU A SEREM CRIADAS."
100000124,1995-11-28,"CD01O203O","PL. N. 992/95 - REQUERIMENTO DE URGENCIA"
100000125,1995-11-28,"CD01O203O","PLC N. 54/95 - PROJETO"
100000127,1995-11-29,"CD01O205O","pl n. 1236/95 - req. urgencia."
100000128,1995-11-29,"CD01O205O","PL. N. 1727/91 - REQUERIMENTO DE URGENCIA"
100000129,1995-11-29,"CD01O205O","PROJETO DE RESOLUCAO N. 21/95 - REQUERIMENTO"
100000130,1995-12-05,"CD01O211O","PEC N.48/95 - SUBSTITUTIVO"
100000131,1995-12-06,"CD01O212O","PL N. 1236/95 - SUBSTITUTIVO"
100000133,1995-12-12,"CD01O217O","PL N. 899/95 - REQUERIMENTO DE URGENCIA."
100000134,1995-12-13,"CD01O218O","PEC N.48/95 - 2 TURNO."
100000135,1995-12-13,"CD01O218O","PL N.899/95 - REQ, RETIRADA DE PAUTA."
100000709,1995-01-17,"CD11E014O","PROJETO DE RESOLUCAO N. 229/94 - REGIME DE URGENCIA"
100000710,1995-01-17,"CD11E014O","PDL N. 451/95 - REQ. DE URGENCIA"
100000711,1995-01-17,"CD11E014O","PDL N. 451/95 - PROJETO"
100000712,1995-01-17,"CD11E014O","PDL N. 451/95 - PROJETO"
100000713,1995-01-17,"CD11E014O","PDL N, 452/95 - REQUERIMENTO DE URGENCIA"
100000714,1995-01-17,"CD11E014O","PDL N. 452/95 - PROJETO"
100000715,1995-01-18,"CD11E015E","PL. N. 4851/94 - REQUERIMENTO DE PREFERENCIA"
100000716,1995-01-18,"CD11E015E","PL. N. 4851/94 - REQUERIMENTO DE URGENCIA"
100000717,1995-01-18,"CD11E015E","PL. N. 4851/94 - SUBSTITUTIVO"
