"orig.vote","dates","session","bill"
1369,2001-02-20,"CD03O004O","PLP Nº 116/00 - PROJETO"
1370,2001-02-20,"CD03O004O","RECURSO Nº 113/00 - PL Nº 5.788/90 - SF"
1378,2001-04-03,"CD03O039O","PLP Nº 23/99 - SUBSTITUTIVO DO SENADO FEDERAL"
1380,2001-04-04,"CD03O040O","PL Nº 3.998/2001 - DVS EMENDA Nº 7"
1381,2001-04-04,"CD03O040O","PL Nº 4.177/2001 - REQUERIMENTO DE INVERSÃO DE PAUTA"
1382,2001-04-17,"CD03O051O","PLP Nº 8/1999 - REQUERIMENTO DE RETIRADA DE PAUTA"
1383,2001-04-17,"CD03O051O","PLP Nº 8/1999 - EMENDAS COM PARECER FAVORAVEL"
1384,2001-04-18,"CD03O053E","PLP Nº 08/99 - DVS - EMENDA Nº 2 DO SENADO FEDERAL"
1385,2001-04-18,"CD03O054O","PLP Nº 08/99 - DVS - CAPUT DO ART. Nº 11 DA EMENDA Nº 1 DO SF"
1386,2001-04-18,"CD03O054O","PLP Nº 08/99 - REQUERIMENTO DE PARCELAMENTO DA VOTAÇÃO DA EMENDA Nº 03"
1388,2001-04-24,"CD03O061O","PLP Nº 08/99 - DVS - EMENDA Nº 3 DO SENADO FEDERAL"
1391,2001-04-25,"CD03O063O","PLP Nº 10/99 - DVS - EMENDA DO SENADO FEDERAL DE Nº 1"
1392,2001-04-25,"CD03O063O","PLP Nº 10/99 - DVS - EMENDA DO SENADO FEDERAL DE Nº 2"
1393,2001-04-25,"CD03O063O","PLP Nº 10/99 - DVS - EMENDA DO SENADO FEDERAL DE Nº 3"
1398,2001-05-15,"CD03O080O","PL Nº 4.210/2001 - DVS EMENDA Nº 9"
1399,2001-05-16,"CD03O082O","PLP Nº 177/2001 - SUBEMENDA SUBSTITUTIVA ÀS EMENDAS DE PLENARIO"
1400,2001-05-17,"CD03O083E","PLP Nº 177/2001 - DVS PARA EMENDA Nº 54"
1401,2001-05-22,"CD03O087O","PLP Nº 177/2001 - DVS - EMENDA DE PLENÁRIO  Nº 54"
1402,2001-05-22,"CD03O087O","PLP Nº 177/2001 - DVS - EMENDA DE PLENÁRIO  Nº 57"
1403,2001-05-22,"CD03O087O","PLP Nº 177/2001 - DVS - EMENDA DE PLENÁRIO  Nº 08"
1404,2001-05-22,"CD03O087O","PLP Nº 177/2001 - DVS - EMENDA DE PLENÁRIO  Nº 51"
1405,2001-05-22,"CD03O087O","PLP Nº 177/2001 - DVS  § 3º DO ARTIGO 4º DO PLP Nº 177/2001"
1406,2001-05-23,"CD03O089O","PLP Nº 177/2001 - DVS - EMENDA DE PLENÁRIO  Nº 05"
1407,2001-05-23,"CD03O089O","PLP Nº 177/2001 - DVS - EMENDA DE PLENÁRIO  Nº 06"
1409,2001-05-23,"CD03O089O","PLP Nº 195/2001 - REQUERIMENTO DE RETIRADA DE PAUTA"
1413,2001-05-29,"CD03O094O","PLP Nº 195/2001 - PREFERÊNCIA PARA A EMENDA GLOBAL SUBSTITUTIVA  Nº 1"
1414,2001-05-29,"CD03O094O","PLP Nº 195/2001 - SUBSTITUTIVO DA COMISSÃO DE FINANÇAS"
1415,2001-05-29,"CD03O094O","PLP Nº 195/2001 - DVS - PDT/PPS - EMENDA Nº 49"
1416,2001-05-29,"CD03O094O","PLP Nº 195/2001 - EMENDAS DE PLENÁRIO EM GLOBO DE Nº 25 A 56 COM PARECER PELA REJEIÇÃO"
1417,2001-05-30,"CD03O096O","PLP Nº 195/2001 - DVS PT  Nº 3 - INCISO I DO ART. 4º DO SUBSTITUTIVO DA CFT"
1418,2001-05-30,"CD03O096O","PLP Nº 195/2001 - - DVS PT Nº 4 - ART. 5º DO SUBSTITUTIVO DA CFT"
1420,2001-05-30,"CD03O096O","PLP Nº 195/2001 - DVS  PDT /PPS Nº 6  EMENDA DE PLENÀRIO Nº 55"
1421,2001-05-30,"CD03O096O","PLP Nº 195/2001 - DVS PT Nº 7 - § 6º DO ART. 6º DO SUBSTITUTIVO DA CFT"
1422,2001-05-30,"CD03O096O","PLP Nº 195/2001 - EMENDA DE REDAÇÃO Nº 1"
1423,2001-06-06,"CD03O104O","PEC Nº 472/97 - REQUERIMENTO DE ADIAMENTO DE VOTAÇÃO POR CINCO SESSÕES"
1424,2001-06-07,"CD03O105E","RECURSO Nº 52 - DO DEPUTADO JOSÉ GENOÍNO EM QUESTÃO DE ORDEM"
1426,2001-06-19,"CD03O115O","PL Nº 1.733/96 - REQUERIMENTO DE URGÊNCIA"
1427,2001-06-19,"CD03O115O","PL Nº 3.242/2000 - REQUERIMENTO DE URGÊNCIA"
1429,2001-06-20,"CD03O117O","PL Nº 3.267/2000 - REQUERIMENTO DE URGÊNCIA"
1431,2001-06-20,"CD03O117O","PEC Nº 472/97 - SUBSTITUTIVO DA COMISSÃO ESPECIAL"
1432,2001-06-20,"CD03O117O","PEC Nº 472/97 - EMENDA AGLUTINATIVA SUBSTITUTIVA"
1478,2001-08-01,"CD03O126O","MENSAGEM Nº 527/2001 - REQUERIMENTO DE URGÊNCIA"
1479,2001-08-01,"CD03O126O","PEC Nº 472/1997 - SEGUNDO TURNO"
1480,2001-08-07,"CD03O131O","PL Nº 4.143/2001 - REQUERIMENTO DE URGÊNCIA"
1483,2001-08-16,"CD03O140E","RECURSO Nº 144/2001 - PDL Nº 869/2001"
1484,2001-08-21,"CD03O145O","PRC Nº 176/2001 - REQUERIMENTO DE URGÊNCIA"
1485,2001-08-22,"CD03O147O","PLP Nº 242/98 - REGIÃO INTEGRADA GRANDE TERESINA"
1486,2001-08-22,"CD03O147O","PLP Nº 155/2000 - REGIÃO ADMINISTRATIVA PETROLINA/PE E JUAZEIRO/BA"
1487,2001-08-22,"CD03O147O","PEC Nº 308/1996 - SUBSTITUTIVO DA COMISSÃO ESPECIAL"
1488,2001-08-22,"CD03O147O","PEC Nº 308/1996 - DVS ARTIGO 2º"
1489,2001-08-28,"CD03O153O","PLP Nº 9/1999 - REQUERIMENTO DE PREFERÊNCIA DE DVS NºS 11, 9, 12 e 13"
1490,2001-08-28,"CD03O153O","PLP Nº 9/1999 - DVS Nº 11 - PMDB"
1491,2001-08-29,"CD03O155O","PLP Nº 9/99 - DVS Nº 9"
1493,2001-08-29,"CD03O155O","PLP Nº 9/99 - DVS Nº 13"
1494,2001-08-29,"CD03O155O","PLP Nº 9/99 - DVS Nº 5"
1496,2001-09-04,"CD03O162O","PRC Nº 106/92 - SUBEMENDA ADOTADA PELA CCJR  A EMNEDA DE PLENÁRIO Nº 5"
1503,2001-09-05,"CD03O163O","PRC Nº 106/92 - SUBEMENDA SUBSTITUTIVA ADOTADA PELA MESA ÀS EMENDAS Nºs 8, 10 e 11"
1509,2001-09-19,"CD03O175E","PLP Nº 09/99 - DVS Nº 5 - INCISO  I ARTIGO 4º"
1513,2001-09-25,"CD03O181O","PEC Nº 308/1996 - SEGUNDO TURNO"
1517,2001-10-02,"CD03O188O","PEC Nº 277/2000 - SUBEMENDA SUBSTITUTIVA"
1518,2001-10-03,"CD03O190O","PRC Nº 106/92 - EMENDA DE PLENÁRIO Nº 2"
1526,2001-10-10,"CD03O198E","PEC Nº 277/2000 - SEGUNDO TURNO"
1527,2001-10-17,"CD03O205O","PDL Nº 381/99 - REQUERIMENTO DE URGÊNCIA"
1528,2001-10-17,"CD03O206E","PEC Nº 222/2000 - SUBSTITUTIVO"
1529,2001-10-17,"CD03O206E","PEC Nº 222/2000 - DVS INCISO II DO ARTIGO 149"
1530,2001-10-17,"CD03O206E","PEC Nº 222/2000 - DVS INCISO III DO ARTIGO 149"
1532,2001-10-17,"CD03O206E","PEC Nº 222/2000 - DVS  § 1º ARTIGO 149"
1533,2001-10-17,"CD03O206E","PEC Nº 222/2000 - DVS  § 2º ARTIGO 149"
1534,2001-10-23,"CD03O212O","PLP Nº 9/99 - EMENDA AGLUTINATIVA Nº 1"
1535,2001-10-23,"CD03O213E","PEC Nº 289/2000 - SUBSTITUTIVO DA COMISSÃO"
1538,2001-10-30,"CD03O221O","PLP Nº 9/1999 - REQUERIMENTO DE PREFERÊNCIA DVS Nº 8"
1540,2001-10-30,"CD03O221O","PLP Nº 9/1999 - DVS Nº 8 / PT - INCISO II DO ARTIGO 4º DO SUBSTITUTIVO"
1541,2001-11-06,"CD03O228O","PEC Nº 610/98 - EMENDA AGLUTINATIVA SUBSTITUTIVA"
1544,2001-11-07,"CD03O230O","PL Nº 5.470/2001 - REQUERIMENTO DE URGÊNCIA"
1545,2001-11-07,"CD03O230O","PLP Nº 09/99 - DVS Nº 5 - INCISO I DO ARTIGO 4º DO SUBSTITUTIVO"
1548,2001-11-27,"CD03O247O","PL Nº 5.483/2001 - REQUERIMENTO DE ENCERAMENTO DA DISCUSSÃO"
1551,2001-11-27,"CD03O248E","PL Nº 5.483/2001 - REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR DUAS SESSÕES"
1552,2001-11-28,"CD03O248E","PL Nº 5.483/2001 - SUBSTITUTIVO"
1572,2001-12-04,"CD03O254O","PL Nº 5.483/2001 - SUBSTITUTIVO"
1573,2001-12-04,"CD03O254O","PL Nº 5.483/2001 - DVS EXPRESSÃO OU ACORDO COLETIVO"
1574,2001-12-05,"CD03O255E","PEC Nº 610/98 - SEGUNDO TURNO"
1575,2001-12-05,"CD03O255E","PEC Nº 610/98 - DVS - EXPRESSÃO PROFERIDOS............. EM FUNÇÃO DELE (ART. 53, CAPUT )"
1576,2001-12-05,"CD03O255E","PEC Nº 610/98 - DVS - § 3º DO ARTIGO 53"
1577,2001-12-05,"CD03O255E","PEC Nº 222/2000 - SEGUNDO TURNO"
1578,2001-12-05,"CD03O255E","PEC Nº 222/2000 - § UNICO DO ARTIGO 149-A"
1579,2001-12-06,"CD03O256E","MPV Nº 7/2001 - EMENDA DO SENADO FEDERAL"
1580,2001-12-11,"CD03O261O","MPV Nº 7/2001 - EMENDA DO SENADO FEDERAL"
1581,2001-12-11,"CD03O262E","PL Nº 4.177/2001 - REQUERIMENTO DE URGÊNCIA"
1583,2001-12-11,"CD03O262E","PEC Nº 203/95 - EMENDA AGLUTINATIVA Nº 1- SUBSTITUTIVA"
1584,2001-12-12,"CD03O263O","PL Nº 5.470/2001 - REQUERIMENTO DE PREFERENCIA PROJETO DO SENADO"
1589,2001-12-12,"CD03O263O","PLP Nº 183/2001 - PROJETO"
