"orig.vote","dates","session","bill"
100000136,1992-03-11,"CD02O016O","PEC N. 61-B/90"
100000137,1992-03-18,"CD02O022O","REQ URGENCIA PL 2145/91"
100000138,1992-03-24,"CD02O026O","REQ.URGENCIA - PL  2.592/92 E OUTROS"
100000139,1992-03-25,"CD02O028O","REQUERIMENTO DE URGENCIA PL N. 2592/92 E OUTROS."
100000140,1992-03-25,"CD02O028O","PEC N.61/90."
100000141,1992-03-25,"CD02O028O","PEC 51/90 - REQ. ENCERRAMENTO DISCUSSAO"
100000142,1992-03-25,"CD02O028O","PEC 51/90 - SUBSTITUTIVO"
100000143,1992-03-25,"CD02O028O","PEC 51/90 ART 1, PARAG. 1"
100000144,1992-03-25,"CD02O028O","PEC"
100000145,1992-03-26,"CD02O029O","PEC 51/90 - REC. EFEITO SUSPENSIVO Q. ORDEM"
100000146,1992-04-01,"CD02O033O","PDL 82/91"
100000147,1992-04-29,"CD02O050O","RECURSO PL N.4573/90."
100000148,1992-04-29,"CD02O050O","PEC 51 - DVS ART. 1 - PARAGRAFO 1."
100000149,1992-04-29,"CD02O050O","PEC 51 DVS - ART. 2."
100000150,1992-04-29,"CD02O050O","PEC 51 - DVS - EXPRESSAO - ART. 2."
100000151,1992-04-29,"CD02O050O","PEC - DVS - ART. 3 E PARAGRAFOS"
100000152,1992-04-29,"CD02O050O","PL 2747/92 - REQUERIMENTO DE PREFERENCIA."
100000153,1992-04-29,"CD02O050O","PL 2747/92 - PROJETO"
100000154,1992-04-29,"CD02O050O","PL 2747/92 - DVS ART. 3."
100000155,1992-04-29,"CD02O050O","PL 2747 - DEST. EM. N. 7 - 280.000,00"
100000156,1992-05-06,"CD02O054O","PL 2747/92 - EMENDA DO SENADO"
100000157,1992-05-13,"CD02O059O","REQ. URGENCIA PL 1991/91 LICITACAO"
100000158,1992-05-13,"CD02O059O","PL 2686 - EMENDA N. 17"
100000159,1992-05-27,"CD02O070O","PEC 51/90 - PROJETO."
100000160,1992-05-27,"CD02O070O","PEC. 51/90 - DVS PARAGRAFO I DO ART I."
100000161,1992-05-28,"CD02O071O","PLC 97/89 - SUBSTITUTIVO FINANCAS"
100000162,1992-06-02,"CD02O075O","PLC 97/92 - SUBSTITUTIVO COMISSAO FINANCAS"
100000163,1992-06-03,"CD02O076O","PEC 82/91 SUBSTITUTIVO"
100000164,1992-06-03,"CD02O077E","PL 202/91 - SUBEMENDA SUBSTITUTIVA"
100000165,1992-06-04,"CD02O078O","PL 202/91 - SUBEMENDA SUBSTITUTIVA."
100000166,1992-06-09,"CD02O081O","PL 202/91 - SUBEMENDA SUBSTITUTIVA"
100000167,1992-06-10,"CD02O083O","PLC 73/91 - PREF. DESTAQUE EMENDA 155"
100000168,1992-06-10,"CD02O083O","PLC - N.97/92."
100000169,1992-06-10,"CD02O083O","REQ. URGENCIA - PL N.4573/90."
100000170,1992-06-11,"CD02O084O","PLC N.73/91 - REQ. PREFERENCIA EMENDA 155."
100000171,1992-06-11,"CD02O084O","PLC N.73/91 - EMENDA 155 SUBSTITUTIVA."
100000172,1992-06-23,"CD02O093O","PEC N.82/91 - SUBSTITUTIVO."
100000173,1992-06-24,"CD02O095O","REQUERIMENTO DE URGENCIA PL 2990/92"
100000174,1992-06-25,"CD02O096E","PL 8/91 - REQUERIMENTO DE PREFERENCIA"
100000177,1992-08-12,"CD02O108O","REQ. URGENCIA PL 3031/92"
100000178,1992-09-22,"CD02O140O","REQ. URGENCIA PDL N. 141/91"
100000179,1992-10-21,"CD02O160O","PL 5051/90 - RECURSO P/ PLENARIO"
100000180,1992-11-04,"CD02O170O","REQ. URGENCIA - PROJ. RESOLUCAO N.93/92"
100000181,1992-11-04,"CD02O170O","PROJ. RESOLUCAO N. 93/92 - SUBEMENDA SUBSTITUTIVA"
100000182,1992-11-25,"CD02O186O","PL N. 1258/88 - EMENDAS EM GLOBO - FAVORAVEL"
100000183,1992-12-02,"CD02O191O","PL N. 2920/92 - REDACAO FINAL"
100000184,1992-12-03,"CD02O192E","PL N.1258/88 - LDB - DVS ART. 8"
100000289,1992-07-07,"CD04E005O","PEC 51/90 - DVS PAR. 1 DO ART. 1 - 2 TURNO"
100000290,1992-07-08,"CD04E006O","PEC N. 51/90 - DVS PARAGRAFO 1 DO ART 1 - 2 TURMO."
100000291,1992-07-08,"CD04E006O","PEC 51/90 - DVS ARTIGO 2 - 2 TURNO."
100000292,1992-07-09,"CD04E007E","PL N. 2990/92 - SUBSTITUTIVO"
100000293,1992-12-16,"CD05E002E","PL N. 3399/92 - SUBSTITUTIVO CSSF"
100000294,1992-12-17,"CD05E004E","PL N. 3387 /92 - EMENDA N. 9"
100000719,1992-12-08,"CD02O195O","PL 1258/88  -LDB - DVS ART.8"
100000762,1992-06-30,"CD02O099O","PEC 82/91 - SEGUNDO TURNO"
100000763,1992-06-30,"CD02O099O","PLC 71/89 - SUBSTITUTIVO CCJR"
