"orig.vote","dates","session","bill"
141,1998-10-13,"CD04O141O","245"
161,1998-11-04,"CD04O154E","PEC 33/95 - 2º TURNO - DVS Nº 5 - EXPRESSÃO EXCLUSIVAMENTE"
181,1998-11-04,"CD04O154E","PEC 33/95 - 2º TURNO - DVS Nº 7 - LIMITE IDADE REGRAS TRANSIÇÃO"
184,1998-11-10,"CD04O159O","PL 4769/98 - REQUERIMENTO DE URGÊNCIA"
203,1998-03-17,"CD04O022O","PEC N.33/95 - EMENDA AGLUTINATIVA N.57 ."
205,1998-03-18,"CD04O023O","PEC. N. 33/95 - REQUERIMENTO DE PREFERENCIA"
225,1998-05-06,"CD04O061O","PEC. N. 33/95 - DVS N. 06"
285,1998-11-18,"CD04O166E","PEC Nº 526/97 - HABEAS CORPUS"
385,1998-11-24,"CD04O171O","PLC 33/95 - REQUERIMENTO RETIRADA DE PAUTA"
405,1998-11-24,"CD04O171O","PLC 200/89 - REQUERIMENTO DE URGÊNCIA"
425,1998-11-25,"CD04O172E","PL Nº 3.901/97 - REQUERIMENTO DE URGÊNCIA"
446,1998-11-25,"CD04O172E","PL N. 4071/98 - REQUERIMENTO DE RETIRADA PAUTA - REQ. URGÊNCIA"
465,1998-11-25,"CD04O172E","PL Nº 4.071/98 - REQUERIMENTO DE URGÊNCIA"
546,1998-12-01,"CD04O177O","PEC. 33/95 - REDAÇÃO FINAL"
586,1998-12-08,"CD04O184O","PL. Nº 3066/97 - REQUERIMENTO DE URGÊNCIA"
100000190,1998-03-04,"CD04O009O","PEC N. 33/95 - EMENDA AGLUTINATIVA N. 49"
100000191,1998-03-04,"CD04O009O","PEC N. 33/95 - EMENDA AGLUTINATIVA N. 2."
100000198,1998-03-12,"CD04O017E","REQUERIMENTO COMISSAO EXTERNA COELCE."
100000199,1998-03-12,"CD04O017E","PEC N. 33/95 - EMENDA AGLUTINATIVA N. 11 ."
100000200,1998-03-17,"CD04O022O","EFEITO SUSPENSIVO RECURSO DEPUTADO MARCELO DEDA"
100000201,1998-03-17,"CD04O022O","PEC N. 33/95 - EMENDA AGLUTINATIVA N. 11 ."
100000202,1998-03-17,"CD04O022O","PEC N. 33/95 - EMENDA AGLUTINATIVA N. 56 ."
100000203,1998-03-17,"CD04O022O","PEC N.33/95 - EMENDA AGLUTINATIVA N.57 ."
100000204,1998-03-18,"CD04O023O","PEC N. 33/95 - EMENDA AGLUTINATIVA N. 55 ."
100000205,1998-03-18,"CD04O023O","PEC. N. 33/95 - REQUERIMENTO DE PREFERENCIA"
100000206,1998-03-18,"CD04O023O","PEC N. 33/95 - DVS N. 3"
100000207,1998-03-18,"CD04O023O","PEC. N. 33/95 - EMENDA AGLUTINATIVA N. 15"
100000208,1998-03-18,"CD04O025E","PEC N. 33/95 - EMENDA AGLUTINATIVA N. 19"
100000209,1998-03-18,"CD04O025E","PEC. N. 33/95 - EMENDA AGLUTINATIVA N. 20"
100000210,1998-03-19,"CD04O024E","PEC N. 33/95 - EMENDA AGLUTINATIVA N. 44."
100000211,1998-03-24,"CD04O029O","PEC N. 33/95 - EMENDA AGLUTINATIVA N. 28."
100000212,1998-03-24,"CD04O029O","PEC. N. 33/95 - REQUERIMENTO DE PREFERENCIA"
100000213,1998-03-24,"CD04O029O","PEC. N. 33/95 - EMENDA AGLUTINATIVA N. 62"
100000214,1998-03-25,"CD04O030E","PEC N. 33/95 - EMENDA AGLUTINATIVA N. 48 ."
100000215,1998-03-25,"CD04O030E","PEC N. 33/95 - EMENDA AGLUTINATIVA N. 38."
100000216,1998-03-25,"CD04O031O","PEC. N. 33/95 - REQUERIMENTO DE PREFERENCIA"
100000217,1998-03-25,"CD04O031O","PEC. N. 33/95 - EMENDA AGLUTINATIVA N. 63"
100000218,1998-03-25,"CD04O031O","PEC N. 33/95 - EMENDA AGLUTINATIVA N. 29 ."
100000219,1998-03-25,"CD04O032E","PEC N. 33/95 - EMENDA AGLUTINATIVA N. 60."
100000220,1998-03-25,"CD04O032E","PEC N. 33/95 - EMENDA AGLUTINATIVA N. 61."
100000221,1998-04-29,"CD04O054O","PEC. N. 33/95 - REQ. DE PREFERENCIA"
