"orig.vote","dates","session","bill"
3117,2008-02-13,"CD02O005O","MPV  Nº 397/2007 - PARECER DO RELATOR PELA ADMISSIBILIDADE"
3118,2008-02-19,"CD02O011O","MPV  Nº 398/2007 - REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR DUAS SESSÕES"
3121,2008-02-19,"CD02O011O","MPV  Nº 398/2007 - PARECER DO RELATOR PELA ADMISSIBILIDADE"
3122,2008-02-19,"CD02O012E","MPV  Nº 398/2007 - PROJETO DE LEI DE CONVERSÃO"
3124,2008-02-21,"CD02O014E","MPV  Nº 398/2007 - DVS - EMENDA Nº 21 (PR)"
3132,2008-02-26,"CD02O017O","MPV  Nº 398/2007 - DVS - EMENDA Nº 75 (PPS)"
3134,2008-02-26,"CD02O017O","MPV  Nº 398/2007 - DVS - EMENDA Nº 99 (PSDB)"
3137,2008-02-26,"CD02O018E","MPV  Nº 398/2007 - DVS - ART. 31 DO PLV (DEM)"
3147,2008-02-27,"CD02O019O","MPV  Nº 399/2007 - PARECER DO RELATOR PELA ADMISSIBILIDADE"
3149,2008-02-27,"CD02O019O","MPV  Nº 400/2007 - PARECER DO RELATOR PELA ADMISSIBILIDADE"
3226,2008-04-01,"CD02O055O","MPV  Nº 406/2007 - PARECER DO RELATOR PELA ADMISSIBILIDADE"
3228,2008-04-02,"CD02O056O","MPV  Nº 408/2007 - PARECER DO RELATOR PELA ADMISSIBILIDADE"
3233,2008-04-08,"CD02O061O","MPV  Nº 409/2007 - REQUERIMENTO DE RETIRADA DE PAUTA"
3234,2008-04-08,"CD02O061O","MPV  Nº 409/2007 - PARECER DO RELATOR PELA ADMISSIBILIDADE"
3238,2008-04-10,"CD02O063E","MPV  Nº 411/2007 - REQUERIMENTO DE RETIRADA DE PAUTA"
3250,2008-04-22,"CD02O075O","MPV  Nº 417/2008 - DVS DEM  - EMENDA Nº 48"
3253,2008-04-22,"CD02O076E","MPV  Nº 414/2008 - PARECER DO RELATOR PELA ADMISSIBILIDADE"
3257,2008-04-23,"CD02O078O","MPV  Nº 415/2008 - PARECER DO RELATOR PELA ADMISSIBILIDADE"
3259,2008-04-23,"CD02O079E","MPV  Nº 415/2008 - DVS DEM - INCISO II DO ARTIGO 5º DO PLV"
3261,2008-04-29,"CD02O086O","MPV  Nº 413/2008 - REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR UMA SESSÃO"
3263,2008-04-29,"CD02O087E","MPV  Nº 413/2008 - PARECER DO RELATOR PELA ADMISSIBILIDADE"
3266,2008-04-29,"CD02O087E","MPV  Nº 413/2008 - DVS DEM - ARTIGO 32 DO PLV"
3272,2008-05-06,"CD02O090O","MPV  Nº 418/2008 - DVS PSDB - EMENDA Nº 4"
3278,2008-05-07,"CD02O092O","MPV  Nº 420/2008 - PARECER DO RELATOR PELA ADMISSIBILIDADE"
3282,2008-05-07,"CD02O092O","MPV  Nº 421/2008 - PARECER DO RELATOR PELA NÃO ADMISSIBILIDADE"
3284,2008-05-08,"CD02O094E","MPV  Nº 422/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3285,2008-05-13,"CD02O097O","MPV  Nº 422/2008 - PARECER DO RELATOR PELA ADMISSIBILIDADE"
3292,2008-05-13,"CD02O098E","PDC  Nº 563/2008 - 1º TURNO"
3304,2008-05-27,"CD02O111O","PL   Nº 2468/2007 - SUBSTITUTIVO DA CTASP"
3305,2008-05-27,"CD02O112E","PEC  Nº 333/2004 - EMENDA AGLUTINATIVA SUBSTITUTIVA GLOBAL DE Nº 1"
3307,2008-05-28,"CD02O113O","MPV  Nº 424/2008 - REQUERIMENTO DE PREFERÊNCIA Nº 1 - DEM"
3312,2008-05-28,"CD02O113O","MPV  Nº 424/2008 - REQUERIMENTO DE PREFERÊNCIA Nº 5"
3314,2008-05-28,"CD02O114E","MPV  Nº 410/2007 - REQUERIMENTO DE RETIRADA DE PAUTA"
3318,2008-05-28,"CD02O115E","PDC  Nº 563/2008 - SEGUNDO TURNO"
3319,2008-05-28,"CD02O115E","PLP  Nº 132/2007 - EMENDA DE PLENÁRIO Nº 1"
3320,2008-05-28,"CD02O115E","PLP  Nº 132/2007 - PROJETO DE LEI COMPLEMENTAR"
3321,2008-05-28,"CD02O115E","PEC  Nº 333/2004 - SEGUNDO TURNO"
3323,2008-06-03,"CD02O123O","MPV  Nº 424/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3326,2008-06-03,"CD02O123O","MPV  Nº 424/2008 - REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR UMA SESSÃO"
3328,2008-06-03,"CD02O124E","MPV  Nº 424/2008 - REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO E ENCAMINHAMENTO"
3329,2008-06-04,"CD02O125E","PROPOSIÇÃO - REQ PARA REALIZAÇÃO DE SESSÃO EXTRAORDINÁRIA PARA VOTAÇÃO DO PLP 306 DE 2008"
3330,2008-06-04,"CD02O126E","PLP  Nº 306/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3335,2008-06-04,"CD02O126E","PLP  Nº 306/2008 - REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO E ENCAMINHAMENTO"
3336,2008-06-04,"CD02O127E","PLP  Nº 306/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3337,2008-06-10,"CD02O131O","MPV  Nº 425/2008 - REQUERIMENTO DE PREFERÊNCIA Nº 1"
3338,2008-06-10,"CD02O132E","PLP  Nº 306/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3341,2008-06-11,"CD02O133E","PLP  Nº 306/2008 - RECURSO CONTRA PARECER DE INADEQUAÇÃO DA EMENDA Nº 1"
3345,2008-06-11,"CD02O133E","PLP  Nº 306/2008 - REQUERIMENTO DE PREFERENCIA PARA A SUBEMENDA SUBSTITUIVA DA CSSF"
3346,2008-06-11,"CD02O134E","PLP  Nº 306/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3347,2008-06-11,"CD02O134E","PLP  Nº 306/2008 - SUBEMENDA SUBSTITUTIVA À EMENDA DE PLENÁRIO - CFT"
3348,2008-06-11,"CD02O134E","PLP  Nº 306/2008 - REQUERIMENTO DE VOTAÇÃO EM GLOBO DOS DESTAQUES SIMPLES"
3350,2008-06-11,"CD02O134E","PLP  Nº 306/2008 - DVS PSDB - INCISO II DO ART. 1º - CSS"
3353,2008-06-17,"CD02O142O","MPV  Nº 425/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3356,2008-06-17,"CD02O142O","MPV  Nº 425/2008 - REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR DUAS SESSÕES"
3359,2008-06-18,"CD02O144E","PLP  Nº 306/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3361,2008-06-18,"CD02O144E","PLP  Nº 306/2008 - DVS - DEM -  ART 5º DA SUBEMENDA SUBSTITUTIVA DA CFT"
3362,2008-06-18,"CD02O145E","PLP  Nº 306/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3364,2008-06-18,"CD02O145E","PLP  Nº 306/2008 - DVS - PSDB -  §4º DO ART 5º DO SUBSTITUTIVO DA CFT"
3365,2008-06-18,"CD02O145E","PLP  Nº 306/2008 - DVS - PPS -  ART.2º DO PROJ.INICIAL PARA SUBST. ART.5º DO SUBSTIT. DA CFT"
3366,2008-06-18,"CD02O145E","PLP  Nº 306/2008 - DVS - DEM -  ART 16 DO SUBSTITUTIVO DA CFT"
3374,2008-07-01,"CD02O158O","MPV  Nº 427/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3381,2008-07-15,"CD02O172O","MPV  Nº 431/2008 - REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO E ENCAMINHAMENTO"
3386,2008-07-16,"CD02O173E","MPV  Nº 431/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3391,2008-07-16,"CD02O173E","MPV  Nº 431/2008 - DVS - PSDB - ART.4D, LEI 10.628 ( ART. 26 DO PLV )"
3392,2008-08-04,"CD02O177E","MPV  Nº 431/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3393,2008-08-05,"CD02O178E","MPV  Nº 431/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3395,2008-08-05,"CD02O178E","MPV  Nº 431/2008 - DVS - DEM - §1º DO ART.30 DO PLV"
3396,2008-08-05,"CD02O179E","MPV  Nº 432/2008 - REQUERIMENTO DE PREFERÊNCIA PARA A MPV 433/2008"
3397,2008-08-06,"CD02O180E","MPV  Nº 432/2008 - REQUERIMENTO DE PREFERÊNCIA PARA A MPV 433/2008"
3401,2008-08-06,"CD02O180E","MPV  Nº 432/2008 - REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR DUAS SESSÕES"
3406,2008-08-06,"CD02O181E","MPV  Nº 432/2008 - DVS - PSDB - §4º DO ART.8º DO PLV"
3407,2008-08-06,"CD02O181E","MPV  Nº 432/2008 - DVS - PMDB - EMENDA 180"
3408,2008-08-06,"CD02O181E","MPV  Nº 432/2008 - DVS - PPS - EMENDA 544"
3411,2008-08-12,"CD02O188O","MPV  Nº 434/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3414,2008-08-12,"CD02O188O","MPV  Nº 434/2008 - PARECER DO RELATOR PELA ADMISSIBILIDADE"
3422,2008-08-12,"CD02O189E","PL   Nº 3452/2008 - DVS - PSDB - ART. 2º"
3424,2008-08-13,"CD02O191E","PLP  Nº 177/2004 - EMENDA SUBSTITUTIVA GLOBAL DE PLENÁRIO Nº 1"
3425,2008-08-13,"CD02O191E","PEC  Nº 138/2003 - SUBSTITUTIVO DA COMISSÃO ESPECIAL"
3426,2008-08-13,"CD02O191E","PLP  Nº 2/2007 - EMENDA SUBSTITUTIVA Nº 2 DE PLENÁRIO"
3427,2008-08-13,"CD02O191E","PLP  Nº 182/2004 - SUBSTITUTIVO DA CFT"
3434,2008-08-20,"CD02O198E","PLP  Nº 375/2006 - PROPOSIÇÃO INICIAL"
3435,2008-08-20,"CD02O198E","PLP  Nº 144/2007 - PROJETO DE LEI COMPLEMENTAR"
3436,2008-09-02,"CD02O209O","MPV  Nº 435/2008 - REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR 2 SESSÕES"
3437,2008-09-03,"CD02O210E","MPV  Nº 429/2008 - REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR DUAS SESSÕES"
3443,2008-10-07,"CD02O233O","MPV  Nº 435/2008 - REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR DUAS SESSÕES"
3446,2008-10-14,"CD02O238O","MPV  Nº 436/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3448,2008-10-14,"CD02O238O","MPV  Nº 436/2008 - REQUERIMENTO DE DISCUSSÃO POR GRUPO DE ARTIGOS"
3451,2008-10-14,"CD02O239E","MPV  Nº 436/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3454,2008-10-14,"CD02O239E","MPV  Nº 436/2008 - DVS PSDB - INCISO II DO ART. 58-B, CONSTANTE DO ART.1º DO PLV"
3458,2008-10-29,"CD02O256E","PL   Nº 3674/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3459,2008-10-29,"CD02O256E","PL   Nº 3674/2008 - REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR DUAS SESSÕES"
3460,2008-10-29,"CD02O257E","PL   Nº 3674/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3462,2008-10-29,"CD02O257E","PL   Nº 3674/2008 - REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR DUAS SESSÕES"
3463,2008-10-29,"CD02O257E","PL   Nº 3674/2008 - SUBSTITUTIVO DA CFT"
3464,2008-11-04,"CD02O264O","PL   Nº 3674/2008 - DVS PSDB - EXP. INCLUSIVE...DÍVIDA PÚBLICA NO ART. 4º INC. I DO SUBST. CFT"
3474,2008-11-12,"CD02O274E","MPV  Nº 443/2008 - DVS - PSDB - ARTIGO 4º"
3475,2008-11-12,"CD02O275E","MPV  Nº 443/2008 - DVS - PSDB - ARTIGO 7º DO PLV"
3477,2008-11-12,"CD02O275E","PEC  Nº 138/2003 - SEGUNDO TURNO"
3478,2008-11-12,"CD02O275E","PEC  Nº 138/2003 - DVS PT-EXP.E PORTADOR DO VÍRUS HIV INC.VII §3º ART 227 CONST ART 2º DA PEC"
3479,2008-11-12,"CD02O275E","PEC  Nº 138/2003 - DVS PsbPdtPCdoBPmnPrb - INCISO VIII §3º ART 227 CONSTANTE DO  ART 2º DA PEC"
3480,2008-11-12,"CD02O275E","PEC  Nº 138/2003 - DVS PsbPdtPCdoBPmnPrb - INCISO IX §3º ART 227 CONSTANTE DO  ART 2º DA PEC"
3481,2008-11-13,"CD02O276E","MPV  Nº 444/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3483,2008-11-18,"CD02O282O","PL   Nº 940/2007 - PROJETO DE LEI"
3485,2008-11-19,"CD02O283E","REC  Nº 90/2007 - RECURSO CADASTRO POSITIVO"
3488,2008-11-19,"CD02O283E","PEC  Nº 511/2006 - REQUERIMENTO DE DISCUSSÃO POR GRUPO DE ARTIGOS"
3489,2008-11-19,"CD02O284E","PEC  Nº 511/2006 - REQUERIMENTO DE RETIRADA DE PAUTA"
3490,2008-11-19,"CD02O284E","PEC  Nº 511/2006 - REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO"
3495,2008-11-19,"CD02O285E","PEC  Nº 511/2006 - REQUERIMENTO DE RETIRADA DE PAUTA"
3498,2008-11-25,"CD02O291E","MPV  Nº 445/2008 - REQUERIMENTO DE INVERSÃO DE PAUTA"
3502,2008-11-25,"CD02O291E","PEC  Nº 511/2006 - REQUERIMENTO DE VOTAÇÃO ARTIGO POR ARTIGO"
3503,2008-11-25,"CD02O291E","PEC  Nº 511/2006 - SUBSTITUTIVO"
3504,2008-11-26,"CD02O292E","MPV  Nº 445/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3505,2008-11-26,"CD02O293E","MPV  Nº 445/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3508,2008-11-26,"CD02O293E","PEC  Nº 511/2006 - DVS PP - CAPUT ART.62 CF CONST. ART. 1º EMENDA SUBST. GLOBAL Nº 1"
3509,2008-11-26,"CD02O294E","MPV  Nº 445/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
3510,2008-11-27,"CD02O295E","MPV  Nº 440/2008 - REQUERIMENTO DE RETIRADA DE PAUTA"
