"orig.vote","dates","session","bill"
1850,2003-04-01,"CD01O032O","MPV Nº 86/2002 - PROJETO DE LEI DE CONVERSÃO"
1851,2003-04-02,"CD01O035O","PEC Nº 53/1999 - EMENDAS DE 1 A 5 COM PARECER PELA REJEIÇÃO"
1852,2003-04-02,"CD01O035O","PEC Nº 53/1999 - PRIMEIRO TURNO - SENADO FEDERAL"
1855,2003-04-08,"CD01O040O","MPV Nº 106/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
1856,2003-04-15,"CD01O048O","MPV Nº 103/2003 - DVS PT - ART. 6º  PARA SUBSTITUIR ART. 6º DO PLV"
1857,2003-04-22,"CD01O052O","MPV Nº 94/2002 - DVS PT - SUPRESSÃO DO ART. 3º DO PLC"
1858,2003-04-23,"CD01O054O","MPV Nº 82/2002 - PARECER DE ADMISSIBILIDADE"
1859,2003-04-23,"CD01O055E","MPV Nº 104/2003 - MEDIDA PROVISÓRIA"
1860,2003-04-29,"CD01O059O","MPV Nº 107/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
1861,2003-04-29,"CD01O060E","MPV Nº 107/2003 - PROJETO DE LEI DE CONVERSÃO"
1862,2003-04-30,"CD01O062E","MPV Nº 107/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
1863,2003-05-06,"CD01O066O","MPV Nº 107/2003 - DVS Nº 1 PFL - EXPRESSÃO EM ATÉ 180 PRESTAÇÕES MENSAIS..."
1864,2003-05-06,"CD01O066O","MPV Nº 107/2003 - DVS Nº 8 PFL  - SUPRESSÃO DO ART. Nº 22 DO PLV"
1865,2003-05-06,"CD01O067E","MPV Nº 107/2003 - DVS Nº 9 PFL  - ARTIGO 2º DA LEI Nº 10.034/2000  ( ART. 24 DO PLV)"
1866,2003-05-15,"CD01O079E","PEC Nº 53/1999 - SEGUNDO TURNO"
1867,2003-05-20,"CD01O083O","MPV Nº 114/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
1869,2003-05-22,"CD01O089E","MPV Nº 116/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
1870,2003-05-27,"CD01O094O","MPV Nº 107/2003 - DVS EMENDA Nº 11"
1871,2003-05-28,"CD01O097O","MPV Nº 116/2003 - DVS - EMENDA Nº 2"
1872,2003-05-28,"CD01O098E","MPV Nº 117/2003 - DVS PFL EMENDA Nº 2"
1874,2003-05-29,"CD01O100O","MPV Nº 117/2003 - DVS EMENDA Nº 2"
1875,2003-06-03,"CD01O104O","MPV Nº 118/2003 - REQUERIMENTO DE PREFERÊNCIA PARA MEDIDA PROVISÓRIA"
1876,2003-06-04,"CD01O106O","MENSAGEM 199/03 - PODER EXECUTIVO"
1877,2003-06-04,"CD01O106O","PLP Nº 41/2003 - PROJETO"
1880,2003-06-10,"CD01O112E","PL  Nº 1.083/2003 - RECURSO  CONTRA O PARECER DA COMISSÃO DE JUSTIÇA"
1882,2003-06-10,"CD01O112E","PL Nº 1.084/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
1883,2003-06-11,"CD01O114O","PL  Nº 1.084/2003 - EMENDA DE PLENÁRIO Nº 4"
1884,2003-06-12,"CD01O115O","PL P  Nº  58/2003 - SUBSTITUTIVO DA COMISSÃO DE FINANÇAS"
1885,2003-06-12,"CD01O115O","PLP Nº 58/2003 - EMENDA DE PLENÁRIO Nº 1"
1886,2003-06-12,"CD01O115O","PL P  Nº  58/2003 - DVS PT - §2, ART. 1º"
1887,2003-06-25,"CD01O123O","PL Nº 3.731/1997 - SUBSTITUTIVO"
1888,2003-07-02,"CD01E003O","PEC Nº 306/2000 - SUBSTITUTIVO"
1899,2003-07-29,"CD01E023O","MPV Nº 120/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
1900,2003-07-29,"CD01E024E","MPV Nº 120/2003 - MEDIDA PROVISÓRIA"
1901,2003-07-30,"CD01E026O","PL Nº 3.464/2000 - REQUERIMENTO DE URGÊNCIA"
1902,2003-07-30,"CD01E026O","PL Nº 7.136/2002 - REQUERIMENTO DE URGÊNCIA"
1903,2003-07-30,"CD01E026O","PLP Nº 73/2003 - REQUERIMENTO DE URGÊNCIA"
1904,2003-07-30,"CD01E026O","PEC Nº 306/2000 - SEGUNDO TURNO"
1906,2003-07-31,"CD01E029O","PLP Nº 72/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
1908,2003-08-05,"CD01O128E","PEC Nº 40/2003 - REQUERIMENTO DE RETIRADA DA PAUTA"
1909,2003-08-05,"CD01O129E","PEC Nº 40/2003 - REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO"
1910,2003-08-05,"CD01O130E","PEC Nº 40/2003 - REQUERIMENTO VOTAÇÃO POR PARTES"
1911,2003-08-06,"CD01O130E","PEC Nº 40/2003 - EMENDA AGLUTINATIVA GLOBAL Nº 4"
1912,2003-08-06,"CD01O130E","PEC Nº 40/2003 - REQUERIMENTO DE VOTAÇÃO EM GLOBO - DESTAQUES"
1915,2003-08-06,"CD01O132E","PEC Nº 40/2003 - REQUERIMENTO DE INVERSÃO DA PAUTA"
1916,2003-08-06,"CD01O132E","PEC Nº 40/2003 - EMENDA AGLUTINATIVA Nº 1"
1917,2003-08-06,"CD01O132E","PEC Nº 40/2003 - EMENDA AGLUTINATIVA Nº 3"
1919,2003-08-07,"CD01O132E","PEC Nº 40/2003 - EMENDA AGLUTINATIVA Nº 7"
1920,2003-08-07,"CD01O132E","PEC Nº 40/2003 - DVS Nº 7 ART. 40, CAPUT E § 18 DA CF, DO ART. 1º  E DO ART.  4º  DA EMEN AGLUT 4"
1921,2003-08-07,"CD01O133E","PEC Nº 40/2003 - EMENDA AGLUTINATIVA Nº 8"
1922,2003-08-07,"CD01O133E","PEC Nº 40/2003 - REQUERIMENTO DE PREFERÊNCIA PARA O DVS Nº 9"
1923,2003-08-12,"CD01O137E","MPV Nº 121/2003 - REQUERIMENTO DE RETIRADA DA PAUTA"
1924,2003-08-12,"CD01O137E","MPV Nº121/2003 - REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO"
1925,2003-08-12,"CD01O138E","MPV Nº 121/2003 - REQUERIMENTO DE RETIRADA DA PAUTA"
1926,2003-08-12,"CD01O138E","MPV Nº 121/2003 - DVS PFL - EXPRESSÃO E DE OUTRAS EMPRESAS PRIVADAS § 2º  INCISO 2º ART 1º - PLV"
1927,2003-08-12,"CD01O138E","MPV Nº 122/2003 - REQUERIMENTO DE PRAZO PARECER"
1928,2003-08-13,"CD01O140E","PEC Nº 40/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
1929,2003-08-13,"CD01O141E","PEC Nº 40/2003 - DVS Nº 2 PTB -  EXPRESSÃO PERCEBIDOS CUMULATIVAMENTE OU NÃO"
1930,2003-08-13,"CD01O141E","PEC Nº 40/2003 - DVS Nº 3  -  EXPRESSÃO OU DE QUALQUER NATUREZA"
1931,2003-08-13,"CD01O141E","PEC Nº 40/2003 - DVS Nº 9 - § 7º  DO ART. 40"
1932,2003-08-13,"CD01O141E","PEC Nº 40/2003 - EMENDA AGLUTINATIVA Nº 11"
1933,2003-08-19,"CD01O145O","PL Nº 4.572/1998 - REQUERIMENTO DE RETIRADA DE PAUTA"
1934,2003-08-19,"CD01O146E","PL Nº 4.572/1998 - REQUERIMENTO DE RETIRADA DE PAUTA"
1936,2003-08-26,"CD01O153O","PEC Nº 40/2003 - REQUERIMENTO DE RETIRADA DA PAUTA"
1937,2003-08-27,"CD01O154E","PEC Nº 40/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
1938,2003-08-27,"CD01O154E","PEC Nº 40/2003 - REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO"
1939,2003-08-27,"CD01O155E","PEC Nº 40/2003 - REQUERIMENTO DE RETIRADA DA PAUTA"
1940,2003-08-27,"CD01O155E","PEC Nº 40/2003 - SEGUNDO TURNO"
1941,2003-08-28,"CD01O158O","MPV Nº 124/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
1942,2003-09-02,"CD01O162E","PEC Nº 41/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
1943,2003-09-02,"CD01O162E","PEC Nº 41/2003 - REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO"
1944,2003-09-03,"CD01O165O","PEC Nº 41/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
1946,2003-09-04,"CD01O167E","PEC Nº 41/2003 - EMENDA AGLUTINATIVA SUBSTITUTIVA GLOBAL Nº 27"
1947,2003-09-10,"CD01O177E","PEC Nº 41/2003 - REQUERIMENTO DE RETIRADA DA PAUTA"
1948,2003-09-10,"CD01O178E","PEC Nº 41/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
1950,2003-09-10,"CD01O178E","PEC Nº 41/2003 - DEST. SIMPLES EM GLOBO  EXCETO REF. EMEND.101,169,204,233, 241,279,384,391,406"
1951,2003-09-10,"CD01O178E","PEC Nº 41/2003 - DVS PFL -  § 2º ART. 155 E  ART. 90"
1952,2003-09-10,"CD01O179E","PEC Nº 41/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
1953,2003-09-10,"CD01O179E","PEC Nº 41/2003 - EMENDA AGLUTINATIVA Nº 49"
1954,2003-09-10,"CD01O179E","PEC Nº 41/2003 - REQUERIMENTO DEPREFERÊNCIA PARA DVS NºS 7,6,1,2,4,8 E 5"
1956,2003-09-10,"CD01O179E","PEC Nº 41/2003 - DVS  Nº 7 PSDB - ARTIGO 91 - ADCT"
1957,2003-09-15,"CD01O185E","MPV Nº 125/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
1958,2003-09-15,"CD01O185E","MPV Nº 125/2003 - REQUERIMENTO DO ENCERRAMENTO DA DISCUSSÃO E ENCAMINHAMENTO DA VOTAÇÃO"
1959,2003-09-15,"CD01O185E","MPV Nº 125/2003 - DVS PFL - EMENDA Nº 6"
1960,2003-09-16,"CD01O186E","MPV Nº 125/2003 - DVS PFL - EMENDA Nº 33"
1961,2003-09-16,"CD01O186E","MPV Nº 126/2003 - REQUERIMENTO DO ENCERRAMENTO DA DISCUSSÃO E ENCAMINHAMENTO DA VOTAÇÃO"
1962,2003-09-16,"CD01O188E","MPV Nº 126/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
1963,2003-09-16,"CD01O188E","MPV Nº 126/2003 - DVS - PFL - EMENDA Nº 2"
1964,2003-09-16,"CD01O189E","PEC Nº 41/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
1965,2003-09-16,"CD01O189E","PEC Nº 41/2003 - DVS Nº 8 PT - § ÚNICO DO ART 98 (ART. 3º DA EMENDA AGLUTINATIVA)"
1966,2003-09-16,"CD01O189E","PEC Nº 41/2003 - DVS Nº 6 PRONA - ART 76 DO ADCT"
1967,2003-09-16,"CD01O189E","PEC Nº 41/2003 - DVS Nº 1 PSDB - INCISO II DO § 2º DO ART. 149 DA CF (ART 1º DA EMENDA AGLUTI)"
1969,2003-09-16,"CD01O189E","PEC Nº 41/2003 - DVS Nº 2 PFL - § 1º DO ART. 155 DA CF (ART 1º DA EMENDA AGLUTINATIVA)"
1970,2003-09-16,"CD01O189E","PEC Nº 41/2003 - DVS Nº 4 PFL - INCISO IV DO ART. 195 DA CF (ART 1º DA EMENDA AGLUTINATIVA)"
1971,2003-09-16,"CD01O189E","PEC Nº 41/2003 - DVS Nº 5 PSDB - § 5º DO ART. 239 DA CF (ART 1º DA EMENDA AGLUTINATIVA)"
1972,2003-09-17,"CD01O191E","PEC Nº 41/2003 - EMENDA AGLUTINATIVA Nº 61"
