"orig.vote","dates","session","bill"
1104,2000-01-11,"CD01E004O","PLP Nº 90/99 - PROJETO"
1105,2000-01-11,"CD01E004O","PEC Nº 601/98 - 1º  TURNO"
1106,2000-01-12,"CD02E005O","PEC Nº 85/1999 - SUBSTITUTIVO"
1108,2000-01-12,"CD02E005O","PEC Nº 85/1999 - EMENDA AGLUTINATIVA Nº 1"
1110,2000-01-12,"CD02E005O","PEC Nº 85/1999 - DVS - EMENDA Nº 3"
1111,2000-01-12,"CD02E005O","PEC Nº 85/1999 - DVS - DA EXPRESÃO  E CONTRIBUIÇÕES SOCIAIS ( ARTIGO 76)"
1112,2000-01-12,"CD02E005O","PEC Nº 85/1999 - DVS - DA EXPRESSÃO  OU QUE VIEREM A SER CRIADOS NO REFERIDO PERÍODO"
1113,2000-01-12,"CD02E005O","PEC Nº 85/1999 - EMENDA AGLUTINATIVA Nº 3"
1114,2000-01-12,"CD02E005O","PEC Nº 85/1999 - DVS - DA EMENDA Nº 2-CE"
1120,2000-01-18,"CD02E008O","PL Nº 1.617/99 - DVS DA EXPRESSÃO EXCETUADA A INFRA-ESTRUTURA......ONS"
1122,2000-01-18,"CD02E008O","PL Nº 1.617/99 - DESTAQUE A EMENDA Nº 152"
1123,2000-01-18,"CD02E008O","PLP Nº 18/99 - REQUERIMENTO DE URGÊNCIA"
1125,2000-01-19,"CD02E009O","PEC Nº 96/92 - SUBSTITUTIVO"
1126,2000-01-19,"CD02E010E","PLP Nº 18/99 - REQUERIMENTO DE RETIRADA DE PAUTA"
1128,2000-01-25,"CD02E015O","PEC Nº 96/92 - EMENDA  AGLUTINATIVA Nº 1 ARTIGO 102 & 4º"
1129,2000-01-25,"CD02E015O","PEC Nº 96/92 - DVS Nº 1- ARTIGO 16"
1130,2000-01-25,"CD02E015O","PEC Nº 96/92 - EMENDA  AGLUTINATIVA Nº 2 ART. 55 DO SUBSTITUTIVO"
1131,2000-01-25,"CD02E015O","PEC Nº 96/92 - DESTAQUE ART. 103-B -CF ( ART. 17 SUBST.)"
1133,2000-01-25,"CD02E016E","PLP Nº 18/99 - SUBEMENDA SUBSTITUTIVA"
1135,2000-01-25,"CD02E016E","PLP Nº 18/99 - REQUERIMENTO DE VOTAÇÃO EM GLOBO DESTAQUES SIMPLES"
1136,2000-01-26,"CD02E018E","PEC Nº 85/99 - REQUERIMENTO DE RETIRADA DE PAUTA"
1138,2000-01-26,"CD02E018E","PEC Nº 85/99 - REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO"
1139,2000-01-26,"CD02E018E","PEC Nº 85/99 - SEGUNDO TURNO"
1140,2000-01-26,"CD02E018E","PEC Nº 85/99 - DVS Nº 1 - EXPRESSÃO ÓRGÃO, FUNDO"
1141,2000-01-26,"CD02E018E","PEC Nº 85/99 - DVS Nº 3  - EXPRESSÃO  E CONTRIBUIÇÕES SOCIAIS"
1142,2000-01-26,"CD02E018E","PEC Nº 85/99 - DVS Nº 5  - EXPRESSÃO OU QUE VIEREM A SER CRIADOS NO REFERIDO PERÍODO, SEUS..."
1143,2000-01-26,"CD02E018E","PEC Nº 85/99 - DVS Nº 6  - EXPRESSÃO OU QUE VIEREM A SER CRIADOS NO REFERIDO PERÍODO"
1144,2000-01-26,"CD02E018E","PEC Nº 601/98 - SEGUNDO TURNO"
1180,2000-02-22,"CD02O008O","PEC Nº 96/92 - DVS Nº 119 - ART. 115, IV"
1181,2000-02-22,"CD02O008O","PEC Nº 96/92 - EMENDA AGLUTINATIVA Nº 049"
1182,2000-02-22,"CD02O008O","PEC Nº 96/92 - EMENDA AGLUTINATIVA Nº 048"
1183,2000-02-23,"CD02O009O","PEC Nº 96/92 - DESTAQUE 67"
1184,2000-02-23,"CD02O009O","PEC Nº 96/92 - DESTAQUE 91"
1185,2000-02-23,"CD02O009O","PEC Nº 96/92 - EMENDA AGLUTINATIVA Nº 50"
1190,2000-02-24,"CD02O010E","PDC Nº 341/99 - PROJETO"
1191,2000-02-29,"CD02O015O","PEC Nº 96/92 - EMENDA AGLUTINATIVA Nº 34"
1192,2000-02-29,"CD02O015O","PEC Nº 96/92 - EMENDA AGLUTINATIVA Nº 16"
1217,2000-04-04,"CD02O043O","PEC Nº 96/92 - DVS Nº 29 - PFL"
1219,2000-04-04,"CD02O043O","PEC Nº 96/92 - EMENDA AGLUTINATIVA Nº 17"
1220,2000-04-05,"CD02O044O","PEC Nº 96/92 - EMENDA AGLUTINATIVA Nº 17"
1221,2000-04-05,"CD02O044O","PEC Nº 96/92 - DESTAQUE Nº 138"
1222,2000-04-05,"CD02O044O","PEC Nº 96/92 - EMENDA AGLUTINATIVA Nº 20"
1223,2000-04-05,"CD02O044O","PEC Nº 96/92 - DESTAQUE Nº 69"
1224,2000-04-06,"CD02O045E","PEC Nº 96/92 - EMENDA AGLUTINATIVA Nº 53"
1225,2000-04-06,"CD02O045E","PEC Nº 96/92 - DVS Nº 134  -  PMDB"
1226,2000-04-06,"CD02O045E","PEC Nº 96/92 - EMENDA AGLUTINATIVA Nº 31"
1227,2000-04-11,"CD02O050O","PEC Nº 96/92 - DVS Nº 153 - PTB"
1228,2000-04-11,"CD02O050O","PEC Nº 96/92 - EMENDA AGLUTINATIVA Nº 44"
1229,2000-04-11,"CD02O050O","PEC Nº 96/92 - EMENDA AGLUTINATIVA Nº 40"
1231,2000-04-12,"CD02O051E","PEC Nº 96/92 - EMENDA AGLUTINATIVA Nº 52"
1232,2000-04-12,"CD02O051E","PEC Nº 96/92 - EMENDA AGLUTINATIVA Nº 11"
1233,2000-04-12,"CD02O052E","PEC Nº 96/92 - DESTAQUE Nº 25"
1234,2000-04-12,"CD02O052E","PEC Nº 96/92 - EMENDA AGLUTINATIVA Nº 28"
1235,2000-04-12,"CD02O052E","PEC Nº 96/92 - EMENDA AGLUTINATIVA Nº 30"
1236,2000-04-12,"CD02O052E","PEC Nº 96/92 - DVS Nº 142 - PFL"
1239,2000-04-18,"CD02O058O","PL Nº 2.549/2000 - REQUERIMENTO DE RETIRADA DE PAUTA"
1240,2000-04-25,"CD02O062O","PL Nº 2.549/2000 - PROJETO"
1243,2000-04-25,"CD02O062O","PLP Nº 113/2000 - REQUERIMENTO DE URGÊNCIA"
1246,2000-05-03,"CD02O068O","PLP 113-A/2000 - REQUERIMENTO RETIRADA DE PAUTA"
1248,2000-05-03,"CD02O068O","PLP Nº 113-A/2000 - REQUERIMENTO DE PREFERÊNCIA PARA A EMENDA Nº 15"
1249,2000-05-03,"CD02O068O","PLP Nº 113-A/2000 - EMENDA SUBSTITUTIVA Nº 15"
1250,2000-05-03,"CD02O069E","PLP Nº 113-A/2000 - DESTAQUE DA EXPRESSÃO E DE DEPUTADOS ESTADUAIS"
1251,2000-05-03,"CD02O069E","PLP Nº 113-A/2000 - DVS  - INCISO II, § 1º , ART. 1º - EMENDA Nº 15"
1252,2000-05-03,"CD02O069E","PLP Nº 113-A/2000 - EXPRESSÃO PODERÁ DO § 2º DO ART. 1º - EMENDA Nº 15"
1253,2000-05-09,"CD02O075O","PL Nº 621/99 - REQUERIMENTO DE URGÊNCIA"
1259,2000-05-16,"CD02O083O","PLP Nº 114/2000 - APENSADO - EMENDAS COM PARECER  FAVORÁVEL"
1260,2000-05-16,"CD02O083O","PLP Nº 114/2000 - APENSADO - EMENDAS COM PARECER PELA REJEIÇÃO"
1261,2000-05-16,"CD02O083O","PLP Nº 114/2000 - APENSADO - PROJETO"
1264,2000-05-17,"CD02O084O","PL Nº 621/99 - DVS BANCADA DO PT - ART. 1º DO SUBSTITUTIVO"
1269,2000-05-17,"CD02O085E","PEC Nº 7-D/99 - SEGUNDO TURNO"
1272,2000-05-24,"CD02O092O","PLP Nº 9-A/99 - REQUERIMENTO DE URGÊNCIA"
1273,2000-05-30,"CD02O098O","PEC Nº 128-B/95 - SUBSTITUTIVO"
1274,2000-05-31,"CD02O102E","PEC Nº 96/92 - SEGUNDO TURNO"
1275,2000-05-31,"CD02O102E","PEC Nº 96/92 - DVS Nº 1 - PL/PSL"
1276,2000-05-31,"CD02O102E","PEC Nº 96/92 - DVS Nº 11- PTB"
1277,2000-05-31,"CD02O102E","PEC Nº 96/92 - DVS Nº 2 - PT"
1278,2000-05-31,"CD02O102E","PEC Nº 96/92 - DVS Nº 4 - PMDB"
1279,2000-06-01,"CD02O103E","PEC Nº 96/92 - DVS Nº 13 - PMDB"
