"orig.vote","dates","session","bill"
100000690,1994-01-12,"CD10E008E","PL. N. 4005/93 - REQUERIMENTO DE URGENCIA"
100000691,1994-01-12,"CD10E007E","PL. N. 4223/93 - EMENDA DO SENADO"
100000692,1994-02-02,"CD10E017O","PDL 383/93 -"
100000693,1994-02-08,"CD10E019O","PL N. 68/91 - REQ. URGENCIA."
100000694,1994-02-22,"CD04O002O","PL N. 4218/93."
100000695,1994-02-23,"CD04O003O","PL 4218/93"
100000696,1994-03-09,"CD04O013O","PL 4393/94- PROJETO"
100000697,1994-03-17,"CD04O017O","PL 4151/93 - REDACAO FINAL"
100000698,1994-04-20,"CD04O038O","PDL 413/94   SUBSTITUTIVO"
100000699,1994-06-07,"CD04O060O","PL 3712/93 - REQ. DESMEMBRAMENTO"
100000700,1994-06-14,"CD04O064O","PL N. 171/87 - DESTAQUE EXPRESSAO NAO CONCENTRADO E"
100000701,1994-06-29,"CD04O076O","PL 4518/94 - SUBSTITUTIVO DA COMISSAO DE CONSTITUICAO"
100000702,1994-07-20,"CD04O080E","MENSAGEM N. 498 - REQUERIMENTO DE URGENCIA"
100000703,1994-07-20,"CD04O080E","PL 4672/94  EMENDA N. 1 DO RELATOR - CCJR"
100000704,1994-11-23,"CD04O113E","PL N.4386/94 - REQUERIMENTO DE URGENCIA."
100000705,1994-12-14,"CD04O127O","PL. N. 4851/94 - REQUERIMENTO PREFERENCIA."
100000708,1994-12-21,"CD11E026E","PL 4881/94  - REQUERIMENTO PREFERNCIA"
