"orig.vote","dates","session","bill"
2026,2004-01-21,"CD03E003O","PL Nº 2.546/2003 - REQUERIMENTO DE URGÊNCIA"
2027,2004-01-21,"CD03E003O","PL Nº 2.401/2003 - REQUERIMENTO DE URGÊNCIA"
2028,2004-01-21,"CD03E003O","MPV Nº 136/2003 - PARECER DE  ADMISSIBILIDADE"
2029,2004-01-22,"CD03E005E","PDL 13/2003 - PROJETO"
2030,2004-01-27,"CD03E009O","REQUERIMENTO - PREFERÊNCIA PARA MPV Nº 146/2003"
2031,2004-01-28,"CD03E010E","MPV Nº 144/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
2032,2004-01-28,"CD03E011O","REQUERIMENTO - INVERSÃO DE PAUTA:  MPV Nº144/2003, MPV Nº 145/2003..."
2033,2004-01-28,"CD03E011O","MPV Nº 144/2003 - REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO"
2034,2004-01-28,"CD03E012E","MPV Nº 144/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
2035,2004-01-28,"CD03E012E","MPV Nº 144/2003 - PARECER DE ADMISSIBILIDADE"
2036,2004-02-03,"CD03E017O","REQUERIMENTO - PREFERÊNCIA PARA MPV Nº 147/2003, MPV Nº 150/2003, MPV Nº 141/2003..."
2037,2004-02-03,"CD03E018E","MPV Nº 140/2003 - DVS PSDB - EMENDA Nº 4"
2038,2004-02-04,"CD03E020E","PL Nº 2.401/2003 - REQUERIMENTO DE RETIRADA DE PAUTA"
2039,2004-02-05,"CD03E021E","PL Nº 2.401/2003 - REQUERIMENTO DE PREFERÊNCIA DA EMENDA SUBSTITUTIVA GLOBAL Nº 281"
2065,2004-02-17,"CD02O003O","MSG Nº 62/2004 - REQUERIMENTO DE URGÊNCIA"
2161,2004-04-06,"CD02O044O","MPV Nº 153/2003 - REQUERIMENTO DE RETIRADA DA PAUTA"
2162,2004-04-13,"CD02O048O","REQUERIMENTO - INVERSÃO DE PAUTA - ITENS 4, 3, 2, 1."
