"orig.vote","dates","session","bill"
2312,2005-02-23,"CD03O005O","MPV  Nº 225/2004 - PARECER DO RELATOR PELA CONSTITUCIONALIDADE"
2338,2005-04-19,"CD03O068E","MPV  Nº 231/2004 - DVS PSDB - EMENDA Nº 13"
2339,2005-05-11,"CD03O089E","PDC  Nº 1353/2004 - REQUERIMENTO DE RETIRADA DE PAUTA"
2346,2005-05-24,"CD03O107E","MPV  Nº 233/2004 - DVS  PPS -  EMENDA Nº 37"
2347,2005-06-01,"CD03O114E","MPV  Nº 241/2005 - PARECER DO RELATOR PELA ADMISSIBILIDADE"
2348,2005-06-01,"CD03O114E","MPV  Nº 241/2005 - DVS PSDB - EXPRESSÃO:  ENCARGOS FINANCEIROS"
2349,2005-06-07,"CD03O121O","MPV  Nº 242/2005 - PARECER DO RELATOR PELA ADMISSIBILIDADE"
2350,2005-06-08,"CD03O123O","MPV  Nº 242/2005 - DVS PDT -  § 10º  DO ARTIGO 29"
2351,2005-06-15,"CD03O131O","MPV  Nº 242/2005 - DVS PDT - § 10º DO ART. Nº 29"
2356,2005-06-16,"CD03O134O","MPV  Nº 245/2005 - REQUERIMENTO DE RETIRADA DE PAUTA"
2360,2005-06-22,"CD03O141E","MPV  Nº 248/2005 - REQUERIMENTO DE RETIRADA DE PAUTA"
2361,2005-06-22,"CD03O143O","MPV  Nº 248/2005 - PROJETO DE LEI DE CONVERSÃO"
2362,2005-06-22,"CD03O143O","MPV  Nº 248/2005 - EMENDAS Nº 4 a 15"
2365,2005-06-23,"CD03O144E","MPV  Nº 248/2005 - DVS PDT - EMENDA 16"
2366,2005-06-27,"CD03O150E","MPV  Nº 248/2005 - REQUERIMENTO DE RETIRADA DE PAUTA"
2370,2005-06-28,"CD03O153E","MPV  Nº 248/2005 - DVS PDT  - EMENDA Nº 16"
2371,2005-06-28,"CD03O154E","MPV  Nº 248/2005 - REQUERIMENTO DE RETIRADA DE PAUTA"
2373,2005-06-28,"CD03O154E","MPV  Nº 249/2005 - REQUERIMENTO DE RETIRADA DE PAUTA"
