"orig.vote","dates","session","bill"
100000432,1997-02-25,"CD03O006O","PEC. N. 1/95 - SEGUNDO TURNO"
100000433,1997-03-11,"CD03O016O","PL. N. 1317/88 - MENSAGEM N. 221/96"
100000434,1997-03-11,"CD03O016O","PL N. 2142/96 - REQUERIMENTO DE URGENCIA"
100000435,1997-03-11,"CD03O016O","PLC N. 142/92 - SUBSTITUTIVO"
100000436,1997-03-11,"CD03O016O","PLC N. 142/92 - DESTAQUE INCISO II DO ART. 3."
100000437,1997-03-12,"CD03O017O","PL. N. 2319/96 - REQUERIMENTO DE URGENCIA"
100000438,1997-03-12,"CD03O017O","PL. N. 1869/96 - REQUERIMENTO DE URGENCIA"
100000439,1997-03-12,"CD03O017O","PL. N. 1210/95 - SUBSTITUTIVO DA COMISSAO."
100000440,1997-03-18,"CD03O021O","PL. N. 1210/95 - EMENDA N. 205"
100000441,1997-03-18,"CD03O021O","PL. N. 1210/95 - DVS ART. 56"
100000442,1997-04-01,"CD03O031O","PEC. N. 173/95 - REQUERIMENTO DE ADIAMENTO DA"
100000443,1997-04-09,"CD03O038O","PEC. N. 173/95 - SUBSTITUTIVO DA COMISSAO"
100000444,1997-04-09,"CD03O038O","PEC. N. 173/95 - PRORROGACAO DA SESSAO"
100000445,1997-04-15,"CD03O042O","PL. N. 2190/97 - REQUERIMENTO DE URGENCIA"
100000446,1997-04-15,"CD03O042O","PEC. N. 173/95 - REQUERIMENTO VOTACOES EM GLOBO DOS"
100000447,1997-04-16,"CD03O044O","PEC. N. 173/95 - DVS N. 36"
100000448,1997-04-16,"CD03O044O","PEC. N. 173/95 - DESTAQUE N. 53"
100000449,1997-04-22,"CD03O047O","PEC. N. 173/95 - REQUERIMENTO DE PREFERENCIA EMENDA"
100000450,1997-04-22,"CD03O047O","PEC. N. 173/95 - EMENDA AGLUTINATIVA N. 29"
100000451,1997-04-22,"CD03O047O","PEC. N. 173/95 - REQUERIMENTO DE PRORROGACAO DA SESSAO"
100000452,1997-04-23,"CD03O050O","PEC N.173/95 - DVS N. 9 INCISO IX DO ARTIGO 37."
100000453,1997-04-23,"CD03O050O","PEC. N. 173/95 - DVS N. 17"
100000454,1997-04-30,"CD03O057E","PL 1/95 - REQ. DE URGENCIA (SALARIO MINIMO)"
100000455,1997-05-06,"CD03O061O","PEC N. 173/95 - CONCESSAO DE EFEITO SUSPENSIVO (QUESTAO DE"
100000456,1997-05-06,"CD03O061O","PEC N. 173/95 - DVS N. 21"
100000457,1997-05-06,"CD03O061O","PEC N. 173/95 - EMENDA AGLUTINATIVA N. 27"
100000458,1997-05-06,"CD03O061O","PEC N. 173/95 - EMENDA AGLUTINATIVA N. 28"
100000459,1997-05-07,"CD03O062O","PEC N. 173/95 - REQUERIMENTO DE PREFERENCIA."
100000460,1997-05-13,"CD03O066O","PEC. N. 173/95 - DVS N. 37"
100000461,1997-05-13,"CD03O066O","PEC. N. 173/95 - EMENDA AGLUTINATIVA N. 30"
100000462,1997-05-13,"CD03O066O","PEC. N. 173/95 - EMENDA AGLUTINATIVA N. 39"
100000463,1997-05-14,"CD03O067O","PEC N. 173/95 - EMENDA AGLUTINATIVA N. 2"
100000464,1997-05-14,"CD03O067O","PEC N. 173/95 - EMENDA AGLUTINATIVA N. 46"
100000465,1997-05-14,"CD03O067O","PEC N. 173/95 - DVS N.17 - SUBTETO."
100000466,1997-05-20,"CD03O071O","PEC N. 173/95 - DVS N. 45."
100000467,1997-05-20,"CD03O071O","PEC N.173/95 - DVS 55 EXPRESSAO  EXISTENTES EM CADA PODER."
100000468,1997-05-21,"CD03O072O","PEC N. 173/95 - DVS N. 17 - SUBTETO."
100000469,1997-05-22,"CD03O073E","PDL N. 414/97 - PROJETO"
100000470,1997-05-27,"CD03O078E","PL. N. 3100/97 - REQUERIMENTO DE RETIRADA DE PAUTA"
100000471,1997-05-28,"CD03O079E","PL N. 3100/97 - REQUERIMENTO DE URGENCIA."
100000472,1997-06-03,"CD03O083O","PEC. N. 173/95 - DVS N. 17"
100000473,1997-06-04,"CD03O084O","PEC N. 173/95 - DVS N. 17 - SUBTETO."
100000474,1997-06-10,"CD03O089O","PEC N. 173/95 - DVS N. 17 - SUBTETO."
100000475,1997-06-10,"CD03O089O","PEC. N. 173/95 - EMENDA AGLUTINATIVA N. 1"
100000476,1997-06-11,"CD03O090E","PL N. 821/95 - REQUERIMENTO DE URGENCIA ( TELECOMUNICACOES )"
100000477,1997-06-11,"CD03O091O","REQUERIMENTO COMISSAO EXTERNA - NAZARE DA MATA - PE"
100000478,1997-06-11,"CD03O091O","PEC. N. 173/95 - DVS. N. 24 - EXPRESSAO  ORGAOS "
100000479,1997-06-11,"CD03O091O","PEC. N. 173/95 - DVS. N. 24-a - ART. 37, PARAGRAFO 8.,"
100000480,1997-06-17,"CD03O097O","PEC. N. 173/95 - DVS N. 24-a"
100000481,1997-06-18,"CD03O099E","PL N. 821/95 - SUBSTITUTIVO."
100000483,1997-06-18,"CD03O100E","PL. N. 821/95 - DVS. EMENDA N. 215 CE/S"
100000484,1997-06-18,"CD03O100E","PL. N. 821/95 - DVS. N. 4 - PARAGRAFO UNICO DO ART. 18"
100000485,1997-06-19,"CD03O101E","PL. N. 821/95 - DVS N. 28 - EMENDA N.78"
100000486,1997-06-24,"CD03O105O","PL. N. 2226/96 - RECURSO N. 141/97"
100000487,1997-06-24,"CD03O105O","PEC N. 173/95 - EMENDA AGLUTINATIVA N. 21"
100000488,1997-06-25,"CD03O106E","PL. N. 4695/94 - REQUERIMENTO RETIRADA DE PAUTA"
100000489,1997-06-25,"CD03O107E","PEC. N. 173/95 - EMENDA AGLUTINATIVA N. 22"
100000490,1997-06-25,"CD03O107E","PEC. N. 173/95 - REQUERIMENTO DE PREFERENCIA BLOCO PT"
100000491,1997-08-12,"CD03O119O","PL. N. 3242/97 - REQUERIMENTO DE URGENCIA"
100000492,1997-08-12,"CD03O119O","PL. N. 2695/97 - REQUERIMENTO DE URGENCIA"
100000493,1997-08-13,"CD03O121O","PEC. N. 449/97 - SEGUNDO TURNO - PROJETO"
100000494,1997-08-13,"CD03O121O","PEC. N. 449/97 - DVS EXPRESSAO  PRIORITARIAMENTE "
100000495,1997-08-13,"CD03O122E","PEC N. 449/97 - DVS EXPRESSAO  EXCLUIDA A PARCELA... "
100000496,1997-08-20,"CD03O127O","PROJETO DE RESOLUCAO N.136/97 - REQUERIMENTO RETIRADA DE"
100000497,1997-08-20,"CD03O127O","PL N. 3242/97 - DVS EMENDA N. 22"
100000498,1997-08-26,"CD03O133O","PL. N. 2381/96 - REQUERIMENTO DE URGENCIA"
100000499,1997-08-27,"CD03O134O","PL. N. 2695/97 - DVS N. 4 ( ADMISSIBILIDADE DO"
100000500,1997-08-28,"CD03O137E","PL. N. 2695/97 - REQUERIMENTO DE PREFERENCIA -"
