"id","name","party","state","vote.100000136","vote.100000137","vote.100000138","vote.100000139","vote.100000140","vote.100000141","vote.100000142","vote.100000143","vote.100000144","vote.100000145","vote.100000146","vote.100000147","vote.100000148","vote.100000149","vote.100000150","vote.100000151","vote.100000152","vote.100000153","vote.100000154","vote.100000155","vote.100000156","vote.100000157","vote.100000158","vote.100000159","vote.100000160","vote.100000161","vote.100000162","vote.100000163","vote.100000164","vote.100000165","vote.100000166","vote.100000167","vote.100000168","vote.100000169","vote.100000170","vote.100000171","vote.100000172","vote.100000173","vote.100000174","vote.100000177","vote.100000178","vote.100000179","vote.100000180","vote.100000181","vote.100000182","vote.100000183","vote.100000184","vote.100000289","vote.100000290","vote.100000291","vote.100000292","vote.100000293","vote.100000294","vote.100000719","vote.100000762","vote.100000763"
283,"ALVARO VALLE","PL","RJ",NA,1,2,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
293,"AMARAL NETTO","PDS","RJ",NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
480,"AMAURY MULLER","PDT","RS",1,1,1,NA,1,2,NA,NA,NA,NA,1,1,NA,NA,1,2,2,2,2,1,1,1,2,2,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,2,NA,NA,NA,2,1,1,NA,NA,NA,NA,2,2,1,NA,NA,NA,1,1
331,"ANDRE BENASSI","PSDB","SP",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,NA,NA,1,NA,NA,NA,1,1,1,2,1,NA,NA,1,NA,NA,NA,1,1,1,NA,1,NA,NA,1,2,1,NA,NA,NA,1,1
459,"ANGELA AMIN","PDS","SC",1,1,1,1,1,1,1,1,NA,1,NA,2,1,1,1,2,1,1,2,2,1,2,1,1,NA,1,1,3,1,1,1,1,1,1,NA,NA,1,1,NA,NA,1,1,1,1,1,1,1,NA,1,2,1,2,1,1,1,2
180,"ANGELO MAGALHAES","PFL","BA",NA,2,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,2,1,NA,NA,NA,1,1
525,"ANNIBAL TEIXEIRA","PP","MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
525,"ANNIBAL TEIXEIRA","PTB","MG",NA,1,1,1,1,1,1,1,1,NA,2,2,1,1,1,1,1,1,1,2,2,1,1,2,NA,NA,1,NA,NA,NA,NA,2,NA,1,3,3,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,3
429,"ANTONIO BARBARA","PMDB","PR",NA,2,1,1,1,1,1,1,1,NA,NA,2,2,1,1,1,1,1,1,2,2,1,1,2,NA,NA,NA,NA,1,1,1,2,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,2
481,"ANTONIO BRITTO","PMDB","RS",NA,1,NA,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,2,2,2,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
332,"ANTONIO CARLOS MENDES THAME","PSDB","SP",1,1,2,1,1,1,1,1,1,NA,1,NA,1,1,1,1,2,2,2,1,1,2,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,1
513,"ANTONIO DE JESUS","PMDB","GO",NA,NA,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,2,2,NA,NA,2,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,1,1,NA,1,NA,NA,1,2,NA,NA,NA,NA,1,1
87,"ANTONIO DOS SANTOS","PFL","CE",1,2,NA,1,1,1,2,1,1,3,NA,2,1,1,1,1,1,1,1,2,2,NA,NA,1,NA,NA,NA,NA,NA,1,1,2,1,1,1,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,1,1
404,"ANTONIO FALEIROS","PSDB","GO",1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,2,2,2,1,1,2,1,1,NA,NA,1,NA,NA,NA,1,1,1,2,1,NA,1,2,NA,NA,2,2,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1
139,"ANTONIO GERALDO","PFL","PE",1,NA,1,1,1,NA,NA,NA,NA,NA,1,2,NA,2,2,2,NA,NA,NA,NA,2,3,1,2,NA,NA,1,3,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,1,NA,NA,NA,1,1
163,"ANTONIO HOLANDA","PSC","AL",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ANTONIO MORIMOTO","PPR","RO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ANTONIO MORIMOTO","PTB","RO",1,1,1,1,1,1,NA,NA,NA,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,NA,NA,1,NA,NA,NA,1,2,NA,1,NA,3,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA
441,"ANTONIO UENO","PFL","PR",NA,2,NA,1,1,3,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA
222,"ARACELY DE PAULA","PFL","MG",1,1,NA,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,2,1,NA,NA,NA,NA,NA
93,"ARIOSTO HOLANDA","PSB","CE",1,1,2,1,1,1,1,1,NA,NA,1,1,2,2,2,2,2,2,2,1,NA,1,NA,2,2,NA,1,NA,2,2,1,1,1,2,1,1,1,2,1,NA,NA,NA,1,1,NA,1,NA,NA,2,2,NA,1,2,NA,NA,1
22,"ARMANDO COSTA","PMDB","MG",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,2,2,2,1,2,1,2,NA,NA,NA,1,NA,1,1,NA,1,1,1,NA,1,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,1,NA,1,1,1,NA,1,1
336,"ARNALDO FARIA DE SA","PPR","SP",1,NA,NA,1,2,1,2,2,NA,NA,1,2,1,NA,NA,NA,1,2,NA,2,NA,1,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
482,"ARNO MAGARINOS","PPR","RS",NA,2,NA,NA,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,1,2,2,1,NA,1,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,1,2,NA,2,NA,NA,1,1
285,"AROLDE DE OLIVEIRA","PFL","RJ",NA,2,NA,1,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,1,1,2,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
181,"AROLDO CEDRAZ","PFL","BA",1,2,NA,1,NA,1,1,NA,NA,NA,NA,2,NA,1,1,1,NA,NA,1,2,NA,NA,NA,1,NA,1,1,NA,1,NA,1,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
9,"AROLDO GOES","PDT","AP",NA,1,NA,1,1,2,2,2,NA,NA,NA,2,2,NA,2,2,2,2,NA,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
313,"ARTUR DA TAVOLA","PSDB","RJ",1,1,2,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,1,NA,1,1,1,NA,NA,1,2,1,NA,1,NA,1,1
337,"ARY KARA","PMDB","SP",NA,1,NA,1,1,1,NA,NA,NA,NA,1,2,1,1,1,1,2,2,2,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"ATILA LINS","PFL","AM",NA,NA,1,1,1,NA,1,NA,NA,1,NA,2,1,1,NA,NA,1,1,1,2,2,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1
388,"AUGUSTINHO FREITAS","PTB","MT",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,1,1,1,1,NA,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,1
396,"AUGUSTO CARVALHO","PCB","DF",1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,1,1,2,2,NA,NA,NA,1,NA,3,3,3,NA,NA,2,1,NA,1,2,1,NA,2,NA,1,1,3,1,NA,3,1,2,1,1,2,NA,1,1
165,"AUGUSTO FARIAS","PSC","AL",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,1,2,2,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,1,1
224,"AVELINO COSTA","PL","MG",1,NA,NA,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,1,2,1,2,NA,NA,1,2
3,"AVENIR ROSA","PDC","RR",NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
109,"B  SA","PP","PI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
