"id","name","party","state","vote.100000136","vote.100000137","vote.100000138","vote.100000139","vote.100000140","vote.100000141","vote.100000142","vote.100000143","vote.100000144","vote.100000145","vote.100000146","vote.100000147","vote.100000148","vote.100000149","vote.100000150","vote.100000151","vote.100000152","vote.100000153","vote.100000154","vote.100000155","vote.100000156","vote.100000157","vote.100000158","vote.100000159","vote.100000160","vote.100000161","vote.100000162","vote.100000163","vote.100000164","vote.100000165","vote.100000166","vote.100000167","vote.100000168","vote.100000169","vote.100000170","vote.100000171","vote.100000172","vote.100000173","vote.100000174","vote.100000177","vote.100000178","vote.100000179","vote.100000180","vote.100000181","vote.100000182","vote.100000183","vote.100000184","vote.100000289","vote.100000290","vote.100000291","vote.100000292","vote.100000293","vote.100000294","vote.100000719","vote.100000762","vote.100000763"
282,"ALDIR CABRAL","PTB","RJ",NA,2,NA,NA,1,2,2,1,1,NA,1,NA,1,NA,2,1,1,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,1,2,1,NA,NA,NA,1,1
479,"ALDO PINTO","PDT","RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,1,1,NA,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,NA,NA,NA,1,2
357,"ALDO REBELO","PCdoB","SP",1,1,NA,1,1,2,2,2,NA,NA,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,NA,1,NA,3,NA,2,1,1,NA,1,1,1,2,NA,NA,NA,2,1,1,1,1,NA,NA,2,NA,2,1,2,NA,NA,1
221,"ALOISIO VASCONCELOS","PMDB","MG",1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,2,2,2,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,2,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
330,"ALOIZIO MERCADANTE","PT","SP",1,1,2,2,1,2,1,2,NA,NA,NA,1,2,NA,2,2,2,2,2,1,1,2,NA,1,2,NA,NA,NA,NA,NA,2,1,1,NA,1,NA,1,2,1,NA,NA,2,NA,NA,NA,NA,NA,2,1,NA,2,1,NA,NA,1,1
272,"ALOIZIO SANTOS","PDT","ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
272,"ALOIZIO SANTOS","PMDB","ES",1,1,3,1,1,1,1,1,1,NA,NA,1,2,2,2,2,2,2,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,"ALUIZIO ALVES","PMDB","RN",1,1,NA,1,1,3,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,2,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,1,2,1,NA,NA,NA,1,1
548,"ALVARO PEREIRA","PSDB","MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
138,"ALVARO RIBEIRO","PSB","PE",1,1,2,1,1,2,2,2,1,1,NA,1,2,2,2,2,2,2,2,1,1,1,2,2,NA,NA,1,NA,NA,1,1,1,1,2,NA,1,1,2,NA,NA,NA,NA,1,1,NA,1,NA,NA,2,2,2,NA,NA,NA,1,1
