"id","name","party","state","vote.100000690","vote.100000691","vote.100000692","vote.100000693","vote.100000694","vote.100000695","vote.100000696","vote.100000697","vote.100000698","vote.100000699","vote.100000700","vote.100000701","vote.100000702","vote.100000703","vote.100000704","vote.100000705","vote.100000708"
283,"ALVARO VALLE","PL","RJ",1,2,NA,NA,NA,NA,NA,2,2,NA,NA,1,NA,NA,1,2,1
293,"AMARAL NETTO","PPR","RJ",NA,NA,1,NA,1,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA
480,"AMAURY MULLER","PDT","RS",1,2,NA,NA,NA,NA,1,1,NA,NA,1,1,2,1,NA,NA,NA
459,"ANGELA AMIN","PPR","SC",1,2,NA,NA,1,NA,1,NA,1,NA,NA,2,NA,NA,NA,NA,1
180,"ANGELO MAGALHAES","PFL","BA",NA,NA,1,1,1,1,1,NA,NA,2,NA,2,1,1,NA,NA,NA
525,"ANNIBAL TEIXEIRA","PP","MG",NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
429,"ANTONIO BARBARA","PMDB","PR",2,NA,NA,1,3,1,1,NA,NA,2,2,1,NA,NA,NA,NA,NA
429,"ANTONIO BARBARA",NA,"PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
481,"ANTONIO BRITTO","PMDB","RS",NA,NA,1,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA
87,"ANTONIO DOS SANTOS","PFL","CE",NA,2,NA,NA,1,1,NA,NA,NA,NA,3,NA,1,3,NA,1,NA
404,"ANTONIO FALEIROS","PSDB","GO",NA,NA,2,NA,1,1,NA,1,1,2,NA,NA,NA,1,NA,2,1
139,"ANTONIO GERALDO","PFL","PE",3,2,1,1,3,1,1,NA,1,1,2,NA,NA,NA,NA,NA,NA
533,"ANTONIO MORIMOTO","PPR","RO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,2,1
441,"ANTONIO UENO","PFL","PR",NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA
588,"APARICIO CARVALHO","PSDB","RO",1,1,2,1,NA,1,1,1,1,2,1,1,1,3,NA,NA,NA
222,"ARACELY DE PAULA","PFL","MG",1,2,NA,NA,NA,1,1,NA,1,2,2,2,1,1,NA,1,1
93,"ARIOSTO HOLANDA","PSDB","CE",NA,2,2,NA,1,1,1,NA,2,2,1,1,1,NA,1,1,1
22,"ARMANDO COSTA","PMDB","MG",1,2,1,NA,NA,1,1,NA,1,NA,NA,2,1,NA,1,1,1
572,"ARMANDO PINHEIRO","PPR","SP",1,NA,1,NA,NA,1,1,NA,1,NA,NA,2,1,NA,NA,NA,NA
575,"ARMANDO VIOLA","PMDB","ES",1,2,1,1,1,1,NA,NA,1,2,2,2,NA,NA,NA,1,NA
336,"ARNALDO FARIA DE SA","PPR","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,1,NA,NA
482,"ARNO MAGARINOS","PPR","RS",NA,NA,NA,1,1,NA,1,NA,1,2,2,2,NA,1,NA,NA,NA
285,"AROLDE DE OLIVEIRA","PFL","RJ",NA,2,1,1,NA,NA,3,NA,1,2,NA,NA,NA,NA,NA,NA,NA
181,"AROLDO CEDRAZ","PFL","BA",NA,NA,1,NA,1,1,1,NA,1,NA,NA,NA,1,1,NA,NA,NA
9,"AROLDO GOES","PDT","AP",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1
313,"ARTUR DA TAVOLA","PSDB","RJ",2,1,2,NA,NA,1,1,1,NA,2,1,1,1,1,NA,2,NA
337,"ARY KARA","PMDB","SP",NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,1,NA
35,"ATILA LINS","PFL","AM",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"ATILA LIRA","PFL","PI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA
388,"AUGUSTINHO FREITAS","PP","MT",NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,2,NA,1,1,NA,1
396,"AUGUSTO CARVALHO","PPS","DF",1,2,2,NA,NA,1,2,1,1,2,1,1,1,1,NA,2,NA
165,"AUGUSTO FARIAS","PSC","AL",NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA
224,"AVELINO COSTA","PPR","MG",NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
3,"AVENIR ROSA","PP","RR",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
109,"B  SA","PP","PI",1,2,1,NA,NA,1,1,1,1,2,2,2,1,1,1,1,1
