"id","name","party","state","vote.2486","vote.2487","vote.2488","vote.2489","vote.2490","vote.2491","vote.2493","vote.2494","vote.2495","vote.2496","vote.2497","vote.2498","vote.2499","vote.2500","vote.2501","vote.2502","vote.2504","vote.2505","vote.2508","vote.2509","vote.2510","vote.2511","vote.2512","vote.2514","vote.2516","vote.2517","vote.2519","vote.2520","vote.2523","vote.2525","vote.2554","vote.2555","vote.2557","vote.2558","vote.2559","vote.2561","vote.2563","vote.2564","vote.2565","vote.2566","vote.2568","vote.2570","vote.2573","vote.2576","vote.2577","vote.2581","vote.2584","vote.2585","vote.2586","vote.2587","vote.2588","vote.2589","vote.2590","vote.2591","vote.2592","vote.2593","vote.2595","vote.2599","vote.2600","vote.2601","vote.2602","vote.2603","vote.2605","vote.2614","vote.2615","vote.2616","vote.2617","vote.2618","vote.2619","vote.2620","vote.2621","vote.2622","vote.2623","vote.2624","vote.2626","vote.2627","vote.2628","vote.2629","vote.2631","vote.2632","vote.2633","vote.2634","vote.2635","vote.2636","vote.2637","vote.2639","vote.2642"
487,"ALCEU COLLARES","PDT","RS",1,1,4,4,4,4,1,4,4,1,2,2,1,1,4,1,4,1,1,1,1,1,4,1,1,2,2,2,4,4,4,1,5,4,4,4,2,1,2,4,1,4,4,4,4,2,1,4,4,4,1,4,4,4,1,2,4,4,1,4,1,4,4,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,1,1,2,4,1
588,"ALDIR CABRAL","PFL","RJ",1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,2,4,1,1,1,1,1,4,1,1,4,5,5,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,4,2,1,1,2,2,5,1,4,2,2,1,4,4,4,1,1,1,4,1
331,"ALDO REBELO","PCdoB","SP",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
445,"ALEX CANZIANI","PTB","PR",1,1,4,2,1,4,1,4,1,2,4,2,2,2,2,4,4,4,1,1,1,1,1,2,2,4,2,2,1,2,2,2,4,4,1,4,2,4,4,1,1,4,4,1,2,4,2,2,4,2,4,4,4,2,1,2,2,4,1,4,4,1,1,1,4,4,4,4,4,4,4,4,4,4,1,2,2,2,1,1,4,4,4,4,4,4,1
284,"ALEXANDRE CARDOSO","PSB","RJ",1,1,1,2,1,1,1,4,4,2,1,2,1,2,2,1,1,4,1,1,1,1,1,2,1,1,2,4,1,2,2,2,4,4,4,4,4,4,1,4,1,4,2,1,2,2,2,2,4,4,2,4,5,4,3,1,2,2,4,4,4,4,1,4,4,4,4,4,4,4,4,2,4,4,1,4,4,4,4,1,4,4,1,1,1,4,1
600,"ALEXANDRE MAIA","PMDB","MG",2,1,1,2,1,1,4,1,1,2,1,2,1,2,2,1,1,4,1,1,1,1,1,1,1,2,4,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,"ALEXANDRE SANTOS","PMDB","RJ",1,1,1,2,1,1,1,1,1,2,1,2,1,4,4,1,4,2,4,1,1,1,1,1,1,2,2,2,1,5,2,1,4,4,1,1,2,2,1,4,4,4,4,4,4,5,4,4,4,4,1,4,4,4,1,2,2,1,4,4,4,4,1,2,4,2,1,1,2,1,1,4,4,1,4,2,2,2,1,4,4,4,4,4,1,4,1
180,"ALICE PORTUGAL","PCdoB","BA",1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,1,1,4,1,1,1,4,1,4,1,1,2,2,1,2,2,2,5,4,4,4,4,2,2,4,4,4,2,1,4,2,2,4,4,2,2,4,4,2,5,1,2,1,4,1,1,4,1,1,4,4,4,4,4,4,1,2,2,1,1,2,2,2,1,1,4,4,1,4,2,4,2
89,"ALMEIDA DE JESUS","PL","CE",1,1,1,2,1,1,4,4,4,4,4,4,4,4,4,2,1,2,1,1,1,4,1,1,1,1,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,2,4,2,1,4,4,4,1,1,2,1,4,4,4,4,4,4,1,4,1,1,2,1,1,2,2,1,1,2,2,2,1,1,4,4,4,4,4,4,4
286,"ALMERINDA DE CARVALHO","PMDB","RJ",1,1,1,2,1,1,1,1,1,2,1,2,1,4,1,1,1,4,1,1,1,1,4,1,1,4,1,4,1,1,2,1,5,2,2,1,2,2,1,1,4,4,1,1,4,2,4,2,4,2,1,2,1,4,1,2,2,1,1,1,4,1,1,1,1,2,1,1,2,1,1,2,2,1,1,2,2,2,1,4,4,4,1,1,3,4,1
283,"ALMIR MOURA","PFL","RJ",1,1,1,2,1,3,1,1,1,1,2,2,1,4,1,2,2,4,1,1,1,1,1,4,1,3,4,4,4,4,4,4,4,1,1,1,5,4,2,2,4,4,1,2,5,4,1,2,4,4,4,4,1,2,1,2,1,1,1,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,"ALMIR MOURA",NA,"RJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,1,1,4,1,1,2,4,3,1,2,2,2,4,4,4,4,1,1,4,4,2
553,"ALMIR SA","PL","RR",1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,4,2,4,2,2,2,5,2,4,1,2,2,1,1,4,4,2,4,2,2,1,2,4,2,2,2,4,4,4,1,2,4,4,4,5,4,1,2,1,2,1,1,2,1,1,4,2,1,1,4,2,2,1,4,4,4,4,4,4,4,1
119,"ALVARO DIAS","PDT","RN",1,1,1,4,1,4,4,1,1,2,4,4,1,4,4,4,2,4,1,4,4,4,4,1,1,2,4,2,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,1,2,4,4,4,4,4,4,1,2,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4
329,"AMAURI GASQUES","PL","SP",1,1,4,2,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,4,1,1,4,2,1,1,2,4,1,2,2,2,5,2,2,1,4,4,4,4,1,4,4,4,2,2,1,4,4,2,2,2,1,2,2,1,2,4,4,4,4,4,1,4,1,4,1,1,2,1,1,2,2,1,1,4,2,2,1,4,4,4,4,4,4,4,1
587,"ANA ALENCAR","PL","TO",1,1,1,2,1,2,1,1,1,1,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
587,"ANA ALENCAR","PSDB","TO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,4,4,4,4,1,2,2,4,1,4,2,4,4,1,1,4,4,1,NA,1,2,5,4,4,4,2,4,4,1,4,4,4,4,4,4,2,1,2,1,1,1,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
591,"ANA GUERRA","PT","MG",1,1,1,2,1,1,1,1,4,2,1,2,2,2,2,1,1,2,1,1,1,1,1,4,4,4,4,4,1,2,2,2,4,2,4,2,2,2,1,1,1,4,2,1,2,2,2,2,4,4,4,4,4,1,4,1,2,4,4,4,5,1,1,2,4,2,1,4,2,1,1,2,2,1,1,2,2,2,1,1,4,4,1,1,2,4,4
571,"ANDRE COSTA","PDT","RJ",1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,4,4,4,1,1,1,1,4,1,2,2,2,2,5,5,2,2,5,4,4,4,2,1,2,1,1,4,1,1,2,2,1,4,4,2,1,4,4,4,1,2,4,1,1,1,1,1,1,1,1,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
142,"ANDRE DE PAULA","PFL","PE",1,1,1,4,4,2,1,1,1,1,2,2,1,1,1,2,2,4,1,1,1,1,1,1,1,4,4,4,4,4,5,1,4,1,4,4,4,1,4,4,4,4,4,4,4,4,1,2,4,4,1,4,1,2,1,2,4,1,1,1,1,1,1,1,1,4,1,1,2,1,1,2,2,4,1,1,2,2,1,1,4,4,1,1,1,4,1
586,"ANDRE FIGUEIREDO","PDT","CE",1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,4,1,1,1,2,2,2,5,5,2,1,4,2,1,4,2,1,2,4,1,4,1,4,2,2,1,2,4,2,1,4,1,2,1,2,1,4,4,1,1,1,1,1,1,2,1,1,2,1,4,4,4,4,4,2,2,2,1,1,4,4,1,1,2,4,1
442,"ANDRE ZACHAROW","PMDB","PR",1,1,4,2,1,1,1,1,1,4,1,2,1,2,4,4,4,4,4,4,4,4,4,1,4,4,2,2,4,4,4,1,4,4,4,4,4,2,4,4,4,4,2,4,4,2,2,4,4,2,2,4,4,2,4,4,2,4,4,5,4,1,1,2,1,2,1,1,2,1,1,2,2,1,1,4,4,4,4,1,4,4,1,4,1,4,2
340,"ANGELA GUADAGNIN","PT","SP",4,1,1,2,1,1,4,1,4,2,1,2,2,2,2,1,1,2,1,1,1,1,4,2,2,1,2,2,1,2,2,2,4,4,4,4,2,2,4,4,4,4,4,1,2,2,2,2,4,4,2,4,4,2,4,1,2,4,4,4,4,1,1,2,1,2,1,1,2,1,1,2,2,1,1,2,2,2,1,1,4,4,1,1,1,4,2
87,"ANIBAL GOMES","PMDB","CE",4,1,1,2,1,1,1,4,4,4,4,2,1,2,2,1,1,2,1,1,1,1,4,4,4,4,2,4,4,4,4,1,5,4,2,4,2,2,1,4,1,4,2,4,4,4,2,4,4,4,2,5,5,2,5,2,4,4,2,4,4,1,1,2,1,4,4,4,4,1,1,2,4,4,1,4,4,4,4,4,4,4,1,1,4,4,1
19,"ANIVALDO VALE","PSDB","PA",1,1,1,2,1,2,1,1,4,2,1,2,2,1,1,1,2,1,1,1,1,1,1,2,2,2,1,5,5,5,5,1,1,1,1,1,5,1,2,4,4,4,1,2,5,5,1,1,4,1,1,2,1,2,1,2,1,4,1,4,1,1,1,1,1,4,4,4,4,4,1,2,2,1,4,4,2,2,1,1,4,4,1,1,4,4,1
18,"ANN PONTES","PMDB","PA",1,1,1,2,1,1,1,1,1,2,1,2,1,2,4,1,1,2,1,1,1,1,1,2,1,2,2,2,1,2,4,1,5,4,4,4,2,2,1,1,1,4,2,1,2,2,2,2,4,2,2,2,5,2,1,2,2,2,2,5,5,1,1,2,1,4,1,1,4,1,1,2,2,1,1,2,2,2,1,1,4,4,1,1,1,4,4
47,"ANSELMO","PT","RO",1,1,1,2,1,1,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,1,4,2,2,1,2,4,1,2,4,2,4,2,4,2,2,2,1,1,4,4,2,1,2,2,2,2,4,2,1,4,3,2,5,1,4,4,4,4,5,1,1,2,1,2,1,1,2,1,4,2,2,1,1,2,2,2,1,1,4,4,1,1,1,4,2
583,"ANTENOR NASPOLINI","PSDB","CE",1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,"ANTONIO CAMBRAIA","PSDB","CE",1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,4,4,4,1,1,1,5,5,5,4,1,1,1,1,1,5,4,2,4,5,4,1,2,5,5,1,1,4,1,1,4,1,2,1,2,1,1,1,1,1,4,1,4,1,2,1,1,2,1,1,4,2,1,1,2,2,2,1,1,4,4,1,1,1,4,1
432,"ANTONIO CARLOS BIFFI","PT","MS",1,1,1,2,1,1,1,1,1,2,1,2,2,4,4,1,1,4,1,1,1,1,1,2,2,4,2,2,1,4,2,2,4,2,2,2,2,2,1,4,1,4,2,4,2,4,2,2,4,2,2,4,4,4,5,1,2,4,4,4,5,4,1,2,1,2,1,1,2,1,1,4,2,1,4,4,2,2,1,1,4,4,1,1,1,4,2
292,"ANTONIO CARLOS BISCAIA","PT","RJ",1,1,1,2,3,1,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,2,2,1,2,2,1,2,2,2,5,2,2,2,2,2,3,1,1,4,2,1,2,2,2,2,4,2,2,2,5,1,5,1,2,4,4,4,4,1,1,2,1,2,1,1,2,1,1,2,4,1,1,2,2,2,1,1,4,4,2,3,2,4,2
181,"ANTONIO CARLOS MAGALHAES NETO","PFL","BA",4,4,4,4,4,4,1,1,4,4,2,2,2,4,1,2,2,1,1,1,1,1,1,1,2,1,5,5,5,4,4,1,1,1,1,1,5,1,4,4,5,4,1,2,5,5,1,2,4,1,1,4,1,2,1,2,3,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,5,1,2,2,2,4,1,4,4,1,1,1,4,4
332,"ANTONIO CARLOS MENDES THAME","PSDB","SP",1,1,1,4,1,4,1,1,1,2,4,4,4,4,4,1,2,1,1,1,4,1,1,1,2,2,4,5,5,5,5,1,4,1,1,1,4,1,2,4,5,4,4,4,5,4,1,4,4,1,1,2,4,2,1,2,4,1,1,4,1,1,1,1,1,4,1,1,2,1,1,4,2,1,1,4,4,4,1,4,4,4,1,1,1,4,1
334,"ANTONIO CARLOS PANNUNZIO","PSDB","SP",1,1,1,2,1,2,1,1,1,2,1,4,2,1,4,1,2,1,1,1,1,1,1,1,1,4,1,4,5,5,5,1,1,1,1,1,5,4,4,4,4,4,1,2,5,5,1,1,4,1,1,4,1,2,1,2,4,1,1,4,1,1,1,1,1,4,1,1,2,1,4,2,2,1,1,2,2,2,1,1,4,4,4,4,4,4,4
434,"ANTONIO CRUZ","PP","MS",1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,4,1,1,1,1,4,1,1,2,2,4,1,4,4,2,4,4,4,4,4,2,1,1,1,4,2,1,4,2,1,4,4,2,2,4,4,2,1,1,2,2,4,4,5,1,1,2,1,2,1,1,2,1,4,2,2,1,1,2,2,2,1,1,4,4,4,4,4,4,1
68,"ANTONIO JOAQUIM","PSDB","MA",2,1,1,1,1,2,1,1,1,2,1,2,1,1,1,4,2,1,4,4,4,1,1,2,1,1,4,3,4,4,4,4,4,4,4,4,5,4,2,5,4,4,1,4,5,4,1,1,4,4,4,4,4,2,1,2,4,1,1,1,1,4,4,4,1,2,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
223,"ARACELY DE PAULA","PL","MG",1,1,1,2,1,1,1,1,1,2,1,4,1,2,2,1,1,2,1,1,1,1,1,4,1,1,2,2,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,1,2,2,2,2,4,2,2,4,4,4,4,1,2,4,4,4,4,4,4,2,1,2,4,1,2,1,1,4,4,1,4,4,2,2,4,4,4,4,1,4,1,4,1
92,"ARIOSTO HOLANDA","PSB","CE",1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,2,1,2,2,2,4,2,2,2,2,2,1,4,1,4,2,1,2,2,1,2,4,2,2,2,5,1,1,2,2,1,4,4,5,1,1,2,1,2,1,1,2,4,1,2,2,1,4,2,2,4,1,1,4,4,1,1,1,4,1
336,"ARLINDO CHINAGLIA","PT","SP",1,1,2,4,1,4,1,1,1,2,1,2,1,2,2,4,1,2,1,1,1,1,1,2,1,4,2,4,1,2,2,2,2,2,2,2,2,2,1,1,1,4,2,1,2,2,2,2,4,4,2,2,4,2,5,1,2,4,4,4,4,4,1,2,4,4,1,1,2,1,1,2,4,1,1,2,4,4,1,1,4,4,1,1,1,4,1
129,"ARMANDO ABILIO","PSDB","PB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,4,4,4,4,1,2,4,4,4,1,4,4,4,4,4,4,4,4,4,4,2,1,1,4,NA,NA,NA,NA,NA,NA,2,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,"ARMANDO ABILIO","PTB","PB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,4,1,2,2,2,4,1,4,4,1,1,1,4,1
144,"ARMANDO MONTEIRO","PTB","PE",1,1,4,2,1,4,1,1,1,2,4,2,1,2,2,1,2,4,1,1,1,4,4,4,1,4,2,4,4,4,2,2,4,4,4,1,2,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,1,2,2,2,1,1,4,4,1,4,4,4,1
337,"ARNALDO FARIA DE SA","PTB","SP",1,1,4,2,1,2,2,2,1,1,1,2,1,1,1,1,2,4,4,4,4,2,1,1,1,4,2,4,2,1,2,1,1,2,1,1,1,1,2,2,2,4,1,2,2,2,1,2,4,1,1,2,4,2,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,1,1,2,2,2,1,2,4,4,1,1,1,4,1
343,"ARNALDO MADEIRA","PSDB","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,1,1,4,1,1,5,2,4,1,2,5,5,1,1,4,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,4,4,4,4,4,4,4,1,4,4,1,1,1,4,1
90,"ARNON BEZERRA","PTB","CE",1,1,1,4,1,1,1,1,1,2,1,2,1,2,4,4,4,4,4,4,4,4,1,2,1,1,2,4,4,4,2,2,5,4,2,1,2,4,1,4,1,4,2,1,4,4,1,2,4,2,4,5,4,4,5,1,2,4,4,4,5,1,4,4,1,4,1,1,2,1,1,2,2,4,1,4,2,2,4,1,4,4,1,1,1,4,1
288,"AROLDE DE OLIVEIRA","PFL","RJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,1,1,1,4,1,4,4,4,4,4,4,5,5,1,2,4,4,4,4,1,2,1,2,4,1,1,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,"AROLDO CEDRAZ","PFL","BA",1,1,1,4,1,4,1,1,1,1,2,2,2,1,4,4,4,4,1,1,1,4,4,1,1,1,5,4,5,5,4,1,4,4,1,1,5,4,2,4,5,4,4,4,5,4,1,4,4,1,4,4,1,4,1,2,4,4,4,1,1,4,4,1,1,4,4,1,4,4,1,2,4,5,1,4,2,4,1,1,4,4,1,4,1,4,4
582,"ARY KARA","PTB","SP",1,1,1,2,1,4,1,1,1,2,1,2,1,1,2,4,4,4,4,4,4,4,4,2,1,4,2,2,4,4,2,2,4,4,4,4,4,4,1,4,4,4,2,4,2,2,1,4,4,4,2,4,4,2,1,2,2,1,4,4,4,1,1,4,4,4,4,4,4,4,1,2,2,1,1,4,4,4,1,4,4,4,1,1,1,4,4
20,"ASDRUBAL BENTES","PMDB","PA",1,1,1,2,1,1,1,1,4,2,1,2,1,2,4,4,4,2,1,1,1,4,1,1,1,4,2,4,4,4,4,4,5,4,2,1,2,2,4,1,4,4,4,1,4,2,2,2,4,4,4,4,4,4,1,1,4,4,3,5,5,4,1,4,4,2,1,4,2,1,1,2,2,4,1,4,2,2,1,1,4,4,1,1,1,4,1
