"id","name","party","state","vote.100000295","vote.100000296","vote.100000297","vote.100000298","vote.100000299","vote.100000300","vote.100000301","vote.100000302","vote.100000303","vote.100000304","vote.100000305","vote.100000306","vote.100000307","vote.100000308","vote.100000309","vote.100000310","vote.100000311","vote.100000312","vote.100000313","vote.100000314","vote.100000315","vote.100000316","vote.100000317","vote.100000318","vote.100000319","vote.100000320","vote.100000321","vote.100000643","vote.100000644","vote.100000645","vote.100000646","vote.100000647","vote.100000648","vote.100000649","vote.100000650","vote.100000651","vote.100000652","vote.100000653","vote.100000654","vote.100000655","vote.100000656","vote.100000657","vote.100000658","vote.100000659","vote.100000660","vote.100000661","vote.100000662","vote.100000663","vote.100000664","vote.100000665","vote.100000666","vote.100000667","vote.100000668","vote.100000669","vote.100000670","vote.100000671","vote.100000672","vote.100000673","vote.100000674","vote.100000675","vote.100000676","vote.100000677","vote.100000678","vote.100000679","vote.100000680","vote.100000681","vote.100000682","vote.100000683","vote.100000685","vote.100000686","vote.100000687","vote.100000688","vote.100000689","vote.100000746","vote.100000764"
328,"ALBERTO HADDAD","PP","SP",NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,2,1,NA,2,2,1,2,NA,1,1,NA,1,1,1,NA,1,2,NA,NA,1,NA,1,NA,1,NA,1,1,2,NA,NA,NA,NA,1,1,1,NA,1,1,1,NA,NA,2,NA,1,2,2,2,2,NA,1,1,NA,1,NA,NA,NA,1
1,"ALCESTE ALMEIDA","PTB","RR",2,2,1,NA,1,1,2,2,2,2,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,2,3,NA,NA,1,1,1,1,NA,NA,NA,NA,2,NA,2,NA,NA,NA,1,1,1,2,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,2,1,2,1,NA,2,1,1
209,"ALCIDES MODESTO","PT","BA",2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,2,2,NA,NA,1,2,2,2,1,2,1,1,2,NA,2,NA,NA,NA,NA,1,1,2,1,NA,2,1,2,2,2,3,2,2,2,2,1,2,1,1,2,1,2,2,NA,2,NA,2,1,2,NA,NA
282,"ALDIR CABRAL","PFL","RJ",1,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2,NA,1,2,1,1,1,2,1,2,1,1,2,1,2,2,NA,1,1,2,NA,1,NA,1,2,NA,3,NA,2,1,NA,NA,1,NA,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA,2,1,2,1,NA,NA,NA,1
479,"ALDO PINTO","PDT","RS",2,2,1,NA,1,1,2,2,NA,NA,2,2,NA,2,1,NA,NA,1,1,2,2,1,NA,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,NA,1,NA,2,1,2,1,NA,NA,2,1,2,2,2,2,1,NA,2,NA,NA,NA,2,1,NA,2,NA,NA,NA,1
357,"ALDO REBELO","PCdoB","SP",2,2,1,1,1,1,NA,2,2,2,NA,2,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,2,2,1,1,NA,1,NA,2,2,NA,3,1,NA,1,1,1,2,1,NA,2,NA,2,2,NA,NA,2,2,2,2,1,NA,1,1,2,1,NA,NA,1,2,NA,NA,1,2,NA,2
587,"ALEXANDRE PUZYNA","PMDB","SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
221,"ALOISIO VASCONCELOS","PMDB","MG",2,2,1,NA,1,1,2,2,2,NA,2,2,1,1,NA,NA,NA,NA,1,1,1,1,NA,2,1,1,1,2,1,NA,NA,NA,NA,NA,2,NA,1,2,1,2,NA,1,NA,1,1,1,NA,2,NA,1,2,1,1,NA,2,1,NA,1,NA,2,NA,1,NA,NA,2,2,2,2,1,2,1,NA,2,1,1
330,"ALOIZIO MERCADANTE","PT","SP",NA,NA,NA,1,1,1,2,2,2,2,2,NA,1,2,2,1,1,1,1,1,1,1,2,1,1,2,2,NA,NA,1,2,2,2,NA,2,1,1,2,2,2,1,NA,2,1,1,1,2,1,1,NA,NA,2,NA,2,1,2,2,2,2,1,2,2,NA,2,1,2,2,1,2,NA,2,NA,2,NA,NA
118,"ALUIZIO ALVES","PMDB","RN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,1,NA,1,1,1,1,1,2,2,NA,1,NA,1,2,NA,2,2,NA,NA,NA,NA,2,1,1
118,"ALUIZIO ALVES","PPR","RN",2,2,NA,1,1,1,2,2,2,2,2,2,1,1,1,1,2,NA,1,1,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
548,"ALVARO PEREIRA","PSDB","MG",2,NA,1,1,1,1,2,2,2,2,2,2,1,1,1,3,1,NA,1,1,1,1,2,1,1,1,1,NA,1,1,1,NA,2,1,NA,NA,NA,2,1,NA,3,NA,1,NA,1,1,2,NA,NA,1,1,1,1,1,1,1,1,2,2,2,2,1,NA,1,2,2,2,NA,NA,NA,NA,NA,1,NA,1
138,"ALVARO RIBEIRO","PSB","PE",2,2,NA,NA,1,1,2,2,2,2,2,2,1,1,1,1,2,NA,1,1,1,1,2,1,1,2,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,1,2,1,1,NA,1,1,1,NA,3,1,1,2,2,1,2,1,NA,1,1,2,2,1,NA,2,NA,NA,2,1,2
283,"ALVARO VALLE","PL","RJ",2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,1,1,NA,2,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,2,1,NA,1,1,NA,2,2,NA,NA,1,2,NA,NA,2,1,1
293,"AMARAL NETTO","PPR","RJ",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,2,2,2,2,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
480,"AMAURY MULLER","PDT","RS",2,2,1,1,1,1,2,2,NA,NA,NA,NA,NA,2,1,1,2,1,1,1,1,1,NA,2,1,2,1,NA,NA,2,1,NA,NA,1,1,1,1,2,NA,2,NA,2,2,2,1,1,2,1,NA,2,1,1,1,1,NA,1,1,2,2,1,2,1,1,2,1,1,1,NA,2,1,NA,1,2,NA,2
459,"ANGELA AMIN","PPR","SC",NA,NA,NA,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,NA,NA,2,2,2,1,2,1,1,1,1,2,2,NA,1,1,NA,1,1,1,1,1,2,2,1,2,1,2,NA,2,NA,NA,NA,2,2,2,2,2,2,NA,2,1,2,1,1,2,NA,NA,NA,2,1,2,2,1,2,1,1
180,"ANGELO MAGALHAES","PFL","BA",2,2,NA,NA,2,2,2,1,2,NA,2,NA,NA,1,1,2,1,NA,2,2,2,NA,NA,1,2,1,1,2,1,2,1,2,1,1,2,NA,1,NA,1,1,NA,1,1,2,1,2,NA,2,NA,2,2,2,2,NA,NA,2,2,2,NA,NA,NA,1,NA,2,2,2,1,2,1,2,NA,2,NA,NA,1
525,"ANNIBAL TEIXEIRA","PP","MG",1,2,1,1,1,1,NA,2,2,2,2,NA,2,1,1,2,NA,2,2,NA,1,NA,NA,2,1,NA,NA,2,1,NA,2,2,3,NA,NA,3,NA,NA,1,NA,1,NA,1,NA,NA,2,3,1,3,1,NA,NA,NA,3,NA,1,1,1,2,2,1,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,2,3,3
429,"ANTONIO BARBARA","PMDB","PR",2,NA,NA,2,2,2,2,2,2,2,2,2,2,1,1,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,1,1,1,2,1,NA,2,1,2,NA,NA,2,1,2,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,2,2,1,NA,2,2,2,2,NA,NA,2,1,NA,1,1,NA
513,"ANTONIO DE JESUS","PMDB","GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,NA,NA,1,1,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
513,"ANTONIO DE JESUS","PPR","GO",2,2,1,NA,1,1,2,2,2,2,2,2,2,1,1,2,1,NA,1,1,1,1,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,"ANTONIO DOS SANTOS","PFL","CE",1,NA,NA,1,1,1,2,2,2,2,2,2,2,1,1,2,1,NA,1,1,1,1,2,1,NA,1,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,1,2,1,NA,NA,1,2,NA,2,NA,NA,NA,1,1,1,1,1,1,1,2,2,2,1,NA,NA,NA,NA,2,2,1,2,NA,NA,NA,1,1
404,"ANTONIO FALEIROS","PSDB","GO",NA,NA,NA,NA,1,1,2,NA,2,NA,2,2,1,1,NA,1,NA,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,NA,NA,NA,2,1,2,NA,1,1,1,1,1,2,NA,1,1,1,1,1,1,NA,1,1,2,2,1,2,1,2,1,2,2,NA,2,NA,1,NA,NA,2,1,NA
139,"ANTONIO GERALDO","PFL","PE",2,2,1,NA,1,1,2,2,2,NA,2,2,1,1,1,3,NA,1,NA,1,1,1,NA,1,1,3,1,NA,1,2,3,1,1,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,NA,1,NA,NA,3,2,NA,1
163,"ANTONIO HOLANDA","PSC","AL",2,NA,1,1,1,1,2,2,2,2,2,2,1,1,NA,NA,NA,NA,2,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
533,"ANTONIO MORIMOTO","PPR","RO",2,2,1,1,1,1,2,2,2,2,NA,2,2,1,1,2,NA,2,1,1,1,1,2,1,1,1,1,NA,1,NA,NA,NA,2,2,NA,NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA
441,"ANTONIO UENO","PFL","PR",2,NA,NA,1,NA,1,2,2,NA,NA,NA,NA,NA,1,1,2,1,NA,2,1,1,1,2,1,2,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,2,NA,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1
222,"ARACELY DE PAULA","PFL","MG",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,NA,NA,NA,NA,NA,1,2,1,1,NA,NA,1,NA,1,2,NA,2,1,1,1,NA,1,NA,3,1,1,1,NA,NA,NA,1,NA,NA,NA,2,2,NA,1,2,NA,1,2,NA,1
93,"ARIOSTO HOLANDA","PSDB","CE",NA,NA,NA,1,1,1,2,2,NA,2,NA,2,1,2,1,1,2,NA,1,1,1,1,2,1,NA,2,1,NA,2,1,2,1,1,1,1,1,1,2,2,2,NA,1,1,NA,1,1,2,1,1,1,1,1,NA,1,1,1,1,2,2,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2
22,"ARMANDO COSTA","o PMDB","MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"ARMANDO COSTA","PMDB","MG",2,1,1,1,1,1,2,2,NA,NA,2,NA,1,1,NA,2,2,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,1,NA,1,NA,1,1,2,1,1,1,NA,1,1,NA,1,1,1,2,2,1,1,2,1,NA,NA,NA,2,NA,NA,1,1,NA,1,NA
572,"ARMANDO PINHEIRO","PPR","SP",NA,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,NA,1,2,2,2,1,NA,NA,1,1,1,1,NA,NA,NA,1,2,NA,1,2,1,1,2,NA,1,2,1,NA,NA,2,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,2,1,NA,1,1,NA
575,"ARMANDO VIOLA","PMDB","ES",2,2,NA,1,2,2,1,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,1,2,2,1,2,2,1,1,1,2,1,1,2,NA,2,1,2,1,NA,2,1,1,2,NA,NA,1,1,NA,NA,2,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,2,2,2,2,NA,NA,NA,1,1,2,1,NA
482,"ARNO MAGARINOS","PPR","RS",2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,NA,1,2,1,1,1,NA,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,1,NA,1,NA,2,NA,NA,1,2,1,1,2,2,2,1,NA,2,2,2,2,NA,1,1,NA,NA,2,1,1
285,"AROLDE DE OLIVEIRA","PFL","RJ",NA,NA,NA,1,1,1,NA,2,2,2,2,NA,2,1,NA,2,NA,1,2,1,1,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,2,NA,3,1,1,NA,NA,1,1,1,1,NA,2,2,2,NA,1,2,2,2,2,1,2,1,NA,NA,1,NA
181,"AROLDO CEDRAZ","PFL","BA",2,2,NA,1,2,2,NA,2,2,NA,2,2,1,1,1,2,NA,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,2,1,2,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,2,NA,2,1,1,2,2,NA,2,1,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
9,"AROLDO GOES","PDT","AP",2,2,1,3,1,NA,2,2,2,NA,2,NA,1,2,NA,1,NA,1,1,NA,1,NA,NA,2,1,NA,NA,NA,3,1,NA,NA,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
313,"ARTUR DA TAVOLA","PSDB","RJ",2,2,1,1,1,1,2,2,2,2,NA,2,1,2,1,1,1,NA,1,1,1,1,NA,1,1,NA,1,NA,NA,1,2,2,2,1,NA,1,1,2,2,2,NA,1,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,1,2,1,NA,NA,2,2,2,2,NA,NA,1,1,2,1,NA
337,"ARY KARA","PMDB","SP",2,2,1,NA,1,1,2,2,2,2,2,2,2,1,NA,NA,NA,NA,1,1,1,1,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,2,NA,NA,1,NA,2,2,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,2,2,NA,NA,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA
35,"ATILA LINS","PFL","AM",2,2,NA,1,1,1,2,2,2,2,2,2,1,NA,1,2,NA,NA,2,1,1,1,2,1,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
388,"AUGUSTINHO FREITAS","PP","MT",1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,1,2,1,2,1,1,NA,NA,NA,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,3
396,"AUGUSTO CARVALHO","PPS","DF",NA,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,NA,1,2,1,1,2,NA,2,1,NA,NA,NA,1,1,2,2,1,NA,1,1,1,1,1,1,1,2,2,1,2,1,2,1,NA,NA,1,NA,2,NA,2,1,NA,1,2
165,"AUGUSTO FARIAS","PSC","AL",NA,NA,NA,1,1,1,2,2,2,2,2,2,NA,1,1,2,1,2,1,1,1,1,NA,NA,NA,2,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,1,2,NA,NA,1,1,1,2,NA,2,NA,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1
224,"AVELINO COSTA","PPR","MG",2,2,1,1,1,1,2,2,2,2,2,2,2,1,NA,2,1,NA,2,1,1,1,2,1,1,1,1,1,NA,1,2,2,2,1,2,1,1,2,NA,NA,NA,NA,NA,2,1,2,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,NA,1,NA,NA,1,1
3,"AVENIR ROSA","PP","RR",NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,1,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
554,"AYRES DA CUNHA","PL","SP",NA,NA,NA,2,1,1,2,2,2,2,2,2,1,1,2,2,NA,NA,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,NA,NA,NA,NA,2,NA,NA,NA,1,1,1,2,NA,2,NA,1,1,2,2,NA,2,2,2,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,"B  SA","PP","PI",2,2,NA,1,1,1,2,2,2,2,2,2,1,1,1,2,1,NA,1,1,1,2,2,1,2,1,1,1,NA,1,2,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,NA,1,NA,NA,2,2,2,1,1,NA,NA,NA,2,1,1
431,"BASILIO VILLANI","PPR","PR",2,NA,NA,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,NA,2,1,2,1,2,1,1,2,1,2,NA,NA,NA,1,2,1,1,2,1,1,NA,NA,1,NA,NA,NA,NA,2,1,NA,NA,1,1,NA,NA,1,1,1,NA,NA,3,1,NA,2,2,2,2,2,1,NA,1,NA,2,1,1
286,"BENEDITA DA SILVA","PT","RJ",NA,NA,NA,1,1,1,2,2,2,NA,2,2,1,2,2,1,NA,1,1,1,1,1,NA,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,2,1,1,1,2,1,1,2,1,2,2,2,NA,2,2,2,2,1,2,1,NA,2,NA,NA,NA,NA,2,NA,2,NA,NA,1,2
