"id","name","party","state","vote.2026","vote.2027","vote.2028","vote.2029","vote.2030","vote.2031","vote.2032","vote.2033","vote.2034","vote.2035","vote.2036","vote.2037","vote.2038","vote.2039","vote.2065","vote.2161","vote.2162","vote.2164","vote.2165","vote.2166","vote.2167","vote.2168","vote.2169","vote.2170","vote.2171","vote.2172","vote.2173","vote.2174","vote.2176","vote.2177","vote.2178","vote.2179","vote.2181","vote.2182","vote.2183","vote.2184","vote.2185","vote.2186","vote.2187","vote.2188","vote.2189","vote.2190","vote.2191","vote.2192","vote.2193","vote.2194","vote.2195","vote.2196","vote.2197","vote.2198","vote.2199","vote.2201","vote.2202","vote.2203","vote.2204","vote.2205","vote.2206","vote.2207","vote.2208","vote.2209","vote.2248","vote.2249","vote.2250","vote.2251","vote.2252","vote.2263","vote.2264","vote.2265","vote.2266","vote.2267","vote.2268","vote.2270","vote.2271","vote.2272","vote.2273","vote.2274","vote.2275","vote.2276","vote.2277","vote.2278","vote.2280","vote.2282","vote.2283","vote.2284","vote.2285","vote.2286","vote.2287","vote.2288","vote.2289","vote.2290","vote.2291","vote.2293","vote.2294","vote.2295","vote.2296","vote.2297","vote.2298","vote.2299","vote.2301"
445,"ALEX CANZIANI","PTB","PR",1,4,2,4,4,2,4,4,4,4,4,2,2,2,1,2,1,4,2,4,5,4,4,4,4,4,4,1,3,4,2,2,4,4,1,1,1,1,1,4,4,4,1,4,2,4,4,2,2,4,2,2,4,5,2,2,1,4,4,1,4,4,1,1,1,2,4,5,4,4,2,2,2,2,4,2,4,4,4,4,2,4,4,4,2,1,2,2,2,2,4,5,4,4,4,1,1,4,1
284,"ALEXANDRE CARDOSO","PSB","RJ",4,1,2,4,4,2,4,1,2,4,2,4,2,2,4,2,1,4,2,4,4,4,4,2,4,4,2,1,1,2,1,4,1,4,1,1,1,2,2,2,1,1,2,1,2,4,2,2,2,4,4,2,4,4,2,2,4,2,2,4,4,4,1,4,1,2,2,4,2,4,4,2,4,2,2,4,4,2,4,2,2,2,2,1,4,1,4,2,1,4,2,4,2,4,4,2,4,4,2
285,"ALEXANDRE SANTOS","PP","RJ",1,1,2,4,4,2,1,4,4,1,4,2,4,4,1,4,4,3,4,4,3,4,4,4,4,4,2,4,4,2,4,2,4,1,1,1,4,1,4,2,1,1,1,4,2,4,2,2,2,2,2,2,4,4,2,2,1,4,4,1,2,1,4,1,1,4,4,4,4,4,4,2,2,4,4,2,3,4,4,4,4,4,4,4,2,4,4,2,1,2,2,4,4,1,1,1,1,4,4
180,"ALICE PORTUGAL","PCdoB","BA",1,1,4,4,2,2,1,1,2,1,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,1,4,2,4,2,1,1,1,1,1,1,1,2,1,2,1,1,2,4,2,4,4,4,2,4,4,2,2,2,1,2,4,1,2,1,1,1,1,2,2,2,4,2,2,4,4,4,4,4,4,2,2,2,2,2,2,4,4,1,2,4,4,2,2,2,4,4,4,4,4,4,2
89,"ALMEIDA DE JESUS","PL","CE",1,1,3,4,4,4,4,1,2,1,2,4,2,2,1,4,1,1,3,2,1,4,4,4,2,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,1,1,2,2,4,2,4,2,4,4,4,4,4,4,2,1,1,1,1,4,4,5,4,4,2,4,4,4,4,4,4,4,4,4,4,2,2,3,2,1,2,2,1,2,2,4,4,1,1,1,1,4,4
286,"ALMERINDA DE CARVALHO","PMDB","RJ",4,4,4,4,2,2,1,1,2,1,2,2,2,2,1,2,1,1,2,2,4,4,2,2,2,2,5,5,2,2,2,2,1,1,1,4,1,1,1,2,1,3,1,1,2,4,2,1,1,4,2,1,2,2,2,2,1,2,1,1,4,1,1,1,1,2,5,5,2,2,2,2,5,5,5,5,4,5,5,5,2,4,2,2,2,2,1,2,1,4,2,1,5,1,2,2,1,2,2
283,"ALMIR MOURA","PL","RJ",1,1,2,4,2,4,1,4,2,1,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,4,1,4,1,2,4,1,1,1,4,4,4,2,1,1,1,1,2,4,2,2,2,2,2,2,2,2,4,4,1,2,4,1,2,1,1,1,1,4,4,5,4,4,2,2,2,2,2,2,2,5,4,4,2,2,2,4,2,1,2,2,1,2,2,4,4,1,1,1,1,4,2
553,"ALMIR SA","PL","RR",1,1,2,4,2,2,1,1,2,1,2,4,1,1,1,2,4,1,2,2,4,2,2,4,1,2,4,4,4,2,1,2,3,4,3,4,4,4,4,4,4,4,1,1,2,4,2,2,2,2,2,2,1,5,4,2,1,2,1,1,4,1,1,1,1,3,4,4,2,2,2,2,2,4,2,4,2,5,4,4,2,4,2,4,2,1,2,2,1,2,2,2,4,1,1,1,1,4,2
333,"ALOYSIO NUNES FERREIRA","PSDB","SP",5,5,1,4,5,4,5,5,5,4,5,4,5,1,4,1,4,4,4,5,5,4,4,5,4,4,5,4,4,5,5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,1,1,4,5,5,4,4,4,4,4,1,1,1,2,1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,5,5,4,2,5,5,4,4,4,4,4,4,4,4
119,"ALVARO DIAS","PDT","RN",1,4,2,4,2,4,4,4,2,4,4,4,2,1,4,2,4,1,2,4,1,4,2,2,4,2,2,4,5,4,4,4,4,1,4,4,4,4,1,4,1,2,1,4,4,4,2,1,1,4,2,4,2,4,4,4,4,4,1,4,4,4,4,4,4,1,2,5,4,4,4,4,2,4,4,4,4,4,4,2,4,4,2,1,4,5,2,2,2,4,4,2,4,4,4,4,1,4,2
566,"AMADOR TUT","PL","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,4,2,1,4,4,1,2,4,1,1,1,3,5,5,4,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329,"AMAURI  GASQUES","PL","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,1,1,2,4,2,1,1,1,1,4,4,4,2,1,1,1,4,4,4,2,2,2,2,2,2,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329,"AMAURI GASQUES","PL","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,1,1,2,1,4,1,1,2,4,4,4,2,2,4,4,4,2,2,2,4,4,4,2,2,2,4,2,1,2,2,1,2,4,5,4,1,1,1,1,4,2
329,"AMAURI ROBLEDO GASQUES","PL","SP",1,1,2,1,2,4,4,1,2,1,2,2,2,2,1,2,4,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,"ANDERSON ADAUTO","PL","MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,2,1,1,2,4,4,4,4,4,4,4,2,4,2,4,4,4,1,4,4,4,2,1,2,1,4,4,4,4,4,2,4,4,2,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4
142,"ANDRE DE PAULA","PFL","PE",2,5,4,5,4,1,5,5,5,2,4,5,5,1,1,4,4,4,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,4,4,4,4,4,4,1,1,2,1,5,5,4,4,4,4,5,5,1,4,5,5,4,5,5,1,1,1,1,1,1,1,5,5,5,5,4,4,5,4,5,5,5,5,5,4,5,1,5,5,4,5,5,5,5,2,5,5,5,5,1,1,1,2,2,1
287,"ANDRE LUIZ","PMDB","RJ",1,1,2,4,2,4,4,4,4,4,2,4,4,2,4,2,1,1,3,2,1,2,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,1,2,1,1,2,4,4,2,4,5,4,2,4,5,2,4,1,4,2,4,4,4,1,1,1,4,4,4,4,2,2,1,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
442,"ANDRE ZACHAROW","PDT","PR",1,1,2,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,"ANDRE ZACHAROW","PP","PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,1,1,4,1,2,4,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,4,1,1,2,5,4,2,2,2,2,2,4,2,2,5,5,4,5,2,2,2,4,4,4,4,4,4,4,4,2,4,1,1,1,1,4,4
340,"ANGELA GUADAGNIN","PT","SP",1,1,2,1,4,4,4,4,4,4,4,2,2,2,1,4,1,1,2,2,1,2,2,2,2,2,2,1,1,4,1,2,4,4,4,4,4,4,4,4,1,1,4,1,2,4,2,2,2,4,4,2,2,2,2,2,1,2,2,1,2,4,1,1,1,2,2,2,2,4,2,4,4,4,2,2,2,2,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2
87,"ANIBAL GOMES","PMDB","CE",1,4,2,4,2,4,1,4,4,1,2,2,2,2,1,2,1,1,4,2,1,4,2,4,2,2,2,4,1,2,4,4,4,1,1,1,1,1,1,4,1,2,1,1,2,4,4,2,2,2,2,2,4,2,5,4,1,2,1,4,4,1,1,1,1,2,4,5,2,4,4,2,2,4,4,5,4,4,4,5,4,4,4,4,4,1,4,4,4,4,2,4,4,4,1,1,4,4,4
19,"ANIVALDO VALE","PSDB","PA",5,4,1,4,4,5,5,4,4,4,4,4,4,4,5,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,1,1,2,4,4,4,1,1,4,4,5,4,4,5,1,1,4,4,1,5,5,5,4,4,5,1,1,4,1,1,4,4,5,4,4,1,4,4,4,4,4,4,4,5,4,4,4,4,4,4,2,4,5,5,5,2,5,5,5,5,4,4,1,4,2,2
18,"ANN PONTES","PMDB","PA",1,2,2,5,2,2,1,1,2,1,2,2,2,2,1,4,1,1,2,4,1,2,2,2,2,4,4,4,4,2,1,2,4,4,4,4,4,4,4,2,1,2,4,4,4,4,2,2,2,4,4,2,2,1,2,2,1,2,1,1,2,1,1,1,1,2,2,2,2,4,2,4,4,4,4,4,5,5,4,5,2,4,2,1,2,1,2,2,1,2,2,1,4,1,2,2,1,2,2
47,"ANSELMO","PT","RO",1,1,2,1,2,2,1,1,2,1,2,2,2,2,1,2,4,1,2,2,1,2,4,4,2,2,2,1,1,4,1,2,1,1,4,1,1,1,1,2,1,1,4,1,2,4,2,2,2,2,2,2,2,2,2,2,1,2,4,1,4,4,4,4,4,2,2,4,4,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4,2,4,2,2,1,2,2,2,2,4,4,4,4,4,2
91,"ANTONIO CAMBRAIA","PSDB","CE",5,5,1,4,5,5,5,1,5,1,5,5,4,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,2,5,2,1,1,2,1,1,1,1,1,1,1,5,5,4,5,1,4,5,4,1,4,4,4,4,4,4,4,4,1,4,1,1,1,4,4,4,1,4,4,5,2,5,5,5,4,5,5,5,5,4,4,2,5,5,5,5,2,5,5,5,5,1,2,1,2,2,2
432,"ANTONIO CARLOS BIFFI","PT","MS",1,1,2,1,4,4,4,1,2,1,2,4,2,2,1,2,1,1,4,2,1,2,2,2,2,2,2,3,3,2,4,2,1,1,1,1,1,1,1,4,1,1,1,1,2,4,4,2,2,2,4,2,2,2,2,4,1,2,2,1,2,2,4,1,1,2,2,2,4,2,2,2,4,4,2,2,4,4,2,2,2,2,4,1,2,1,2,2,1,2,2,2,4,1,1,1,1,4,2
292,"ANTONIO CARLOS BISCAIA","PT","RJ",1,1,2,1,2,2,1,1,2,1,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,2,1,2,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1,2,1,2,2,2,2,2,4,4,4,4,4,4,4,4
181,"ANTONIO CARLOS MAGALHAES NETO","PFL","BA",2,1,5,4,5,5,5,4,4,4,5,1,5,1,5,4,5,5,5,5,5,5,5,4,4,1,5,5,4,2,1,2,2,1,1,2,2,1,1,1,1,1,4,5,5,4,5,1,1,5,5,1,5,5,5,5,4,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,4,1,5,5,5,5,5,5,2,5,5,5,5,2,5,4,4,5,1,1,1,2,2,1
332,"ANTONIO CARLOS MENDES THAME","PSDB","SP",4,5,1,5,4,5,4,5,4,5,5,1,5,1,5,1,5,5,1,5,5,5,1,5,5,4,5,5,5,4,5,5,4,1,1,2,4,1,1,4,1,2,1,4,4,4,4,4,4,5,4,1,5,1,5,5,5,5,1,1,4,2,4,1,1,5,5,5,1,4,1,5,4,5,5,5,4,5,5,5,5,4,5,4,5,4,5,5,2,5,5,4,5,4,4,4,4,4,4
334,"ANTONIO CARLOS PANNUNZIO","PSDB","SP",4,4,1,5,4,4,4,4,4,5,5,5,4,1,4,1,5,4,5,5,4,4,4,4,5,4,5,4,4,5,5,4,2,1,1,2,1,1,1,1,1,2,1,5,5,4,5,1,1,4,4,1,5,5,4,5,4,5,1,1,1,4,1,2,1,5,5,5,1,4,4,5,2,5,5,4,4,4,4,4,5,5,4,2,5,4,4,5,2,4,4,4,4,1,2,1,2,4,2
434,"ANTONIO CRUZ","PTB","MS",2,2,1,4,1,2,1,4,2,2,2,4,2,2,1,4,1,1,2,2,4,2,2,2,2,2,2,1,3,2,2,2,1,1,1,1,4,4,4,4,4,4,1,1,4,4,2,2,2,2,2,2,4,4,2,2,1,2,2,1,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,2,2,1,2,2,4,4,4,1,1,1,4,1,1,4,4,2,1
68,"ANTONIO JOAQUIM","PP","MA",1,1,4,4,4,2,1,1,2,1,4,2,2,2,1,2,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,1,4,1,1,1,1,2,4,1,1,1,2,4,2,2,1,2,4,2,2,2,2,2,4,2,2,1,4,1,1,1,4,4,4,4,2,4,4,2,2,2,2,2,4,4,4,4,2,4,2,4,2,1,2,2,1,2,2,4,4,1,1,1,1,4,2
17,"ANTONIO NOGUEIRA","PT","AP",1,1,2,1,2,2,1,1,2,1,2,2,2,2,1,4,4,4,2,4,1,4,4,4,2,2,2,4,1,2,1,2,1,1,1,1,1,1,3,2,1,1,3,1,2,4,2,2,2,4,4,2,2,2,2,2,1,2,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,2,2,4,4,1,2,1,2,4,1,2,2,4,4,1,1,1,1,5,2
223,"ARACELY DE PAULA","PL","MG",1,4,2,1,2,4,1,1,2,1,2,4,4,2,4,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1,4,1,4,1,4,4,4,4,2,1,1,1,1,2,4,4,4,4,4,2,2,2,4,5,2,1,2,1,1,4,1,4,1,4,4,4,5,4,2,2,2,4,2,2,2,4,4,4,4,2,2,2,1,2,1,2,2,1,4,2,5,4,1,1,1,1,4,2
92,"ARIOSTO HOLANDA","PSDB","CE",1,1,2,1,2,2,1,1,2,1,2,2,2,2,4,2,1,1,2,2,1,2,2,2,2,2,2,4,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,2,2,2,1,2,2,5,2,2,2,2,2,2,4,2,2,2,2,1,2,1,2,2,1,2,2,2,2,1,1,1,1,5,2
336,"ARLINDO CHINAGLIA","PT","SP",4,4,2,4,4,2,1,1,2,1,4,2,2,2,1,2,1,1,2,2,1,4,2,4,4,4,4,1,1,2,1,2,4,4,1,1,1,4,1,2,1,1,1,4,2,4,2,2,2,2,2,2,2,2,2,2,1,2,2,1,4,1,1,1,1,2,2,2,4,2,2,2,4,2,2,2,2,2,4,2,4,4,2,1,2,1,2,2,1,2,2,2,4,1,4,4,4,4,2
144,"ARMANDO MONTEIRO","PTB","PE",4,1,2,4,4,4,4,1,1,2,4,4,2,1,4,4,4,4,4,4,5,4,2,2,2,4,4,1,1,4,4,2,4,4,4,1,1,4,4,4,1,1,4,1,2,4,2,2,2,2,4,2,4,2,4,4,4,4,1,4,4,1,1,1,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,2,2,1,4,2,4,4,4,1,1,2,4,2
337,"ARNALDO FARIA DE SA","PTB","SP",2,2,1,1,4,1,2,2,1,2,4,1,2,1,1,2,1,2,1,2,5,1,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,1,2,1,1,1,2,1,4,1,1,1,1,2,1,1,1,1,1,4,1,1,2,1,1,1,1,1,2,1,5,2,4,2,1,1,2,2,1,1,2,4,2,2,2,2,1,1,2,1,1,2,1,1,1,4,2,1,2,2,4,4
90,"ARNON BEZERRA","PTB","CE",1,1,4,4,4,2,4,1,4,1,4,2,2,4,4,4,4,1,2,2,4,2,2,2,4,4,4,1,1,2,4,4,1,1,4,1,1,4,1,2,4,4,4,1,4,4,4,2,2,2,4,2,2,2,2,4,4,4,4,4,2,4,1,1,1,4,4,4,2,4,4,2,4,2,2,2,4,4,4,4,4,2,4,1,2,1,4,2,4,2,4,4,4,1,4,1,1,5,4
288,"AROLDE DE OLIVEIRA","PFL","RJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,"AROLDO CEDRAZ","PFL","BA",4,5,5,4,4,4,4,4,4,4,5,5,5,1,5,5,5,4,4,5,4,4,4,4,4,5,5,4,4,4,1,4,4,4,1,2,2,1,1,4,1,1,1,5,4,4,4,1,1,4,5,4,4,4,4,4,4,4,4,4,1,1,1,1,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,5,4,5,4,5,5,2,5,4,5,4,4,1,1,1,2,1
488,"ARY VANAZZI","PT","RS",1,2,4,4,2,2,1,4,4,4,2,2,4,4,1,2,1,1,2,4,4,2,2,2,2,2,2,1,1,2,1,4,1,4,1,1,1,1,1,4,4,4,1,1,2,4,4,2,2,4,2,2,4,2,2,2,1,2,2,1,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,4,2,4,4,4,2,2,4,2,4,4,4,4,4,4,2,2,4,4,4,4,4,4
20,"ASDRUBAL BENTES","PMDB","PA",4,1,2,4,2,2,1,1,4,4,4,4,2,2,4,2,1,1,2,2,4,2,2,2,2,2,4,1,4,2,2,2,4,1,1,1,1,1,1,4,1,1,1,1,2,4,4,4,4,4,4,4,4,2,5,2,1,2,1,1,4,1,1,1,1,2,4,5,4,4,2,4,4,4,5,5,4,5,4,5,4,4,4,1,4,1,2,2,1,2,2,4,5,4,4,4,4,4,4
443,"ASSIS MIGUEL DO COUTO","PT","PR",1,1,2,4,2,4,4,4,4,1,4,4,4,4,1,4,1,4,2,2,1,2,2,2,2,2,2,1,1,2,1,2,4,4,4,1,1,1,1,4,1,1,4,4,2,4,2,2,2,2,2,2,4,2,2,2,1,2,2,1,2,4,1,1,1,2,2,2,2,2,2,2,4,2,4,4,4,4,4,2,4,2,2,1,2,4,4,2,1,2,2,2,2,4,4,1,1,5,2
